Abbreviations,TotalCover_cv,TotalGain_cv,Metabolite
Creatinine,0.1982,0.2606,Creatinine
Gly,0.0743,0.0723,Glycine
Omega-3,0.0535,0.0551,Omega-3 Fatty Acids
DHA,0.0655,0.0496,Docosahexaenoic Acid
3-Hydroxybutyrate,0.0532,0.0480,3-Hydroxybutyrate
M-HDL-PL,0.0427,0.0386,Phospholipids in Medium HDL
His,0.0262,0.0326,Histidine
Glu-lactate,0.0313,0.0294,Glucose-lactate
Gln,0.0287,0.0287,Glutamine
Omega-3%,0.0273,0.0275,Omega-3 Fatty Acids to Total-Fatty Acids percentage
SFA%,0.0312,0.0257,Saturated Fatty Acids to Total-Fatty Acids percentage
Glu,0.0283,0.0189,Glucose
Acetoacetate,0.0123,0.0185,Acetoacetate
Pyruvate,0.0192,0.0160,Pyruvate
PC,0.0210,0.0158,Phosphatidylcholines
Albumin,0.0150,0.0146,Albumin
Sc-ala,0.0155,0.0129,Spectrometer-corrected alanine
IDL-C%,0.0127,0.0127,Cholesterol to Total-Lipids in IDL percentage
Val,0.0112,0.0107,Valine
S-HDL-C,0.0155,0.0105,Cholesterol in Small HDL
Acetone,0.0100,0.0104,Acetone
Total-BCAA,0.0127,0.0102,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
Ile,0.0160,0.0099,Isoleucine
LA%,0.0118,0.0096,Linoleic Acid to Total-Fatty Acids percentage
XL-HDL-CE%,0.0118,0.0095,Cholesteryl Esters to Total-Lipids in Very Large HDL percentage
IDL-CE,0.0115,0.0088,Cholesteryl Esters in IDL
Tyr,0.0103,0.0087,Tyrosine
Unsaturation,0.0067,0.0085,Degree of Unsaturation
IDL-PL%,0.0078,0.0081,Phospholipids to Total-Lipids in IDL percentage
XL-HDL-FC,0.0065,0.0079,Free Cholesterol in Very Large HDL
Lactate,0.0065,0.0070,Lactate
Phe,0.0057,0.0070,Phenylalanine
XL-HDL-PL%,0.0097,0.0068,Phospholipids to Total-Lipids in Very Large HDL percentage
L-HDL-L,0.0055,0.0064,Total-Lipids in Large HDL
XL-HDL-FC%,0.0087,0.0064,Free Cholesterol to Total-Lipids in Very Large HDL percentage
XS-VLDL-PL%,0.0102,0.0056,Phospholipids to Total-Lipids in Very Small VLDL percentage
Leu,0.0053,0.0053,Leucine
GlycA,0.0037,0.0049,Glycoprotein Acetyls
L-LDL-C%,0.0058,0.0047,Cholesterol to Total-Lipids in Large LDL percentage
S-LDL-C%,0.0033,0.0041,Cholesterol to Total-Lipids in Small LDL percentage
Acetate,0.0027,0.0041,Acetate
XL-VLDL-PL%,0.0022,0.0041,Phospholipids to Total-Lipids in Very Large VLDL percentage
IDL-FC%,0.0028,0.0037,Free Cholesterol to Total-Lipids in IDL percentage
L-LDL-CE%,0.0022,0.0033,Cholesteryl Esters to Total-Lipids in Large LDL percentage
ApoB,0.0025,0.0032,Apolipoprotein B
L-LDL-PL%,0.0037,0.0026,Phospholipids to Total-Lipids in Large LDL percentage
S-LDL-PL,0.0037,0.0025,Phospholipids in Small LDL
Citrate,0.0017,0.0024,Citrate
IDL-TG%,0.0030,0.0024,Triglycerides to Total-Lipids in IDL percentage
L-VLDL-C%,0.0020,0.0023,Cholesterol to Total-Lipids in Large VLDL percentage
M-LDL-CE%,0.0003,0.0019,Cholesteryl Esters to Total-Lipids in Medium LDL percentage
LDL-P,0.0015,0.0019,Concentration of LDL Particles
XS-VLDL-CE%,0.0018,0.0018,Cholesteryl Esters to Total-Lipids in Very Small VLDL percentage
LDL-size,0.0020,0.0018,Average Diameter for LDL Particles
L-VLDL-CE%,0.0037,0.0017,Cholesteryl Esters to Total-Lipids in Large VLDL percentage
Ala,0.0008,0.0014,Alanine
XXL-VLDL-TG%,0.0012,0.0014,Triglycerides to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
S-HDL-P,0.0008,0.0014,Concentration of Small HDL Particles
L-LDL-P,0.0015,0.0012,Concentration of Large LDL Particles
IDL-CE%,0.0033,0.0012,Cholesteryl Esters to Total-Lipids in IDL percentage
XXL-VLDL-CE%,0.0005,0.0012,Cholesteryl Esters to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
PUFA%,0.0008,0.0011,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
L-VLDL-TG%,0.0007,0.0007,Triglycerides to Total-Lipids in Large VLDL percentage
Omega-6,0.0013,0.0006,Omega-6 Fatty Acids
L-LDL-FC%,0.0003,0.0005,Free Cholesterol to Total-Lipids in Large LDL percentage
MUFA,0.0003,0.0002,Monounsaturated Fatty Acids
L-HDL-FC%,0.0003,0.0001,Free Cholesterol to Total-Lipids in Large HDL percentage
S-LDL-CE%,0.0002,8.4054e-05,Cholesteryl Esters to Total-Lipids in Small LDL percentage
