Abbreviations,TotalCover_cv,TotalGain_cv,Metabolite
GlycA,0.1748,0.1620,Glycoprotein Acetyls
XS-VLDL-PL%,0.0647,0.1249,Phospholipids to Total-Lipids in Very Small VLDL percentage
Albumin,0.1090,0.0957,Albumin
M-LDL-C%,0.0433,0.0666,Cholesterol to Total-Lipids in Medium LDL percentage
Creatinine,0.0675,0.0554,Creatinine
3-Hydroxybutyrate,0.0488,0.0407,3-Hydroxybutyrate
Val,0.0442,0.0402,Valine
LA,0.0345,0.0336,Linoleic Acid
S-LDL-CE%,0.0355,0.0316,Cholesteryl Esters to Total-Lipids in Small LDL percentage
Sc-ala,0.0250,0.0287,Spectrometer-corrected alanine
S-LDL-PL%,0.0295,0.0267,Phospholipids to Total-Lipids in Small LDL percentage
L-LDL-C%,0.0205,0.0235,Cholesterol to Total-Lipids in Large LDL percentage
XXL-VLDL-TG%,0.0205,0.0211,Triglycerides to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
Gln,0.0242,0.0202,Glutamine
Glu,0.0233,0.0190,Glucose
IDL-CE%,0.0168,0.0182,Cholesteryl Esters to Total-Lipids in IDL percentage
Glu-lactate,0.0187,0.0171,Glucose-lactate
XXL-VLDL-CE%,0.0153,0.0152,Cholesteryl Esters to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
L-LDL-CE%,0.0165,0.0148,Cholesteryl Esters to Total-Lipids in Large LDL percentage
Leu,0.0157,0.0138,Leucine
Ala,0.0105,0.0127,Alanine
XXL-VLDL-PL%,0.0122,0.0098,Phospholipids to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
Unsaturation,0.0120,0.0080,Degree of Unsaturation
Acetone,0.0118,0.0078,Acetone
S-LDL-C%,0.0072,0.0078,Cholesterol to Total-Lipids in Small LDL percentage
Acetoacetate,0.0107,0.0067,Acetoacetate
IDL-C%,0.0055,0.0066,Cholesterol to Total-Lipids in IDL percentage
S-HDL-P,0.0067,0.0064,Concentration of Small HDL Particles
LDL-size,0.0062,0.0061,Average Diameter for LDL Particles
Lactate,0.0057,0.0059,Lactate
His,0.0058,0.0056,Histidine
Citrate,0.0073,0.0056,Citrate
IDL-FC%,0.0047,0.0050,Free Cholesterol to Total-Lipids in IDL percentage
Tyr,0.0063,0.0049,Tyrosine
Phe,0.0062,0.0045,Phenylalanine
XXL-VLDL-C%,0.0048,0.0041,Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
L-LDL-TG%,0.0037,0.0035,Triglycerides to Total-Lipids in Large LDL percentage
Gly,0.0032,0.0029,Glycine
Pyruvate,0.0028,0.0028,Pyruvate
Ile,0.0023,0.0023,Isoleucine
Omega-6/Omega-3,0.0027,0.0022,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
M-HDL-FC%,0.0013,0.0015,Free Cholesterol to Total-Lipids in Medium HDL percentage
LA%,0.0018,0.0015,Linoleic Acid to Total-Fatty Acids percentage
PUFA/MUFA,0.0022,0.0013,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
IDL-PL%,0.0015,0.0011,Phospholipids to Total-Lipids in IDL percentage
MUFA%,0.0013,0.0011,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
XXL-VLDL-FC%,0.0008,0.0008,Free Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
Omega-3,0.0010,0.0007,Omega-3 Fatty Acids
SFA%,0.0017,0.0007,Saturated Fatty Acids to Total-Fatty Acids percentage
XL-VLDL-PL%,0.0007,0.0005,Phospholipids to Total-Lipids in Very Large VLDL percentage
Acetate,0.0008,0.0005,Acetate
DHA%,0.0003,0.0002,Docosahexaenoic Acid to Total-Fatty Acids percentage
