Abbreviations,TotalCover_cv,TotalGain_cv,Metabolite
Gln,0.0693,0.0633,Glutamine
Acetoacetate,0.0780,0.0597,Acetoacetate
Citrate,0.0425,0.0550,Citrate
Albumin,0.0575,0.0542,Albumin
Acetone,0.0437,0.0419,Acetone
L-HDL-PL%,0.0562,0.0350,Phospholipids to Total-Lipids in Large HDL percentage
Acetate,0.0237,0.0344,Acetate
His,0.0215,0.0303,Histidine
Val,0.0327,0.0282,Valine
Creatinine,0.0188,0.0270,Creatinine
DHA%,0.0302,0.0265,Docosahexaenoic Acid to Total-Fatty Acids percentage
XXL-VLDL-TG%,0.0298,0.0251,Triglycerides to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
XL-HDL-CE%,0.0295,0.0247,Cholesteryl Esters to Total-Lipids in Very Large HDL percentage
Pyruvate,0.0345,0.0234,Pyruvate
Phe,0.0257,0.0231,Phenylalanine
Glu,0.0158,0.0214,Glucose
M-LDL-C%,0.0253,0.0207,Cholesterol to Total-Lipids in Medium LDL percentage
M-LDL-PL%,0.0128,0.0204,Phospholipids to Total-Lipids in Medium LDL percentage
Tyr,0.0193,0.0193,Tyrosine
L-HDL-FC%,0.0130,0.0176,Free Cholesterol to Total-Lipids in Large HDL percentage
XXL-VLDL-CE%,0.0093,0.0160,Cholesteryl Esters to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
Gly,0.0097,0.0160,Glycine
Ile,0.0132,0.0159,Isoleucine
XXL-VLDL-FC%,0.0087,0.0151,Free Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
MUFA%,0.0187,0.0150,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
3-Hydroxybutyrate,0.0092,0.0150,3-Hydroxybutyrate
Ala,0.0172,0.0146,Alanine
S-HDL-FC%,0.0075,0.0135,Free Cholesterol to Total-Lipids in Small HDL percentage
XS-VLDL-FC%,0.0147,0.0119,Free Cholesterol to Total-Lipids in Very Small VLDL percentage
Leu,0.0110,0.0113,Leucine
Lactate,0.0108,0.0113,Lactate
XXL-VLDL-C%,0.0147,0.0108,Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
XS-VLDL-PL%,0.0137,0.0107,Phospholipids to Total-Lipids in Very Small VLDL percentage
S-LDL-PL%,0.0157,0.0093,Phospholipids to Total-Lipids in Small LDL percentage
L-LDL-CE%,0.0092,0.0092,Cholesteryl Esters to Total-Lipids in Large LDL percentage
SFA%,0.0070,0.0091,Saturated Fatty Acids to Total-Fatty Acids percentage
Total-BCAA,0.0077,0.0091,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
M-VLDL-C%,0.0122,0.0086,Cholesterol to Total-Lipids in Medium VLDL percentage
XXL-VLDL-PL%,0.0082,0.0082,Phospholipids to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
Sc-ala,0.0058,0.0081,Spectrometer-corrected alanine
LDL-size,0.0078,0.0076,Average Diameter for LDL Particles
GlycA,0.0052,0.0073,Glycoprotein Acetyls
IDL-CE%,0.0058,0.0072,Cholesteryl Esters to Total-Lipids in IDL percentage
Omega-3%,0.0020,0.0058,Omega-3 Fatty Acids to Total-Fatty Acids percentage
M-VLDL-CE,0.0048,0.0047,Cholesteryl Esters in Medium VLDL
PUFA/MUFA,0.0047,0.0047,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
M-LDL-FC%,0.0075,0.0046,Free Cholesterol to Total-Lipids in Medium LDL percentage
XS-VLDL-L,0.0025,0.0046,Total-Lipids in Very Small VLDL
HDL-TG,0.0020,0.0041,Triglycerides in HDL
XL-HDL-FC%,0.0050,0.0040,Free Cholesterol to Total-Lipids in Very Large HDL percentage
L-VLDL-FC%,0.0027,0.0037,Free Cholesterol to Total-Lipids in Large VLDL percentage
M-VLDL-P,0.0020,0.0033,Concentration of Medium VLDL Particles
S-HDL-CE%,0.0008,0.0032,Cholesteryl Esters to Total-Lipids in Small HDL percentage
SM,0.0043,0.0031,Sphingomyelins
Omega-6/Omega-3,0.0022,0.0030,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
Unsaturation,0.0027,0.0025,Degree of Unsaturation
M-HDL-TG%,0.0020,0.0025,Triglycerides to Total-Lipids in Medium HDL percentage
