Abbreviations,TotalCover_cv,TotalGain_cv,Metabolite
Albumin,0.1205,0.1060,Albumin
GlycA,0.0972,0.0846,Glycoprotein Acetyls
L-LDL-TG%,0.0813,0.0773,Triglycerides to Total-Lipids in Large LDL percentage
Val,0.0775,0.0721,Valine
IDL-TG%,0.0520,0.0715,Triglycerides to Total-Lipids in IDL percentage
Gly,0.0728,0.0698,Glycine
Lactate,0.0322,0.0522,Lactate
His,0.0445,0.0456,Histidine
Gln,0.0280,0.0399,Glutamine
Total-BCAA,0.0287,0.0282,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
L-HDL-TG,0.0315,0.0243,Triglycerides in Large HDL
M-LDL-TG%,0.0218,0.0238,Triglycerides to Total-Lipids in Medium LDL percentage
LDL-size,0.0268,0.0227,Average Diameter for LDL Particles
Ile,0.0180,0.0223,Isoleucine
L-LDL-PL%,0.0240,0.0221,Phospholipids to Total-Lipids in Large LDL percentage
Acetone,0.0183,0.0220,Acetone
Sc-ala,0.0195,0.0210,Spectrometer-corrected alanine
Leu,0.0132,0.0162,Leucine
Creatinine,0.0095,0.0158,Creatinine
XS-VLDL-CE%,0.0132,0.0145,Cholesteryl Esters to Total-Lipids in Very Small VLDL percentage
Tyr,0.0175,0.0135,Tyrosine
Citrate,0.0090,0.0127,Citrate
Acetate,0.0083,0.0119,Acetate
XXL-VLDL-TG%,0.0080,0.0097,Triglycerides to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
Glu-lactate,0.0090,0.0092,Glucose-lactate
Glu,0.0165,0.0080,Glucose
M-LDL-C%,0.0088,0.0076,Cholesterol to Total-Lipids in Medium LDL percentage
Phe,0.0057,0.0062,Phenylalanine
S-LDL-C%,0.0062,0.0057,Cholesterol to Total-Lipids in Small LDL percentage
Ala,0.0067,0.0052,Alanine
DHA%,0.0067,0.0045,Docosahexaenoic Acid to Total-Fatty Acids percentage
XS-VLDL-FC%,0.0048,0.0043,Free Cholesterol to Total-Lipids in Very Small VLDL percentage
VLDL-size,0.0045,0.0041,Average Diameter for VLDL Particles
XL-HDL-FC%,0.0035,0.0039,Free Cholesterol to Total-Lipids in Very Large HDL percentage
3-Hydroxybutyrate,0.0050,0.0038,3-Hydroxybutyrate
S-HDL-PL%,0.0048,0.0037,Phospholipids to Total-Lipids in Small HDL percentage
Omega-3%,0.0040,0.0034,Omega-3 Fatty Acids to Total-Fatty Acids percentage
IDL-CE%,0.0053,0.0033,Cholesteryl Esters to Total-Lipids in IDL percentage
SFA%,0.0038,0.0027,Saturated Fatty Acids to Total-Fatty Acids percentage
Unsaturation,0.0042,0.0027,Degree of Unsaturation
IDL-FC%,0.0037,0.0026,Free Cholesterol to Total-Lipids in IDL percentage
Pyruvate,0.0013,0.0026,Pyruvate
XXL-VLDL-PL%,0.0032,0.0023,Phospholipids to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
XXL-VLDL-C%,0.0018,0.0023,Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
M-LDL-CE%,0.0018,0.0016,Cholesteryl Esters to Total-Lipids in Medium LDL percentage
L-HDL-PL%,0.0022,0.0016,Phospholipids to Total-Lipids in Large HDL percentage
L-LDL-C%,0.0030,0.0016,Cholesterol to Total-Lipids in Large LDL percentage
Acetoacetate,0.0015,0.0015,Acetoacetate
DHA,0.0028,0.0013,Docosahexaenoic Acid
XS-VLDL-PL%,0.0018,0.0012,Phospholipids to Total-Lipids in Very Small VLDL percentage
LA%,0.0010,0.0012,Linoleic Acid to Total-Fatty Acids percentage
Omega-6/Omega-3,0.0007,0.0008,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
IDL-PL%,0.0008,0.0007,Phospholipids to Total-Lipids in IDL percentage
PUFA/MUFA,0.0005,0.0004,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
L-HDL-FC%,0.0010,0.0003,Free Cholesterol to Total-Lipids in Large HDL percentage
