Abbreviations,TotalCover_cv,TotalGain_cv,Metabolite
GlycA,0.2630,0.2322,Glycoprotein Acetyls
Unsaturation,0.0758,0.2243,Degree of Unsaturation
PUFA/MUFA,0.0275,0.0827,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
Val,0.1255,0.0797,Valine
Omega-3%,0.0777,0.0539,Omega-3 Fatty Acids to Total-Fatty Acids percentage
MUFA%,0.0415,0.0381,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
L-LDL-TG%,0.0608,0.0377,Triglycerides to Total-Lipids in Large LDL percentage
LA%,0.0325,0.0375,Linoleic Acid to Total-Fatty Acids percentage
Albumin,0.0395,0.0348,Albumin
LA,0.0477,0.0312,Linoleic Acid
S-LDL-PL%,0.0360,0.0268,Phospholipids to Total-Lipids in Small LDL percentage
PUFA%,0.0120,0.0190,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
L-VLDL-TG%,0.0278,0.0180,Triglycerides to Total-Lipids in Large VLDL percentage
DHA,0.0200,0.0150,Docosahexaenoic Acid
VLDL-size,0.0175,0.0138,Average Diameter for VLDL Particles
XS-VLDL-PL%,0.0173,0.0122,Phospholipids to Total-Lipids in Very Small VLDL percentage
3-Hydroxybutyrate,0.0125,0.0075,3-Hydroxybutyrate
Omega-3,0.0120,0.0072,Omega-3 Fatty Acids
Total-BCAA,0.0103,0.0068,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
IDL-PL%,0.0078,0.0043,Phospholipids to Total-Lipids in IDL percentage
PUFA,0.0037,0.0028,Polyunsaturated Fatty Acids
Citrate,0.0080,0.0026,Citrate
Tyr,0.0042,0.0017,Tyrosine
XL-VLDL-PL%,0.0032,0.0016,Phospholipids to Total-Lipids in Very Large VLDL percentage
L-LDL-C%,0.0023,0.0015,Cholesterol to Total-Lipids in Large LDL percentage
L-VLDL-CE%,0.0025,0.0015,Cholesteryl Esters to Total-Lipids in Large VLDL percentage
DHA%,0.0025,0.0013,Docosahexaenoic Acid to Total-Fatty Acids percentage
LDL-size,0.0020,0.0012,Average Diameter for LDL Particles
ApoB/ApoA1,0.0018,0.0008,Apolipoprotein B to Apolipoprotein A1 ratio
XL-VLDL-FC%,0.0007,0.0004,Free Cholesterol to Total-Lipids in Very Large VLDL percentage
XXL-VLDL-TG,0.0003,0.0003,Triglycerides in Chylomicrons and Extremely Large VLDL
Lactate,0.0010,0.0003,Lactate
Acetate,0.0008,0.0003,Acetate
Acetone,0.0007,0.0003,Acetone
L-VLDL-PL%,0.0005,0.0002,Phospholipids to Total-Lipids in Large VLDL percentage
Omega-6/Omega-3,0.0003,0.0002,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
XS-VLDL-PL,0.0003,0.0001,Phospholipids in Very Small VLDL
XS-VLDL-FC%,0.0002,6.9007e-05,Free Cholesterol to Total-Lipids in Very Small VLDL percentage
Gln,0.0002,6.2906e-05,Glutamine
