Abbreviations,TotalCover_cv,TotalGain_cv,Metabolite
Creatinine,0.0962,0.0810,Creatinine
Citrate,0.0883,0.0669,Citrate
XS-VLDL-PL%,0.0625,0.0636,Phospholipids to Total-Lipids in Very Small VLDL percentage
HDL-FC,0.0488,0.0618,Free Cholesterol in HDL
L-HDL-TG%,0.0518,0.0526,Triglycerides to Total-Lipids in Large HDL percentage
Pyruvate,0.0405,0.0445,Pyruvate
LDL-size,0.0255,0.0367,Average Diameter for LDL Particles
M-LDL-PL%,0.0307,0.0273,Phospholipids to Total-Lipids in Medium LDL percentage
L-LDL-CE%,0.0268,0.0268,Cholesteryl Esters to Total-Lipids in Large LDL percentage
Gln,0.0195,0.0264,Glutamine
Glu,0.0407,0.0263,Glucose
L-HDL-TG,0.0232,0.0248,Triglycerides in Large HDL
3-Hydroxybutyrate,0.0247,0.0248,3-Hydroxybutyrate
Lactate,0.0247,0.0234,Lactate
M-HDL-FC%,0.0175,0.0231,Free Cholesterol to Total-Lipids in Medium HDL percentage
Omega-6/Omega-3,0.0275,0.0228,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
Sc-ala,0.0162,0.0216,Spectrometer-corrected alanine
GlycA,0.0180,0.0208,Glycoprotein Acetyls
Acetate,0.0135,0.0165,Acetate
Albumin,0.0242,0.0162,Albumin
Ala,0.0083,0.0154,Alanine
SFA%,0.0132,0.0147,Saturated Fatty Acids to Total-Fatty Acids percentage
IDL-PL%,0.0103,0.0145,Phospholipids to Total-Lipids in IDL percentage
Ile,0.0195,0.0138,Isoleucine
Gly,0.0122,0.0128,Glycine
XXL-VLDL-PL%,0.0063,0.0121,Phospholipids to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
XXL-VLDL-C%,0.0102,0.0114,Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
DHA,0.0137,0.0112,Docosahexaenoic Acid
MUFA%,0.0108,0.0110,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
XL-VLDL-C,0.0152,0.0106,Cholesterol in Very Large VLDL
Acetoacetate,0.0067,0.0104,Acetoacetate
XL-VLDL-PL%,0.0090,0.0102,Phospholipids to Total-Lipids in Very Large VLDL percentage
Phe,0.0108,0.0087,Phenylalanine
Leu,0.0082,0.0082,Leucine
L-HDL-FC%,0.0065,0.0080,Free Cholesterol to Total-Lipids in Large HDL percentage
XL-HDL-C%,0.0107,0.0079,Cholesterol to Total-Lipids in Very Large HDL percentage
Tyr,0.0057,0.0078,Tyrosine
VLDL-size,0.0073,0.0077,Average Diameter for VLDL Particles
S-HDL-TG%,0.0073,0.0071,Triglycerides to Total-Lipids in Small HDL percentage
L-VLDL-PL%,0.0053,0.0070,Phospholipids to Total-Lipids in Large VLDL percentage
DHA%,0.0075,0.0063,Docosahexaenoic Acid to Total-Fatty Acids percentage
IDL-FC%,0.0057,0.0061,Free Cholesterol to Total-Lipids in IDL percentage
XL-HDL-TG%,0.0077,0.0061,Triglycerides to Total-Lipids in Very Large HDL percentage
XL-HDL-FC%,0.0067,0.0060,Free Cholesterol to Total-Lipids in Very Large HDL percentage
L-LDL-PL%,0.0042,0.0060,Phospholipids to Total-Lipids in Large LDL percentage
Val,0.0065,0.0058,Valine
S-HDL-FC%,0.0035,0.0051,Free Cholesterol to Total-Lipids in Small HDL percentage
Acetone,0.0042,0.0050,Acetone
LA%,0.0027,0.0049,Linoleic Acid to Total-Fatty Acids percentage
S-HDL-PL%,0.0072,0.0049,Phospholipids to Total-Lipids in Small HDL percentage
His,0.0050,0.0045,Histidine
XXL-VLDL-CE%,0.0030,0.0039,Cholesteryl Esters to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
Glu-lactate,0.0045,0.0034,Glucose-lactate
IDL-CE%,0.0028,0.0030,Cholesteryl Esters to Total-Lipids in IDL percentage
M-LDL-CE%,0.0033,0.0028,Cholesteryl Esters to Total-Lipids in Medium LDL percentage
S-HDL-C%,0.0018,0.0021,Cholesterol to Total-Lipids in Small HDL percentage
XS-VLDL-FC%,0.0023,0.0018,Free Cholesterol to Total-Lipids in Very Small VLDL percentage
M-LDL-C%,0.0012,0.0013,Cholesterol to Total-Lipids in Medium LDL percentage
S-VLDL-CE%,0.0013,0.0011,Cholesteryl Esters to Total-Lipids in Small VLDL percentage
Total-BCAA,0.0002,0.0006,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
Omega-3%,0.0010,0.0005,Omega-3 Fatty Acids to Total-Fatty Acids percentage
