Abbreviations,TotalCover_cv,TotalGain_cv,Metabolite
LA%,0.1645,0.4375,Linoleic Acid to Total-Fatty Acids percentage
GlycA,0.2667,0.2402,Glycoprotein Acetyls
Albumin,0.3183,0.1801,Albumin
VLDL-size,0.0392,0.0262,Average Diameter for VLDL Particles
L-HDL-PL%,0.0240,0.0255,Phospholipids to Total-Lipids in Large HDL percentage
L-LDL-TG,0.0313,0.0138,Triglycerides in Large LDL
L-LDL-TG%,0.0153,0.0109,Triglycerides to Total-Lipids in Large LDL percentage
XXL-VLDL-FC%,0.0237,0.0103,Free Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
ApoB/ApoA1,0.0157,0.0092,Apolipoprotein B to Apolipoprotein A1 ratio
L-HDL-CE%,0.0192,0.0085,Cholesteryl Esters to Total-Lipids in Large HDL percentage
XXL-VLDL-CE,0.0103,0.0074,Cholesteryl Esters in Chylomicrons and Extremely Large VLDL
S-HDL-PL,0.0123,0.0053,Phospholipids in Small HDL
M-HDL-CE,0.0098,0.0046,Cholesteryl Esters in Medium HDL
M-HDL-PL,0.0060,0.0028,Phospholipids in Medium HDL
L-LDL-FC%,0.0058,0.0023,Free Cholesterol to Total-Lipids in Large LDL percentage
S-LDL-CE,0.0022,0.0018,Cholesteryl Esters in Small LDL
IDL-CE%,0.0038,0.0017,Cholesteryl Esters to Total-Lipids in IDL percentage
S-HDL-FC,0.0043,0.0017,Free Cholesterol in Small HDL
His,0.0045,0.0016,Histidine
XS-VLDL-PL%,0.0035,0.0015,Phospholipids to Total-Lipids in Very Small VLDL percentage
Glu,0.0020,0.0009,Glucose
Citrate,0.0020,0.0008,Citrate
LDL-size,0.0018,0.0008,Average Diameter for LDL Particles
XXL-VLDL-PL%,0.0017,0.0007,Phospholipids to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
Tyr,0.0025,0.0007,Tyrosine
M-HDL-L,0.0017,0.0006,Total-Lipids in Medium HDL
Omega-6%,0.0012,0.0005,Omega-6 Fatty Acids to Total-Fatty Acids percentage
L-LDL-C%,0.0010,0.0005,Cholesterol to Total-Lipids in Large LDL percentage
IDL-TG,0.0008,0.0004,Triglycerides in IDL
Total-BCAA,0.0012,0.0003,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
L-LDL-CE%,0.0007,0.0002,Cholesteryl Esters to Total-Lipids in Large LDL percentage
Val,0.0007,0.0002,Valine
Creatinine,0.0005,0.0002,Creatinine
S-HDL-PL%,0.0005,0.0001,Phospholipids to Total-Lipids in Small HDL percentage
Gly,0.0003,0.0001,Glycine
XS-VLDL-FC,0.0003,0.0001,Free Cholesterol in Very Small VLDL
Ile,0.0003,0.0001,Isoleucine
Total-P,0.0002,7.4923e-05,Total-Concentration of Lipoprotein Particles
IDL-PL%,0.0002,5.3405e-05,Phospholipids to Total-Lipids in IDL percentage
