Abbreviations,TotalCover_cv,TotalGain_cv,Metabolite
LA%,0.1572,0.2987,Linoleic Acid to Total-Fatty Acids percentage
L-HDL-PL%,0.1390,0.2695,Phospholipids to Total-Lipids in Large HDL percentage
GlycA,0.2403,0.1799,Glycoprotein Acetyls
Albumin,0.2077,0.1199,Albumin
Citrate,0.0265,0.0131,Citrate
TG/PG,0.0150,0.0108,Triglycerides to Phosphoglycerides ratio
Tyr,0.0172,0.0090,Tyrosine
His,0.0250,0.0089,Histidine
L-LDL-CE%,0.0155,0.0084,Cholesteryl Esters to Total-Lipids in Large LDL percentage
XXL-VLDL-FC%,0.0145,0.0073,Free Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
S-HDL-P,0.0142,0.0072,Concentration of Small HDL Particles
Creatinine,0.0172,0.0069,Creatinine
L-HDL-C%,0.0053,0.0061,Cholesterol to Total-Lipids in Large HDL percentage
XL-HDL-FC,0.0120,0.0061,Free Cholesterol in Very Large HDL
IDL-PL%,0.0110,0.0057,Phospholipids to Total-Lipids in IDL percentage
PUFA%,0.0043,0.0048,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
VLDL-size,0.0058,0.0037,Average Diameter for VLDL Particles
L-HDL-CE%,0.0043,0.0036,Cholesteryl Esters to Total-Lipids in Large HDL percentage
XXL-VLDL-PL%,0.0075,0.0031,Phospholipids to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
IDL-FC%,0.0065,0.0029,Free Cholesterol to Total-Lipids in IDL percentage
L-LDL-TG%,0.0048,0.0024,Triglycerides to Total-Lipids in Large LDL percentage
3-Hydroxybutyrate,0.0043,0.0023,3-Hydroxybutyrate
XL-HDL-C,0.0042,0.0022,Cholesterol in Very Large HDL
Glu,0.0043,0.0020,Glucose
L-LDL-TG,0.0035,0.0019,Triglycerides in Large LDL
SFA%,0.0037,0.0018,Saturated Fatty Acids to Total-Fatty Acids percentage
Acetone,0.0052,0.0017,Acetone
Val,0.0047,0.0016,Valine
Omega-6%,0.0022,0.0015,Omega-6 Fatty Acids to Total-Fatty Acids percentage
Acetoacetate,0.0028,0.0012,Acetoacetate
Gly,0.0035,0.0011,Glycine
S-HDL-CE,0.0018,0.0008,Cholesteryl Esters in Small HDL
S-HDL-L,0.0010,0.0006,Total-Lipids in Small HDL
Ala,0.0013,0.0005,Alanine
IDL-CE%,0.0008,0.0004,Cholesteryl Esters to Total-Lipids in IDL percentage
XS-VLDL-FC%,0.0010,0.0004,Free Cholesterol to Total-Lipids in Very Small VLDL percentage
Glu-lactate,0.0008,0.0004,Glucose-lactate
XS-VLDL-PL%,0.0010,0.0004,Phospholipids to Total-Lipids in Very Small VLDL percentage
L-VLDL-PL%,0.0008,0.0004,Phospholipids to Total-Lipids in Large VLDL percentage
Lactate,0.0005,0.0003,Lactate
Ile,0.0007,0.0002,Isoleucine
LDL-size,0.0003,0.0002,Average Diameter for LDL Particles
M-VLDL-PL%,0.0002,8.8514e-05,Phospholipids to Total-Lipids in Medium VLDL percentage
Omega-3%,0.0002,7.3330e-05,Omega-3 Fatty Acids to Total-Fatty Acids percentage
Gln,0.0002,5.2430e-05,Glutamine
Pyruvate,0.0002,4.8279e-05,Pyruvate
