Abbreviations,TotalCover_cv,TotalGain_cv,Metabolite
LA%,0.1573,0.4223,Linoleic Acid to Total-Fatty Acids percentage
XS-VLDL-CE%,0.0942,0.1145,Cholesteryl Esters to Total-Lipids in Very Small VLDL percentage
Albumin,0.1880,0.1051,Albumin
Creatinine,0.1017,0.0601,Creatinine
LA,0.0465,0.0337,Linoleic Acid
L-LDL-TG%,0.0262,0.0319,Triglycerides to Total-Lipids in Large LDL percentage
S-LDL-CE%,0.0477,0.0275,Cholesteryl Esters to Total-Lipids in Small LDL percentage
3-Hydroxybutyrate,0.0572,0.0274,3-Hydroxybutyrate
GlycA,0.0370,0.0243,Glycoprotein Acetyls
L-LDL-TG,0.0293,0.0230,Triglycerides in Large LDL
S-LDL-PL,0.0333,0.0188,Phospholipids in Small LDL
S-LDL-PL%,0.0268,0.0182,Phospholipids to Total-Lipids in Small LDL percentage
Omega-6%,0.0210,0.0172,Omega-6 Fatty Acids to Total-Fatty Acids percentage
L-HDL-CE,0.0132,0.0102,Cholesteryl Esters in Large HDL
S-LDL-C%,0.0117,0.0080,Cholesterol to Total-Lipids in Small LDL percentage
M-LDL-TG,0.0093,0.0079,Triglycerides in Medium LDL
L-HDL-PL%,0.0130,0.0072,Phospholipids to Total-Lipids in Large HDL percentage
L-HDL-CE%,0.0085,0.0071,Cholesteryl Esters to Total-Lipids in Large HDL percentage
XS-VLDL-C%,0.0108,0.0061,Cholesterol to Total-Lipids in Very Small VLDL percentage
Gly,0.0130,0.0053,Glycine
Glu,0.0117,0.0044,Glucose
Omega-6/Omega-3,0.0090,0.0037,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
XS-VLDL-CE,0.0052,0.0030,Cholesteryl Esters in Very Small VLDL
L-HDL-FC,0.0037,0.0028,Free Cholesterol in Large HDL
IDL-CE%,0.0052,0.0021,Cholesteryl Esters to Total-Lipids in IDL percentage
IDL-TG%,0.0023,0.0019,Triglycerides to Total-Lipids in IDL percentage
Pyruvate,0.0040,0.0015,Pyruvate
Glu-lactate,0.0038,0.0014,Glucose-lactate
Acetoacetate,0.0028,0.0009,Acetoacetate
DHA,0.0017,0.0007,Docosahexaenoic Acid
Citrate,0.0013,0.0005,Citrate
Total-BCAA,0.0010,0.0004,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
His,0.0007,0.0003,Histidine
Leu,0.0007,0.0003,Leucine
XL-HDL-TG%,0.0005,0.0002,Triglycerides to Total-Lipids in Very Large HDL percentage
Phe,0.0005,0.0002,Phenylalanine
Omega-3%,0.0003,0.0001,Omega-3 Fatty Acids to Total-Fatty Acids percentage
