Abbreviations,TotalCover_cv,TotalGain_cv,Metabolite
Albumin,0.0923,0.1042,Albumin
LDL-FC,0.0703,0.0811,Free Cholesterol in LDL
GlycA,0.1027,0.0751,Glycoprotein Acetyls
M-LDL-C%,0.0710,0.0717,Cholesterol to Total-Lipids in Medium LDL percentage
Gln,0.0265,0.0504,Glutamine
Sc-ala,0.0305,0.0391,Spectrometer-corrected alanine
Omega-6/Omega-3,0.0418,0.0378,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
Gly,0.0445,0.0366,Glycine
IDL-P,0.0355,0.0324,Concentration of IDL Particles
Ala,0.0495,0.0324,Alanine
XL-HDL-PL%,0.0302,0.0287,Phospholipids to Total-Lipids in Very Large HDL percentage
Lactate,0.0357,0.0214,Lactate
Total-BCAA,0.0352,0.0213,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
L-LDL-PL%,0.0122,0.0207,Phospholipids to Total-Lipids in Large LDL percentage
Citrate,0.0190,0.0207,Citrate
Acetoacetate,0.0115,0.0206,Acetoacetate
M-LDL-FC,0.0202,0.0189,Free Cholesterol in Medium LDL
IDL-PL%,0.0102,0.0177,Phospholipids to Total-Lipids in IDL percentage
LDL-size,0.0193,0.0175,Average Diameter for LDL Particles
Leu,0.0208,0.0168,Leucine
His,0.0093,0.0163,Histidine
Val,0.0175,0.0126,Valine
XL-HDL-FC%,0.0105,0.0118,Free Cholesterol to Total-Lipids in Very Large HDL percentage
Omega-3%,0.0160,0.0116,Omega-3 Fatty Acids to Total-Fatty Acids percentage
Pyruvate,0.0113,0.0115,Pyruvate
XXL-VLDL-PL%,0.0105,0.0111,Phospholipids to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
DHA,0.0107,0.0101,Docosahexaenoic Acid
3-Hydroxybutyrate,0.0170,0.0092,3-Hydroxybutyrate
M-LDL-PL%,0.0045,0.0075,Phospholipids to Total-Lipids in Medium LDL percentage
L-LDL-C%,0.0090,0.0073,Cholesterol to Total-Lipids in Large LDL percentage
XXL-VLDL-FC%,0.0090,0.0072,Free Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
XS-VLDL-FC%,0.0057,0.0069,Free Cholesterol to Total-Lipids in Very Small VLDL percentage
XL-HDL-FC,0.0053,0.0058,Free Cholesterol in Very Large HDL
M-LDL-TG%,0.0032,0.0057,Triglycerides to Total-Lipids in Medium LDL percentage
L-VLDL-FC%,0.0057,0.0056,Free Cholesterol to Total-Lipids in Large VLDL percentage
Unsaturation,0.0052,0.0052,Degree of Unsaturation
SM,0.0030,0.0049,Sphingomyelins
Acetate,0.0030,0.0048,Acetate
L-LDL-CE%,0.0017,0.0047,Cholesteryl Esters to Total-Lipids in Large LDL percentage
XL-HDL-C%,0.0027,0.0045,Cholesterol to Total-Lipids in Very Large HDL percentage
XL-HDL-CE%,0.0012,0.0045,Cholesteryl Esters to Total-Lipids in Very Large HDL percentage
Glu,0.0040,0.0044,Glucose
L-VLDL-TG%,0.0027,0.0044,Triglycerides to Total-Lipids in Large VLDL percentage
Phe,0.0038,0.0042,Phenylalanine
DHA%,0.0030,0.0040,Docosahexaenoic Acid to Total-Fatty Acids percentage
Acetone,0.0045,0.0039,Acetone
L-LDL-TG%,0.0022,0.0037,Triglycerides to Total-Lipids in Large LDL percentage
TG/PG,0.0045,0.0037,Triglycerides to Phosphoglycerides ratio
S-VLDL-C%,0.0013,0.0034,Cholesterol to Total-Lipids in Small VLDL percentage
XS-VLDL-PL%,0.0003,0.0033,Phospholipids to Total-Lipids in Very Small VLDL percentage
Ile,0.0055,0.0032,Isoleucine
M-LDL-CE%,0.0018,0.0029,Cholesteryl Esters to Total-Lipids in Medium LDL percentage
IDL-CE%,0.0008,0.0028,Cholesteryl Esters to Total-Lipids in IDL percentage
MUFA%,0.0025,0.0023,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
Glu-lactate,0.0027,0.0022,Glucose-lactate
XXL-VLDL-TG%,0.0022,0.0022,Triglycerides to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
S-HDL-FC%,0.0005,0.0019,Free Cholesterol to Total-Lipids in Small HDL percentage
M-HDL-CE%,0.0025,0.0018,Cholesteryl Esters to Total-Lipids in Medium HDL percentage
SFA%,0.0035,0.0016,Saturated Fatty Acids to Total-Fatty Acids percentage
Creatinine,0.0012,0.0014,Creatinine
Tyr,0.0008,0.0014,Tyrosine
L-VLDL-C%,0.0010,0.0014,Cholesterol to Total-Lipids in Large VLDL percentage
L-HDL-FC%,0.0013,0.0011,Free Cholesterol to Total-Lipids in Large HDL percentage
S-HDL-C,0.0015,0.0011,Cholesterol in Small HDL
XS-VLDL-TG%,0.0008,0.0009,Triglycerides to Total-Lipids in Very Small VLDL percentage
XL-HDL-CE,0.0008,0.0008,Cholesteryl Esters in Very Large HDL
XXL-VLDL-C%,0.0010,0.0008,Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
LA%,0.0007,0.0008,Linoleic Acid to Total-Fatty Acids percentage
L-HDL-TG,0.0007,0.0003,Triglycerides in Large HDL
XL-VLDL-TG%,0.0007,0.0002,Triglycerides to Total-Lipids in Very Large VLDL percentage
L-HDL-PL%,0.0002,0.0002,Phospholipids to Total-Lipids in Large HDL percentage
IDL-FC%,0.0002,0.0001,Free Cholesterol to Total-Lipids in IDL percentage
L-LDL-FC%,0.0002,0.0001,Free Cholesterol to Total-Lipids in Large LDL percentage
