Abbreviations,TotalCover_cv,TotalGain_cv,Metabolite
XS-VLDL-CE%,0.0820,0.1256,Cholesteryl Esters to Total-Lipids in Very Small VLDL percentage
XS-VLDL-C%,0.0582,0.1142,Cholesterol to Total-Lipids in Very Small VLDL percentage
LA%,0.0670,0.0734,Linoleic Acid to Total-Fatty Acids percentage
Creatinine,0.0968,0.0711,Creatinine
MUFA%,0.0525,0.0581,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
Albumin,0.0853,0.0526,Albumin
GlycA,0.0610,0.0394,Glycoprotein Acetyls
XXL-VLDL-TG%,0.0398,0.0380,Triglycerides to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
Acetone,0.0450,0.0370,Acetone
M-LDL-PL%,0.0353,0.0352,Phospholipids to Total-Lipids in Medium LDL percentage
3-Hydroxybutyrate,0.0322,0.0287,3-Hydroxybutyrate
Gln,0.0257,0.0282,Glutamine
Gly,0.0397,0.0280,Glycine
PUFA/MUFA,0.0223,0.0215,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
LDL-size,0.0118,0.0194,Average Diameter for LDL Particles
S-LDL-CE%,0.0197,0.0192,Cholesteryl Esters to Total-Lipids in Small LDL percentage
Glu,0.0188,0.0161,Glucose
XS-VLDL-TG%,0.0113,0.0152,Triglycerides to Total-Lipids in Very Small VLDL percentage
XXL-VLDL-CE%,0.0157,0.0147,Cholesteryl Esters to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
XS-VLDL-PL%,0.0127,0.0109,Phospholipids to Total-Lipids in Very Small VLDL percentage
XXL-VLDL-FC%,0.0087,0.0106,Free Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
IDL-TG%,0.0085,0.0104,Triglycerides to Total-Lipids in IDL percentage
Glu-lactate,0.0127,0.0101,Glucose-lactate
Tyr,0.0118,0.0100,Tyrosine
Citrate,0.0093,0.0097,Citrate
PUFA%,0.0108,0.0093,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
L-HDL-PL%,0.0077,0.0082,Phospholipids to Total-Lipids in Large HDL percentage
Phe,0.0078,0.0080,Phenylalanine
His,0.0043,0.0071,Histidine
Sc-ala,0.0080,0.0071,Spectrometer-corrected alanine
Omega-6/Omega-3,0.0072,0.0059,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
IDL-FC%,0.0085,0.0058,Free Cholesterol to Total-Lipids in IDL percentage
Lactate,0.0070,0.0056,Lactate
M-LDL-CE%,0.0058,0.0045,Cholesteryl Esters to Total-Lipids in Medium LDL percentage
Unsaturation,0.0055,0.0044,Degree of Unsaturation
XS-VLDL-FC%,0.0045,0.0037,Free Cholesterol to Total-Lipids in Very Small VLDL percentage
XL-HDL-C%,0.0033,0.0036,Cholesterol to Total-Lipids in Very Large HDL percentage
Omega-3,0.0052,0.0033,Omega-3 Fatty Acids
SFA%,0.0030,0.0032,Saturated Fatty Acids to Total-Fatty Acids percentage
Total-BCAA,0.0028,0.0030,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
Ile,0.0027,0.0026,Isoleucine
IDL-CE%,0.0045,0.0024,Cholesteryl Esters to Total-Lipids in IDL percentage
Acetoacetate,0.0040,0.0024,Acetoacetate
Ala,0.0022,0.0020,Alanine
Pyruvate,0.0017,0.0020,Pyruvate
DHA,0.0022,0.0018,Docosahexaenoic Acid
Acetate,0.0013,0.0016,Acetate
Leu,0.0010,0.0016,Leucine
DHA%,0.0022,0.0014,Docosahexaenoic Acid to Total-Fatty Acids percentage
Omega-3%,0.0012,0.0009,Omega-3 Fatty Acids to Total-Fatty Acids percentage
L-LDL-PL%,0.0010,0.0007,Phospholipids to Total-Lipids in Large LDL percentage
L-HDL-C%,0.0003,0.0003,Cholesterol to Total-Lipids in Large HDL percentage
IDL-PL%,0.0003,0.0002,Phospholipids to Total-Lipids in IDL percentage
S-HDL-FC%,0.0002,0.0001,Free Cholesterol to Total-Lipids in Small HDL percentage
