Abbreviations,TotalCover_cv,TotalGain_cv,Metabolite
Creatinine,0.2263,0.2918,Creatinine
HDL-CE,0.0765,0.1440,Cholesteryl Esters in HDL
Gly,0.1127,0.0782,Glycine
IDL-TG%,0.0463,0.0492,Triglycerides to Total-Lipids in IDL percentage
HDL-C,0.0282,0.0423,HDL Cholesterol
LA%,0.0558,0.0382,Linoleic Acid to Total-Fatty Acids percentage
S-LDL-CE%,0.0380,0.0357,Cholesteryl Esters to Total-Lipids in Small LDL percentage
XL-HDL-FC%,0.0308,0.0350,Free Cholesterol to Total-Lipids in Very Large HDL percentage
Albumin,0.0483,0.0338,Albumin
Gln,0.0515,0.0322,Glutamine
L-LDL-C%,0.0485,0.0293,Cholesterol to Total-Lipids in Large LDL percentage
Total-P,0.0178,0.0273,Total-Concentration of Lipoprotein Particles
IDL-CE%,0.0260,0.0242,Cholesteryl Esters to Total-Lipids in IDL percentage
HDL-P,0.0127,0.0209,Concentration of HDL Particles
LA,0.0220,0.0161,Linoleic Acid
M-HDL-CE,0.0132,0.0135,Cholesteryl Esters in Medium HDL
S-LDL-PL%,0.0162,0.0132,Phospholipids to Total-Lipids in Small LDL percentage
Acetoacetate,0.0170,0.0114,Acetoacetate
XS-VLDL-PL%,0.0172,0.0101,Phospholipids to Total-Lipids in Very Small VLDL percentage
3-Hydroxybutyrate,0.0115,0.0060,3-Hydroxybutyrate
S-LDL-C%,0.0047,0.0056,Cholesterol to Total-Lipids in Small LDL percentage
M-LDL-TG%,0.0063,0.0044,Triglycerides to Total-Lipids in Medium LDL percentage
L-LDL-TG%,0.0052,0.0044,Triglycerides to Total-Lipids in Large LDL percentage
Tyr,0.0093,0.0043,Tyrosine
Unsaturation,0.0085,0.0042,Degree of Unsaturation
GlycA,0.0065,0.0041,Glycoprotein Acetyls
SM,0.0047,0.0039,Sphingomyelins
L-HDL-CE%,0.0053,0.0038,Cholesteryl Esters to Total-Lipids in Large HDL percentage
IDL-FC%,0.0042,0.0020,Free Cholesterol to Total-Lipids in IDL percentage
L-HDL-CE,0.0045,0.0020,Cholesteryl Esters in Large HDL
Citrate,0.0058,0.0018,Citrate
IDL-PL%,0.0018,0.0012,Phospholipids to Total-Lipids in IDL percentage
Acetate,0.0022,0.0010,Acetate
Glu,0.0025,0.0007,Glucose
XL-HDL-C%,0.0020,0.0007,Cholesterol to Total-Lipids in Very Large HDL percentage
His,0.0008,0.0006,Histidine
Lactate,0.0015,0.0005,Lactate
Acetone,0.0018,0.0005,Acetone
Pyruvate,0.0008,0.0004,Pyruvate
MUFA%,0.0008,0.0004,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
Phe,0.0008,0.0003,Phenylalanine
SFA%,0.0005,0.0003,Saturated Fatty Acids to Total-Fatty Acids percentage
Omega-3%,0.0010,0.0002,Omega-3 Fatty Acids to Total-Fatty Acids percentage
Ile,0.0007,0.0002,Isoleucine
Leu,0.0003,0.0001,Leucine
Glu-lactate,0.0005,0.0001,Glucose-lactate
LDL-size,0.0003,0.0001,Average Diameter for LDL Particles
