Abbreviations,TotalCover_cv,TotalGain_cv,Metabolite
S-HDL-PL%,0.0807,0.0563,Phospholipids to Total-Lipids in Small HDL percentage
Gly,0.0487,0.0493,Glycine
Pyruvate,0.0452,0.0444,Pyruvate
Citrate,0.0417,0.0429,Citrate
3-Hydroxybutyrate,0.0378,0.0403,3-Hydroxybutyrate
Acetone,0.0398,0.0393,Acetone
XL-HDL-P,0.0555,0.0372,Concentration of Very Large HDL Particles
Phe,0.0240,0.0363,Phenylalanine
XXL-VLDL-FC%,0.0502,0.0334,Free Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
Ala,0.0222,0.0319,Alanine
SFA%,0.0313,0.0307,Saturated Fatty Acids to Total-Fatty Acids percentage
GlycA,0.0275,0.0277,Glycoprotein Acetyls
Gln,0.0112,0.0259,Glutamine
Omega-3,0.0398,0.0254,Omega-3 Fatty Acids
LDL-size,0.0267,0.0248,Average Diameter for LDL Particles
Acetate,0.0102,0.0232,Acetate
His,0.0283,0.0226,Histidine
Acetoacetate,0.0147,0.0209,Acetoacetate
S-HDL-FC%,0.0213,0.0195,Free Cholesterol to Total-Lipids in Small HDL percentage
XXL-VLDL-C%,0.0118,0.0160,Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
Lactate,0.0123,0.0159,Lactate
IDL-CE%,0.0130,0.0158,Cholesteryl Esters to Total-Lipids in IDL percentage
IDL-C%,0.0150,0.0148,Cholesterol to Total-Lipids in IDL percentage
IDL-PL%,0.0097,0.0140,Phospholipids to Total-Lipids in IDL percentage
M-LDL-C%,0.0093,0.0129,Cholesterol to Total-Lipids in Medium LDL percentage
Unsaturation,0.0128,0.0129,Degree of Unsaturation
XXL-VLDL-PL%,0.0170,0.0125,Phospholipids to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
L-HDL-FC%,0.0142,0.0124,Free Cholesterol to Total-Lipids in Large HDL percentage
XS-VLDL-C%,0.0042,0.0119,Cholesterol to Total-Lipids in Very Small VLDL percentage
IDL-P,0.0083,0.0117,Concentration of IDL Particles
Val,0.0153,0.0106,Valine
XS-VLDL-PL%,0.0142,0.0105,Phospholipids to Total-Lipids in Very Small VLDL percentage
XL-HDL-FC%,0.0153,0.0097,Free Cholesterol to Total-Lipids in Very Large HDL percentage
Sc-ala,0.0097,0.0097,Spectrometer-corrected alanine
Ile,0.0070,0.0089,Isoleucine
Glu-lactate,0.0120,0.0085,Glucose-lactate
XS-VLDL-FC%,0.0092,0.0084,Free Cholesterol to Total-Lipids in Very Small VLDL percentage
DHA,0.0068,0.0082,Docosahexaenoic Acid
M-LDL-PL%,0.0083,0.0079,Phospholipids to Total-Lipids in Medium LDL percentage
Tyr,0.0102,0.0073,Tyrosine
Glu,0.0033,0.0072,Glucose
Creatinine,0.0082,0.0071,Creatinine
Omega-6%,0.0050,0.0065,Omega-6 Fatty Acids to Total-Fatty Acids percentage
Omega-3%,0.0087,0.0064,Omega-3 Fatty Acids to Total-Fatty Acids percentage
IDL-FC%,0.0072,0.0063,Free Cholesterol to Total-Lipids in IDL percentage
HDL-size,0.0047,0.0056,Average Diameter for HDL Particles
XL-HDL-FC,0.0065,0.0055,Free Cholesterol in Very Large HDL
M-LDL-CE%,0.0047,0.0052,Cholesteryl Esters to Total-Lipids in Medium LDL percentage
M-LDL-P,0.0045,0.0052,Concentration of Medium LDL Particles
M-HDL-PL%,0.0038,0.0052,Phospholipids to Total-Lipids in Medium HDL percentage
MUFA,0.0012,0.0051,Monounsaturated Fatty Acids
XXL-VLDL-FC,0.0043,0.0049,Free Cholesterol in Chylomicrons and Extremely Large VLDL
M-VLDL-PL%,0.0023,0.0043,Phospholipids to Total-Lipids in Medium VLDL percentage
Omega-6/Omega-3,0.0015,0.0040,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
TG/PG,0.0017,0.0040,Triglycerides to Phosphoglycerides ratio
HDL-C,0.0025,0.0040,HDL Cholesterol
M-LDL-TG,0.0053,0.0035,Triglycerides in Medium LDL
S-HDL-CE%,0.0017,0.0033,Cholesteryl Esters to Total-Lipids in Small HDL percentage
XL-HDL-PL%,0.0058,0.0031,Phospholipids to Total-Lipids in Very Large HDL percentage
PUFA%,0.0017,0.0030,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
L-HDL-C%,0.0028,0.0029,Cholesterol to Total-Lipids in Large HDL percentage
L-LDL-C%,0.0022,0.0028,Cholesterol to Total-Lipids in Large LDL percentage
