Abbreviations,TotalCover_cv,TotalGain_cv,Metabolite
L-LDL-TG%,0.0767,0.2100,Triglycerides to Total-Lipids in Large LDL percentage
IDL-CE%,0.0563,0.1234,Cholesteryl Esters to Total-Lipids in IDL percentage
LA%,0.0752,0.0934,Linoleic Acid to Total-Fatty Acids percentage
LA,0.0755,0.0886,Linoleic Acid
Glu,0.0838,0.0701,Glucose
Albumin,0.1098,0.0545,Albumin
Creatinine,0.0900,0.0470,Creatinine
S-LDL-C%,0.0248,0.0373,Cholesterol to Total-Lipids in Small LDL percentage
GlycA,0.0562,0.0369,Glycoprotein Acetyls
Total-FC,0.0245,0.0364,Total-Free Cholesterol
Citrate,0.0555,0.0337,Citrate
3-Hydroxybutyrate,0.0438,0.0240,3-Hydroxybutyrate
Acetoacetate,0.0422,0.0220,Acetoacetate
L-LDL-C%,0.0097,0.0199,Cholesterol to Total-Lipids in Large LDL percentage
Glu-lactate,0.0247,0.0180,Glucose-lactate
IDL-CE,0.0138,0.0118,Cholesteryl Esters in IDL
IDL-TG,0.0225,0.0100,Triglycerides in IDL
XS-VLDL-P,0.0182,0.0094,Concentration of Very Small VLDL Particles
PUFA,0.0100,0.0072,Polyunsaturated Fatty Acids
Leu,0.0097,0.0048,Leucine
Tyr,0.0100,0.0045,Tyrosine
His,0.0073,0.0037,Histidine
Remnant-C,0.0055,0.0035,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
Omega-6/Omega-3,0.0052,0.0030,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
M-VLDL-CE,0.0028,0.0028,Cholesteryl Esters in Medium VLDL
S-HDL-CE,0.0030,0.0027,Cholesteryl Esters in Small HDL
Omega-6%,0.0047,0.0020,Omega-6 Fatty Acids to Total-Fatty Acids percentage
Lactate,0.0040,0.0018,Lactate
Omega-6,0.0023,0.0017,Omega-6 Fatty Acids
Ile,0.0033,0.0016,Isoleucine
Val,0.0028,0.0016,Valine
L-VLDL-TG%,0.0027,0.0015,Triglycerides to Total-Lipids in Large VLDL percentage
Total-BCAA,0.0037,0.0015,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
VLDL-size,0.0027,0.0013,Average Diameter for VLDL Particles
XXL-VLDL-CE%,0.0018,0.0012,Cholesteryl Esters to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
S-HDL-FC%,0.0022,0.0010,Free Cholesterol to Total-Lipids in Small HDL percentage
Gly,0.0018,0.0009,Glycine
Gln,0.0022,0.0009,Glutamine
LDL-size,0.0015,0.0008,Average Diameter for LDL Particles
IDL-FC%,0.0013,0.0007,Free Cholesterol to Total-Lipids in IDL percentage
Omega-3%,0.0013,0.0006,Omega-3 Fatty Acids to Total-Fatty Acids percentage
S-HDL-C,0.0010,0.0006,Cholesterol in Small HDL
L-LDL-CE%,0.0008,0.0005,Cholesteryl Esters to Total-Lipids in Large LDL percentage
Phe,0.0007,0.0004,Phenylalanine
XS-VLDL-FC%,0.0007,0.0004,Free Cholesterol to Total-Lipids in Very Small VLDL percentage
Acetate,0.0012,0.0004,Acetate
Ala,0.0003,0.0002,Alanine
SFA%,0.0003,0.0001,Saturated Fatty Acids to Total-Fatty Acids percentage
