Abbreviations,TotalCover_cv,TotalGain_cv,Metabolite
Creatinine,0.3757,0.4875,Creatinine
L-LDL-TG%,0.0762,0.1303,Triglycerides to Total-Lipids in Large LDL percentage
L-LDL-C%,0.0448,0.0632,Cholesterol to Total-Lipids in Large LDL percentage
Albumin,0.1290,0.0589,Albumin
XS-VLDL-CE%,0.0293,0.0456,Cholesteryl Esters to Total-Lipids in Very Small VLDL percentage
LA,0.0718,0.0428,Linoleic Acid
IDL-CE%,0.0318,0.0329,Cholesteryl Esters to Total-Lipids in IDL percentage
IDL-TG%,0.0093,0.0253,Triglycerides to Total-Lipids in IDL percentage
Leu,0.0500,0.0204,Leucine
LA%,0.0415,0.0198,Linoleic Acid to Total-Fatty Acids percentage
IDL-CE,0.0242,0.0182,Cholesteryl Esters in IDL
Non-HDL-C,0.0100,0.0091,Total-Cholesterol Minus HDL-C
Total-BCAA,0.0150,0.0075,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
Glu,0.0192,0.0073,Glucose
XXL-VLDL-CE,0.0155,0.0069,Cholesteryl Esters in Chylomicrons and Extremely Large VLDL
GlycA,0.0207,0.0067,Glycoprotein Acetyls
Glu-lactate,0.0110,0.0044,Glucose-lactate
Total-FC,0.0045,0.0032,Total-Free Cholesterol
XL-HDL-P,0.0050,0.0021,Concentration of Very Large HDL Particles
Cholines,0.0023,0.0014,Total-Cholines
IDL-P,0.0015,0.0012,Concentration of IDL Particles
S-LDL-CE,0.0018,0.0011,Cholesteryl Esters in Small LDL
Val,0.0027,0.0010,Valine
Remnant-C,0.0015,0.0010,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
XXL-VLDL-C,0.0023,0.0009,Cholesterol in Chylomicrons and Extremely Large VLDL
IDL-PL,0.0010,0.0004,Phospholipids in IDL
XS-VLDL-CE,0.0010,0.0004,Cholesteryl Esters in Very Small VLDL
XS-VLDL-FC%,0.0007,9.1295e-05,Free Cholesterol to Total-Lipids in Very Small VLDL percentage
Citrate,0.0003,8.0064e-05,Citrate
His,0.0002,6.2609e-05,Histidine
IDL-C,0.0002,3.3404e-05,Cholesterol in IDL
