Abbreviations,TotalCover_cv,TotalGain_cv,Metabolite
Gly,0.1837,0.1521,Glycine
Glu,0.0845,0.0723,Glucose
L-LDL-TG%,0.0512,0.0710,Triglycerides to Total-Lipids in Large LDL percentage
GlycA,0.0620,0.0696,Glycoprotein Acetyls
Albumin,0.0557,0.0468,Albumin
Ala,0.0443,0.0416,Alanine
Acetone,0.0617,0.0411,Acetone
Citrate,0.0458,0.0401,Citrate
XXL-VLDL-PL%,0.0295,0.0354,Phospholipids to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
Val,0.0305,0.0336,Valine
Unsaturation,0.0265,0.0293,Degree of Unsaturation
His,0.0288,0.0264,Histidine
LDL-size,0.0188,0.0263,Average Diameter for LDL Particles
Gln,0.0122,0.0233,Glutamine
Tyr,0.0145,0.0225,Tyrosine
Ile,0.0110,0.0210,Isoleucine
Sc-ala,0.0273,0.0178,Spectrometer-corrected alanine
Creatinine,0.0118,0.0177,Creatinine
Omega-6/Omega-3,0.0087,0.0157,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
IDL-FC%,0.0190,0.0156,Free Cholesterol to Total-Lipids in IDL percentage
M-LDL-C%,0.0155,0.0138,Cholesterol to Total-Lipids in Medium LDL percentage
Lactate,0.0167,0.0134,Lactate
M-LDL-PL%,0.0105,0.0124,Phospholipids to Total-Lipids in Medium LDL percentage
Acetate,0.0155,0.0111,Acetate
Glu-lactate,0.0137,0.0109,Glucose-lactate
Pyruvate,0.0088,0.0105,Pyruvate
Phe,0.0058,0.0103,Phenylalanine
Acetoacetate,0.0083,0.0101,Acetoacetate
L-HDL-CE%,0.0078,0.0096,Cholesteryl Esters to Total-Lipids in Large HDL percentage
L-LDL-CE%,0.0087,0.0094,Cholesteryl Esters to Total-Lipids in Large LDL percentage
3-Hydroxybutyrate,0.0057,0.0083,3-Hydroxybutyrate
S-HDL-PL%,0.0040,0.0059,Phospholipids to Total-Lipids in Small HDL percentage
L-HDL-C%,0.0050,0.0057,Cholesterol to Total-Lipids in Large HDL percentage
SFA%,0.0050,0.0051,Saturated Fatty Acids to Total-Fatty Acids percentage
Leu,0.0020,0.0046,Leucine
LA%,0.0040,0.0038,Linoleic Acid to Total-Fatty Acids percentage
XS-VLDL-PL%,0.0043,0.0035,Phospholipids to Total-Lipids in Very Small VLDL percentage
IDL-PL%,0.0025,0.0033,Phospholipids to Total-Lipids in IDL percentage
XS-VLDL-CE%,0.0033,0.0032,Cholesteryl Esters to Total-Lipids in Very Small VLDL percentage
XXL-VLDL-FC%,0.0022,0.0029,Free Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
L-LDL-C%,0.0032,0.0029,Cholesterol to Total-Lipids in Large LDL percentage
L-VLDL-PL%,0.0033,0.0029,Phospholipids to Total-Lipids in Large VLDL percentage
M-LDL-CE%,0.0027,0.0027,Cholesteryl Esters to Total-Lipids in Medium LDL percentage
MUFA%,0.0025,0.0025,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
XL-HDL-CE%,0.0018,0.0018,Cholesteryl Esters to Total-Lipids in Very Large HDL percentage
L-LDL-TG,0.0015,0.0018,Triglycerides in Large LDL
Total-BCAA,0.0017,0.0018,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
Omega-3,0.0007,0.0016,Omega-3 Fatty Acids
XXL-VLDL-C%,0.0023,0.0015,Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
XXL-VLDL-CE%,0.0017,0.0013,Cholesteryl Esters to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
L-VLDL-TG%,0.0010,0.0009,Triglycerides to Total-Lipids in Large VLDL percentage
L-HDL-TG,0.0005,0.0006,Triglycerides in Large HDL
S-LDL-C%,0.0002,0.0004,Cholesterol to Total-Lipids in Small LDL percentage
L-LDL-PL%,0.0002,0.0001,Phospholipids to Total-Lipids in Large LDL percentage
