Abbreviations,TotalCover_cv,TotalGain_cv,Metabolite
XXL-VLDL-PL%,0.0972,0.0579,Phospholipids to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
Sc-ala,0.0168,0.0532,Spectrometer-corrected alanine
His,0.0608,0.0490,Histidine
Ile,0.0530,0.0468,Isoleucine
Acetone,0.0353,0.0409,Acetone
Creatinine,0.0528,0.0373,Creatinine
DHA%,0.0545,0.0366,Docosahexaenoic Acid to Total-Fatty Acids percentage
Val,0.0375,0.0365,Valine
LDL-size,0.0318,0.0356,Average Diameter for LDL Particles
Phe,0.0455,0.0297,Phenylalanine
Tyr,0.0212,0.0293,Tyrosine
Acetoacetate,0.0245,0.0271,Acetoacetate
Citrate,0.0203,0.0266,Citrate
Ala,0.0158,0.0260,Alanine
3-Hydroxybutyrate,0.0207,0.0252,3-Hydroxybutyrate
Gly,0.0178,0.0241,Glycine
Omega-6%,0.0168,0.0236,Omega-6 Fatty Acids to Total-Fatty Acids percentage
SFA%,0.0162,0.0187,Saturated Fatty Acids to Total-Fatty Acids percentage
Gln,0.0102,0.0177,Glutamine
Glu-lactate,0.0138,0.0173,Glucose-lactate
IDL-PL%,0.0088,0.0170,Phospholipids to Total-Lipids in IDL percentage
Acetate,0.0268,0.0167,Acetate
Lactate,0.0107,0.0149,Lactate
XS-VLDL-PL%,0.0195,0.0148,Phospholipids to Total-Lipids in Very Small VLDL percentage
L-LDL-PL%,0.0120,0.0143,Phospholipids to Total-Lipids in Large LDL percentage
MUFA%,0.0123,0.0140,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
Unsaturation,0.0108,0.0118,Degree of Unsaturation
S-HDL-FC%,0.0072,0.0118,Free Cholesterol to Total-Lipids in Small HDL percentage
IDL-CE%,0.0093,0.0112,Cholesteryl Esters to Total-Lipids in IDL percentage
L-LDL-FC%,0.0187,0.0107,Free Cholesterol to Total-Lipids in Large LDL percentage
Leu,0.0082,0.0099,Leucine
Albumin,0.0053,0.0096,Albumin
Total-BCAA,0.0062,0.0093,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
L-HDL-TG,0.0145,0.0082,Triglycerides in Large HDL
M-LDL-PL%,0.0117,0.0077,Phospholipids to Total-Lipids in Medium LDL percentage
L-LDL-CE%,0.0085,0.0075,Cholesteryl Esters to Total-Lipids in Large LDL percentage
PUFA,0.0038,0.0074,Polyunsaturated Fatty Acids
LA%,0.0030,0.0067,Linoleic Acid to Total-Fatty Acids percentage
IDL-TG,0.0117,0.0065,Triglycerides in IDL
L-HDL-FC%,0.0102,0.0065,Free Cholesterol to Total-Lipids in Large HDL percentage
PUFA%,0.0038,0.0064,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
XL-HDL-PL%,0.0040,0.0054,Phospholipids to Total-Lipids in Very Large HDL percentage
XL-HDL-PL,0.0055,0.0053,Phospholipids in Very Large HDL
Pyruvate,0.0050,0.0053,Pyruvate
Glu,0.0035,0.0053,Glucose
XL-HDL-TG,0.0075,0.0049,Triglycerides in Very Large HDL
XS-VLDL-L,0.0025,0.0048,Total-Lipids in Very Small VLDL
GlycA,0.0025,0.0048,Glycoprotein Acetyls
XXL-VLDL-FC%,0.0018,0.0047,Free Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
Omega-3%,0.0015,0.0046,Omega-3 Fatty Acids to Total-Fatty Acids percentage
XL-HDL-TG%,0.0050,0.0046,Triglycerides to Total-Lipids in Very Large HDL percentage
XL-HDL-C%,0.0033,0.0046,Cholesterol to Total-Lipids in Very Large HDL percentage
M-LDL-TG,0.0052,0.0045,Triglycerides in Medium LDL
S-HDL-L,0.0030,0.0044,Total-Lipids in Small HDL
VLDL-size,0.0043,0.0044,Average Diameter for VLDL Particles
XS-VLDL-FC%,0.0032,0.0043,Free Cholesterol to Total-Lipids in Very Small VLDL percentage
S-HDL-CE,0.0052,0.0042,Cholesteryl Esters in Small HDL
S-LDL-C%,0.0063,0.0042,Cholesterol to Total-Lipids in Small LDL percentage
S-HDL-C,0.0028,0.0034,Cholesterol in Small HDL
L-LDL-C%,0.0040,0.0034,Cholesterol to Total-Lipids in Large LDL percentage
XL-HDL-L,0.0032,0.0034,Total-Lipids in Very Large HDL
XS-VLDL-C%,0.0020,0.0029,Cholesterol to Total-Lipids in Very Small VLDL percentage
L-VLDL-FC%,0.0042,0.0029,Free Cholesterol to Total-Lipids in Large VLDL percentage
XL-HDL-FC,0.0038,0.0023,Free Cholesterol in Very Large HDL
L-VLDL-PL%,0.0045,0.0022,Phospholipids to Total-Lipids in Large VLDL percentage
M-HDL-L,0.0037,0.0022,Total-Lipids in Medium HDL
S-HDL-CE%,0.0022,0.0020,Cholesteryl Esters to Total-Lipids in Small HDL percentage
S-HDL-PL,0.0018,0.0019,Phospholipids in Small HDL
DHA,0.0037,0.0019,Docosahexaenoic Acid
IDL-FC%,0.0007,0.0018,Free Cholesterol to Total-Lipids in IDL percentage
M-HDL-C%,0.0035,0.0018,Cholesterol to Total-Lipids in Medium HDL percentage
XL-HDL-CE%,0.0012,0.0014,Cholesteryl Esters to Total-Lipids in Very Large HDL percentage
XXL-VLDL-CE%,0.0010,0.0013,Cholesteryl Esters to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
M-VLDL-TG%,0.0013,0.0012,Triglycerides to Total-Lipids in Medium VLDL percentage
M-HDL-FC,0.0010,0.0007,Free Cholesterol in Medium HDL
XXL-VLDL-TG%,0.0003,0.0007,Triglycerides to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
M-LDL-FC%,0.0002,0.0003,Free Cholesterol to Total-Lipids in Medium LDL percentage
