Abbreviations,TotalCover_cv,TotalGain_cv,Metabolite
Creatinine,0.1535,0.1923,Creatinine
LA%,0.1318,0.0895,Linoleic Acid to Total-Fatty Acids percentage
XL-HDL-PL%,0.0783,0.0799,Phospholipids to Total-Lipids in Very Large HDL percentage
Gln,0.0573,0.0705,Glutamine
Gly,0.0703,0.0591,Glycine
L-VLDL-PL%,0.0387,0.0388,Phospholipids to Total-Lipids in Large VLDL percentage
XS-VLDL-PL%,0.0465,0.0326,Phospholipids to Total-Lipids in Very Small VLDL percentage
Lactate,0.0265,0.0326,Lactate
L-LDL-PL%,0.0243,0.0251,Phospholipids to Total-Lipids in Large LDL percentage
3-Hydroxybutyrate,0.0288,0.0250,3-Hydroxybutyrate
Tyr,0.0108,0.0204,Tyrosine
Acetoacetate,0.0095,0.0188,Acetoacetate
Phe,0.0170,0.0187,Phenylalanine
MUFA%,0.0200,0.0182,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
Sc-ala,0.0157,0.0172,Spectrometer-corrected alanine
Ile,0.0118,0.0166,Isoleucine
SFA%,0.0117,0.0162,Saturated Fatty Acids to Total-Fatty Acids percentage
XL-HDL-CE%,0.0130,0.0146,Cholesteryl Esters to Total-Lipids in Very Large HDL percentage
M-LDL-C%,0.0200,0.0144,Cholesterol to Total-Lipids in Medium LDL percentage
Val,0.0083,0.0134,Valine
Acetone,0.0178,0.0129,Acetone
Acetate,0.0073,0.0126,Acetate
M-HDL-TG%,0.0112,0.0125,Triglycerides to Total-Lipids in Medium HDL percentage
Albumin,0.0150,0.0108,Albumin
S-HDL-C,0.0060,0.0074,Cholesterol in Small HDL
XL-HDL-C%,0.0065,0.0064,Cholesterol to Total-Lipids in Very Large HDL percentage
Glu-lactate,0.0122,0.0064,Glucose-lactate
Citrate,0.0050,0.0057,Citrate
Omega-3%,0.0085,0.0053,Omega-3 Fatty Acids to Total-Fatty Acids percentage
IDL-PL%,0.0052,0.0052,Phospholipids to Total-Lipids in IDL percentage
XL-HDL-FC,0.0028,0.0051,Free Cholesterol in Very Large HDL
L-LDL-TG%,0.0028,0.0047,Triglycerides to Total-Lipids in Large LDL percentage
Ala,0.0028,0.0044,Alanine
PUFA/MUFA,0.0055,0.0043,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
XL-HDL-FC%,0.0025,0.0042,Free Cholesterol to Total-Lipids in Very Large HDL percentage
M-HDL-C%,0.0042,0.0042,Cholesterol to Total-Lipids in Medium HDL percentage
IDL-P,0.0038,0.0042,Concentration of IDL Particles
IDL-CE%,0.0057,0.0040,Cholesteryl Esters to Total-Lipids in IDL percentage
XL-VLDL-FC%,0.0037,0.0038,Free Cholesterol to Total-Lipids in Very Large VLDL percentage
His,0.0063,0.0036,Histidine
S-VLDL-C%,0.0005,0.0036,Cholesterol to Total-Lipids in Small VLDL percentage
DHA%,0.0047,0.0035,Docosahexaenoic Acid to Total-Fatty Acids percentage
L-LDL-CE%,0.0037,0.0035,Cholesteryl Esters to Total-Lipids in Large LDL percentage
L-HDL-PL%,0.0030,0.0034,Phospholipids to Total-Lipids in Large HDL percentage
S-HDL-PL%,0.0032,0.0033,Phospholipids to Total-Lipids in Small HDL percentage
Unsaturation,0.0053,0.0032,Degree of Unsaturation
Pyruvate,0.0030,0.0032,Pyruvate
XL-HDL-TG%,0.0017,0.0026,Triglycerides to Total-Lipids in Very Large HDL percentage
Glu,0.0018,0.0026,Glucose
Omega-3,0.0050,0.0026,Omega-3 Fatty Acids
S-HDL-FC%,0.0045,0.0024,Free Cholesterol to Total-Lipids in Small HDL percentage
L-HDL-TG%,0.0013,0.0022,Triglycerides to Total-Lipids in Large HDL percentage
LDL-size,0.0042,0.0022,Average Diameter for LDL Particles
VLDL-size,0.0043,0.0022,Average Diameter for VLDL Particles
L-VLDL-FC%,0.0018,0.0018,Free Cholesterol to Total-Lipids in Large VLDL percentage
M-HDL-FC%,0.0008,0.0017,Free Cholesterol to Total-Lipids in Medium HDL percentage
Total-PL,0.0040,0.0016,Total-Phospholipids in Lipoprotein Particles
S-LDL-CE%,0.0008,0.0016,Cholesteryl Esters to Total-Lipids in Small LDL percentage
S-HDL-L,0.0017,0.0013,Total-Lipids in Small HDL
Leu,0.0008,0.0011,Leucine
M-LDL-P,0.0013,0.0010,Concentration of Medium LDL Particles
XXL-VLDL-L,0.0013,0.0010,Total-Lipids in Chylomicrons and Extremely Large VLDL
M-LDL-TG%,0.0005,0.0010,Triglycerides to Total-Lipids in Medium LDL percentage
PUFA%,0.0013,0.0010,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
XXL-VLDL-PL%,0.0008,0.0008,Phospholipids to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
TG/PG,0.0007,0.0008,Triglycerides to Phosphoglycerides ratio
L-HDL-FC%,0.0012,0.0007,Free Cholesterol to Total-Lipids in Large HDL percentage
Omega-6%,0.0028,0.0007,Omega-6 Fatty Acids to Total-Fatty Acids percentage
IDL-FC%,0.0025,0.0005,Free Cholesterol to Total-Lipids in IDL percentage
Omega-6/Omega-3,0.0007,0.0005,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
VLDL-L,0.0010,0.0002,Total-Lipids in VLDL
HDL-CE,0.0003,0.0002,Cholesteryl Esters in HDL
L-VLDL-TG%,0.0002,6.7678e-05,Triglycerides to Total-Lipids in Large VLDL percentage
HDL-C,0.0002,5.3791e-05,HDL Cholesterol
XXL-VLDL-C%,0.0002,5.2833e-05,Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
