Abbreviations,TotalCover_cv,TotalGain_cv,Metabolite
SFA%,0.0615,0.0670,Saturated Fatty Acids to Total-Fatty Acids percentage
Omega-3%,0.0675,0.0518,Omega-3 Fatty Acids to Total-Fatty Acids percentage
Acetone,0.0553,0.0426,Acetone
Sc-ala,0.0212,0.0375,Spectrometer-corrected alanine
Gly,0.0272,0.0369,Glycine
L-LDL-PL%,0.0473,0.0354,Phospholipids to Total-Lipids in Large LDL percentage
Acetate,0.0388,0.0345,Acetate
Ala,0.0332,0.0335,Alanine
Val,0.0208,0.0301,Valine
Albumin,0.0393,0.0296,Albumin
His,0.0317,0.0290,Histidine
3-Hydroxybutyrate,0.0188,0.0282,3-Hydroxybutyrate
IDL-FC%,0.0263,0.0279,Free Cholesterol to Total-Lipids in IDL percentage
L-LDL-CE%,0.0388,0.0269,Cholesteryl Esters to Total-Lipids in Large LDL percentage
Omega-3,0.0290,0.0246,Omega-3 Fatty Acids
Acetoacetate,0.0172,0.0245,Acetoacetate
S-VLDL-CE%,0.0248,0.0233,Cholesteryl Esters to Total-Lipids in Small VLDL percentage
Creatinine,0.0183,0.0224,Creatinine
Leu,0.0227,0.0222,Leucine
M-LDL-PL%,0.0125,0.0218,Phospholipids to Total-Lipids in Medium LDL percentage
Tyr,0.0207,0.0195,Tyrosine
Lactate,0.0187,0.0186,Lactate
Glu-lactate,0.0198,0.0183,Glucose-lactate
LDL-size,0.0180,0.0163,Average Diameter for LDL Particles
Pyruvate,0.0148,0.0157,Pyruvate
XL-HDL-FC,0.0133,0.0143,Free Cholesterol in Very Large HDL
XXL-VLDL-TG%,0.0133,0.0138,Triglycerides to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
Gln,0.0113,0.0138,Glutamine
GlycA,0.0188,0.0129,Glycoprotein Acetyls
Glu,0.0132,0.0122,Glucose
M-LDL-CE%,0.0060,0.0108,Cholesteryl Esters to Total-Lipids in Medium LDL percentage
MUFA%,0.0078,0.0098,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
XXL-VLDL-FC%,0.0100,0.0088,Free Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
LA%,0.0065,0.0086,Linoleic Acid to Total-Fatty Acids percentage
Unsaturation,0.0102,0.0085,Degree of Unsaturation
XL-HDL-CE%,0.0083,0.0078,Cholesteryl Esters to Total-Lipids in Very Large HDL percentage
DHA%,0.0060,0.0075,Docosahexaenoic Acid to Total-Fatty Acids percentage
DHA,0.0060,0.0073,Docosahexaenoic Acid
Phe,0.0030,0.0070,Phenylalanine
Total-BCAA,0.0045,0.0065,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
Ile,0.0088,0.0063,Isoleucine
IDL-CE%,0.0047,0.0061,Cholesteryl Esters to Total-Lipids in IDL percentage
Citrate,0.0057,0.0061,Citrate
M-LDL-C%,0.0060,0.0061,Cholesterol to Total-Lipids in Medium LDL percentage
L-VLDL-C%,0.0010,0.0058,Cholesterol to Total-Lipids in Large VLDL percentage
Omega-6/Omega-3,0.0065,0.0057,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
Total-C,0.0093,0.0057,Total-Cholesterol
XXL-VLDL-CE%,0.0038,0.0055,Cholesteryl Esters to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
M-LDL-TG%,0.0030,0.0053,Triglycerides to Total-Lipids in Medium LDL percentage
L-VLDL-TG%,0.0087,0.0053,Triglycerides to Total-Lipids in Large VLDL percentage
L-LDL-FC%,0.0060,0.0048,Free Cholesterol to Total-Lipids in Large LDL percentage
IDL-C%,0.0052,0.0045,Cholesterol to Total-Lipids in IDL percentage
VLDL-L,0.0073,0.0043,Total-Lipids in VLDL
L-VLDL-FC%,0.0030,0.0039,Free Cholesterol to Total-Lipids in Large VLDL percentage
S-HDL-FC%,0.0037,0.0033,Free Cholesterol to Total-Lipids in Small HDL percentage
M-LDL-TG,0.0013,0.0032,Triglycerides in Medium LDL
XL-HDL-TG,0.0023,0.0031,Triglycerides in Very Large HDL
XXL-VLDL-PL%,0.0042,0.0029,Phospholipids to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
L-HDL-FC%,0.0028,0.0029,Free Cholesterol to Total-Lipids in Large HDL percentage
L-LDL-P,0.0055,0.0029,Concentration of Large LDL Particles
M-HDL-TG%,0.0025,0.0028,Triglycerides to Total-Lipids in Medium HDL percentage
XL-HDL-TG%,0.0020,0.0027,Triglycerides to Total-Lipids in Very Large HDL percentage
IDL-PL,0.0042,0.0026,Phospholipids in IDL
XS-VLDL-PL%,0.0042,0.0026,Phospholipids to Total-Lipids in Very Small VLDL percentage
XXL-VLDL-C%,0.0010,0.0021,Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
PUFA%,0.0018,0.0017,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
IDL-PL%,0.0015,0.0017,Phospholipids to Total-Lipids in IDL percentage
L-HDL-CE%,0.0007,0.0014,Cholesteryl Esters to Total-Lipids in Large HDL percentage
PUFA/MUFA,0.0007,0.0005,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
