Abbreviations,TotalCover_cv,TotalGain_cv,Metabolite
Pyruvate,0.0778,0.0581,Pyruvate
DHA,0.0508,0.0472,Docosahexaenoic Acid
His,0.0332,0.0471,Histidine
3-Hydroxybutyrate,0.0403,0.0460,3-Hydroxybutyrate
Albumin,0.0453,0.0447,Albumin
Gly,0.0318,0.0438,Glycine
Sc-ala,0.0517,0.0432,Spectrometer-corrected alanine
Phe,0.0238,0.0404,Phenylalanine
GlycA,0.0465,0.0373,Glycoprotein Acetyls
Acetate,0.0503,0.0368,Acetate
M-LDL-PL%,0.0320,0.0347,Phospholipids to Total-Lipids in Medium LDL percentage
L-LDL-PL%,0.0230,0.0343,Phospholipids to Total-Lipids in Large LDL percentage
Glu,0.0445,0.0316,Glucose
Glu-lactate,0.0418,0.0315,Glucose-lactate
L-HDL-TG,0.0243,0.0312,Triglycerides in Large HDL
L-LDL-CE%,0.0217,0.0288,Cholesteryl Esters to Total-Lipids in Large LDL percentage
S-HDL-FC%,0.0162,0.0224,Free Cholesterol to Total-Lipids in Small HDL percentage
Acetoacetate,0.0212,0.0212,Acetoacetate
Ile,0.0118,0.0182,Isoleucine
MUFA%,0.0263,0.0169,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
Lactate,0.0128,0.0169,Lactate
Ala,0.0160,0.0161,Alanine
IDL-FC%,0.0087,0.0146,Free Cholesterol to Total-Lipids in IDL percentage
XXL-VLDL-PL%,0.0118,0.0136,Phospholipids to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
S-HDL-CE,0.0160,0.0134,Cholesteryl Esters in Small HDL
M-HDL-PL%,0.0093,0.0131,Phospholipids to Total-Lipids in Medium HDL percentage
Leu,0.0073,0.0129,Leucine
S-HDL-PL%,0.0087,0.0121,Phospholipids to Total-Lipids in Small HDL percentage
M-HDL-TG,0.0087,0.0116,Triglycerides in Medium HDL
Citrate,0.0110,0.0108,Citrate
DHA%,0.0137,0.0096,Docosahexaenoic Acid to Total-Fatty Acids percentage
Creatinine,0.0108,0.0094,Creatinine
S-HDL-C,0.0098,0.0085,Cholesterol in Small HDL
Omega-3,0.0075,0.0076,Omega-3 Fatty Acids
M-HDL-PL,0.0070,0.0073,Phospholipids in Medium HDL
S-HDL-L,0.0098,0.0069,Total-Lipids in Small HDL
LDL-size,0.0088,0.0068,Average Diameter for LDL Particles
IDL-PL%,0.0042,0.0064,Phospholipids to Total-Lipids in IDL percentage
M-LDL-CE%,0.0085,0.0063,Cholesteryl Esters to Total-Lipids in Medium LDL percentage
XXL-VLDL-FC%,0.0058,0.0062,Free Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
PC,0.0107,0.0060,Phosphatidylcholines
XL-HDL-CE%,0.0062,0.0052,Cholesteryl Esters to Total-Lipids in Very Large HDL percentage
Unsaturation,0.0085,0.0048,Degree of Unsaturation
SM,0.0025,0.0047,Sphingomyelins
Gln,0.0030,0.0043,Glutamine
Omega-6/Omega-3,0.0027,0.0039,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
S-HDL-FC,0.0080,0.0035,Free Cholesterol in Small HDL
M-HDL-FC%,0.0055,0.0034,Free Cholesterol to Total-Lipids in Medium HDL percentage
Omega-3%,0.0048,0.0034,Omega-3 Fatty Acids to Total-Fatty Acids percentage
XS-VLDL-PL%,0.0038,0.0032,Phospholipids to Total-Lipids in Very Small VLDL percentage
L-LDL-FC%,0.0033,0.0032,Free Cholesterol to Total-Lipids in Large LDL percentage
M-LDL-P,0.0023,0.0031,Concentration of Medium LDL Particles
L-VLDL-TG%,0.0023,0.0030,Triglycerides to Total-Lipids in Large VLDL percentage
Acetone,0.0015,0.0027,Acetone
S-LDL-PL%,0.0022,0.0024,Phospholipids to Total-Lipids in Small LDL percentage
L-HDL-FC,0.0028,0.0020,Free Cholesterol in Large HDL
SFA%,0.0017,0.0020,Saturated Fatty Acids to Total-Fatty Acids percentage
M-HDL-CE%,0.0015,0.0017,Cholesteryl Esters to Total-Lipids in Medium HDL percentage
L-LDL-C%,0.0013,0.0014,Cholesterol to Total-Lipids in Large LDL percentage
Tyr,0.0035,0.0013,Tyrosine
L-VLDL-CE%,0.0008,0.0012,Cholesteryl Esters to Total-Lipids in Large VLDL percentage
TG/PG,0.0018,0.0011,Triglycerides to Phosphoglycerides ratio
S-VLDL-CE%,0.0003,0.0011,Cholesteryl Esters to Total-Lipids in Small VLDL percentage
S-LDL-CE%,0.0008,0.0010,Cholesteryl Esters to Total-Lipids in Small LDL percentage
IDL-C%,0.0012,0.0010,Cholesterol to Total-Lipids in IDL percentage
IDL-CE%,0.0002,0.0009,Cholesteryl Esters to Total-Lipids in IDL percentage
M-LDL-C%,0.0003,0.0007,Cholesterol to Total-Lipids in Medium LDL percentage
Total-BCAA,0.0003,0.0006,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
L-VLDL-FC%,0.0003,0.0005,Free Cholesterol to Total-Lipids in Large VLDL percentage
XXL-VLDL-C%,0.0010,0.0004,Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
LA%,0.0003,0.0003,Linoleic Acid to Total-Fatty Acids percentage
LA,0.0007,0.0002,Linoleic Acid
S-LDL-C%,0.0028,1.1012e-10,Cholesterol to Total-Lipids in Small LDL percentage
