Abbreviations,TotalCover_cv,TotalGain_cv,Metabolite
S-VLDL-FC%,0.0570,0.0905,Free Cholesterol to Total-Lipids in Small VLDL percentage
Creatinine,0.0723,0.0613,Creatinine
Gln,0.0717,0.0568,Glutamine
Albumin,0.0678,0.0500,Albumin
XS-VLDL-PL%,0.0483,0.0443,Phospholipids to Total-Lipids in Very Small VLDL percentage
GlycA,0.0487,0.0442,Glycoprotein Acetyls
XS-VLDL-CE%,0.0327,0.0439,Cholesteryl Esters to Total-Lipids in Very Small VLDL percentage
Glu,0.0552,0.0432,Glucose
IDL-CE%,0.0343,0.0391,Cholesteryl Esters to Total-Lipids in IDL percentage
His,0.0258,0.0354,Histidine
SFA%,0.0203,0.0288,Saturated Fatty Acids to Total-Fatty Acids percentage
Sc-ala,0.0312,0.0285,Spectrometer-corrected alanine
LA,0.0285,0.0271,Linoleic Acid
Acetate,0.0263,0.0253,Acetate
Citrate,0.0220,0.0233,Citrate
L-HDL-PL%,0.0198,0.0228,Phospholipids to Total-Lipids in Large HDL percentage
Val,0.0197,0.0205,Valine
Lactate,0.0265,0.0199,Lactate
Tyr,0.0158,0.0191,Tyrosine
L-HDL-CE%,0.0213,0.0185,Cholesteryl Esters to Total-Lipids in Large HDL percentage
IDL-FC%,0.0207,0.0172,Free Cholesterol to Total-Lipids in IDL percentage
Phe,0.0122,0.0158,Phenylalanine
Acetoacetate,0.0187,0.0155,Acetoacetate
LA%,0.0140,0.0155,Linoleic Acid to Total-Fatty Acids percentage
XL-HDL-FC%,0.0118,0.0153,Free Cholesterol to Total-Lipids in Very Large HDL percentage
Acetone,0.0192,0.0150,Acetone
Glu-lactate,0.0143,0.0150,Glucose-lactate
LDL-size,0.0150,0.0146,Average Diameter for LDL Particles
Ala,0.0083,0.0097,Alanine
3-Hydroxybutyrate,0.0078,0.0096,3-Hydroxybutyrate
Omega-6/Omega-3,0.0082,0.0095,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
XL-HDL-C%,0.0068,0.0087,Cholesterol to Total-Lipids in Very Large HDL percentage
Gly,0.0067,0.0085,Glycine
XS-VLDL-FC%,0.0083,0.0081,Free Cholesterol to Total-Lipids in Very Small VLDL percentage
IDL-PL%,0.0080,0.0076,Phospholipids to Total-Lipids in IDL percentage
S-LDL-PL%,0.0110,0.0075,Phospholipids to Total-Lipids in Small LDL percentage
XL-HDL-PL%,0.0077,0.0075,Phospholipids to Total-Lipids in Very Large HDL percentage
XXL-VLDL-PL%,0.0083,0.0074,Phospholipids to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
Ile,0.0068,0.0072,Isoleucine
L-LDL-TG%,0.0067,0.0068,Triglycerides to Total-Lipids in Large LDL percentage
Omega-3%,0.0053,0.0051,Omega-3 Fatty Acids to Total-Fatty Acids percentage
Unsaturation,0.0055,0.0041,Degree of Unsaturation
S-HDL-PL%,0.0022,0.0037,Phospholipids to Total-Lipids in Small HDL percentage
Leu,0.0035,0.0036,Leucine
L-HDL-FC%,0.0027,0.0028,Free Cholesterol to Total-Lipids in Large HDL percentage
Pyruvate,0.0023,0.0027,Pyruvate
MUFA%,0.0027,0.0026,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
L-LDL-FC%,0.0015,0.0026,Free Cholesterol to Total-Lipids in Large LDL percentage
XXL-VLDL-CE%,0.0020,0.0023,Cholesteryl Esters to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
M-LDL-PL%,0.0023,0.0023,Phospholipids to Total-Lipids in Medium LDL percentage
M-LDL-C%,0.0025,0.0021,Cholesterol to Total-Lipids in Medium LDL percentage
Omega-3,0.0007,0.0009,Omega-3 Fatty Acids
S-HDL-FC%,0.0010,0.0008,Free Cholesterol to Total-Lipids in Small HDL percentage
