Abbreviations,TotalCover_cv,TotalGain_cv,Metabolite
Albumin,0.0807,0.0643,Albumin
Creatinine,0.0699,0.0638,Creatinine
L-LDL-CE%,0.0567,0.0595,Cholesteryl Esters to Total-Lipids in Large LDL percentage
Acetate,0.0560,0.0564,Acetate
LA%,0.0624,0.0458,Linoleic Acid to Total-Fatty Acids percentage
Gln,0.0357,0.0413,Glutamine
DHA%,0.0453,0.0306,Docosahexaenoic Acid to Total-Fatty Acids percentage
Glu-lactate,0.0462,0.0280,Glucose-lactate
Lactate,0.0213,0.0279,Lactate
Acetoacetate,0.0269,0.0272,Acetoacetate
Pyruvate,0.0214,0.0255,Pyruvate
Citrate,0.0230,0.0254,Citrate
GlycA,0.0291,0.0244,Glycoprotein Acetyls
Ala,0.0097,0.0195,Alanine
IDL-PL%,0.0093,0.0185,Phospholipids to Total-Lipids in IDL percentage
Gly,0.0170,0.0185,Glycine
3-Hydroxybutyrate,0.0162,0.0184,3-Hydroxybutyrate
L-HDL-PL%,0.0253,0.0180,Phospholipids to Total-Lipids in Large HDL percentage
Glu,0.0169,0.0175,Glucose
M-HDL-C,0.0171,0.0174,Cholesterol in Medium HDL
XXL-VLDL-CE%,0.0175,0.0166,Cholesteryl Esters to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
XL-HDL-CE%,0.0155,0.0163,Cholesteryl Esters to Total-Lipids in Very Large HDL percentage
XS-VLDL-PL%,0.0190,0.0161,Phospholipids to Total-Lipids in Very Small VLDL percentage
M-LDL-C%,0.0100,0.0158,Cholesterol to Total-Lipids in Medium LDL percentage
XXL-VLDL-FC%,0.0127,0.0155,Free Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
L-LDL-PL%,0.0108,0.0154,Phospholipids to Total-Lipids in Large LDL percentage
Ile,0.0139,0.0141,Isoleucine
Total-BCAA,0.0117,0.0133,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
L-VLDL-FC%,0.0123,0.0129,Free Cholesterol to Total-Lipids in Large VLDL percentage
Acetone,0.0110,0.0127,Acetone
Val,0.0133,0.0116,Valine
S-HDL-CE,0.0078,0.0112,Cholesteryl Esters in Small HDL
Omega-3%,0.0069,0.0108,Omega-3 Fatty Acids to Total-Fatty Acids percentage
MUFA%,0.0160,0.0101,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
XL-VLDL-PL%,0.0052,0.0086,Phospholipids to Total-Lipids in Very Large VLDL percentage
ApoB/ApoA1,0.0102,0.0085,Apolipoprotein B to Apolipoprotein A1 ratio
Phe,0.0103,0.0081,Phenylalanine
His,0.0038,0.0076,Histidine
S-HDL-C%,0.0037,0.0073,Cholesterol to Total-Lipids in Small HDL percentage
Tyr,0.0035,0.0072,Tyrosine
Unsaturation,0.0080,0.0069,Degree of Unsaturation
S-LDL-PL%,0.0083,0.0063,Phospholipids to Total-Lipids in Small LDL percentage
M-HDL-PL%,0.0065,0.0059,Phospholipids to Total-Lipids in Medium HDL percentage
IDL-CE%,0.0048,0.0057,Cholesteryl Esters to Total-Lipids in IDL percentage
XL-HDL-FC%,0.0027,0.0057,Free Cholesterol to Total-Lipids in Very Large HDL percentage
Sc-ala,0.0033,0.0055,Spectrometer-corrected alanine
M-LDL-CE%,0.0033,0.0049,Cholesteryl Esters to Total-Lipids in Medium LDL percentage
