Abbreviations,TotalCover_cv,TotalGain_cv,Metabolite
Gly,0.0783,0.0651,Glycine
Pyruvate,0.0450,0.0454,Pyruvate
Citrate,0.0447,0.0433,Citrate
XXL-VLDL-PL%,0.0455,0.0427,Phospholipids to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
Phe,0.0377,0.0407,Phenylalanine
3-Hydroxybutyrate,0.0447,0.0398,3-Hydroxybutyrate
XL-HDL-PL%,0.0500,0.0367,Phospholipids to Total-Lipids in Very Large HDL percentage
M-LDL-CE%,0.0227,0.0316,Cholesteryl Esters to Total-Lipids in Medium LDL percentage
Lactate,0.0468,0.0315,Lactate
XS-VLDL-PL%,0.0320,0.0300,Phospholipids to Total-Lipids in Very Small VLDL percentage
SFA%,0.0307,0.0283,Saturated Fatty Acids to Total-Fatty Acids percentage
M-LDL-PL%,0.0235,0.0272,Phospholipids to Total-Lipids in Medium LDL percentage
IDL-PL%,0.0163,0.0264,Phospholipids to Total-Lipids in IDL percentage
Acetone,0.0225,0.0260,Acetone
His,0.0267,0.0260,Histidine
GlycA,0.0170,0.0256,Glycoprotein Acetyls
Gln,0.0115,0.0247,Glutamine
IDL-CE%,0.0203,0.0226,Cholesteryl Esters to Total-Lipids in IDL percentage
S-HDL-FC%,0.0185,0.0223,Free Cholesterol to Total-Lipids in Small HDL percentage
S-HDL-PL%,0.0248,0.0183,Phospholipids to Total-Lipids in Small HDL percentage
Acetoacetate,0.0133,0.0178,Acetoacetate
MUFA%,0.0107,0.0160,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
XXL-VLDL-FC%,0.0172,0.0156,Free Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
Omega-3,0.0238,0.0154,Omega-3 Fatty Acids
Ile,0.0117,0.0154,Isoleucine
PUFA/MUFA,0.0082,0.0148,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
Ala,0.0127,0.0144,Alanine
XS-VLDL-FC%,0.0100,0.0137,Free Cholesterol to Total-Lipids in Very Small VLDL percentage
Acetate,0.0107,0.0136,Acetate
Val,0.0247,0.0130,Valine
Tyr,0.0105,0.0128,Tyrosine
Sc-ala,0.0083,0.0115,Spectrometer-corrected alanine
Creatinine,0.0097,0.0106,Creatinine
Omega-6%,0.0052,0.0104,Omega-6 Fatty Acids to Total-Fatty Acids percentage
XXL-VLDL-CE%,0.0108,0.0098,Cholesteryl Esters to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
L-HDL-FC%,0.0150,0.0093,Free Cholesterol to Total-Lipids in Large HDL percentage
IDL-P,0.0062,0.0090,Concentration of IDL Particles
Leu,0.0175,0.0085,Leucine
S-LDL-FC,0.0048,0.0084,Free Cholesterol in Small LDL
Omega-3%,0.0110,0.0082,Omega-3 Fatty Acids to Total-Fatty Acids percentage
IDL-FC%,0.0062,0.0082,Free Cholesterol to Total-Lipids in IDL percentage
DHA,0.0080,0.0075,Docosahexaenoic Acid
Unsaturation,0.0065,0.0069,Degree of Unsaturation
L-LDL-CE%,0.0063,0.0057,Cholesteryl Esters to Total-Lipids in Large LDL percentage
L-HDL-TG,0.0092,0.0056,Triglycerides in Large HDL
Albumin,0.0058,0.0053,Albumin
L-LDL-PL%,0.0038,0.0044,Phospholipids to Total-Lipids in Large LDL percentage
XXL-VLDL-C%,0.0028,0.0043,Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
S-LDL-PL%,0.0060,0.0042,Phospholipids to Total-Lipids in Small LDL percentage
Glu,0.0022,0.0042,Glucose
L-VLDL-CE,0.0033,0.0040,Cholesteryl Esters in Large VLDL
S-HDL-CE,0.0037,0.0035,Cholesteryl Esters in Small HDL
S-HDL-TG%,0.0018,0.0031,Triglycerides to Total-Lipids in Small HDL percentage
L-HDL-PL%,0.0048,0.0028,Phospholipids to Total-Lipids in Large HDL percentage
VLDL-size,0.0027,0.0028,Average Diameter for VLDL Particles
IDL-TG,0.0020,0.0027,Triglycerides in IDL
S-VLDL-P,0.0015,0.0024,Concentration of Small VLDL Particles
M-LDL-C%,0.0020,0.0024,Cholesterol to Total-Lipids in Medium LDL percentage
IDL-C%,0.0032,0.0022,Cholesterol to Total-Lipids in IDL percentage
S-LDL-TG,0.0027,0.0022,Triglycerides in Small LDL
Glu-lactate,0.0010,0.0021,Glucose-lactate
L-HDL-C%,0.0010,0.0019,Cholesterol to Total-Lipids in Large HDL percentage
Omega-6/Omega-3,0.0013,0.0018,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
DHA%,0.0030,0.0018,Docosahexaenoic Acid to Total-Fatty Acids percentage
XL-HDL-C%,0.0028,0.0017,Cholesterol to Total-Lipids in Very Large HDL percentage
Total-BCAA,0.0007,0.0013,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
PUFA%,0.0012,0.0012,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
HDL-size,0.0018,0.0009,Average Diameter for HDL Particles
LDL-size,0.0017,0.0005,Average Diameter for LDL Particles
