Abbreviations,TotalCover_cv,TotalGain_cv,Metabolite
Gly,0.2380,0.3760,Glycine
Creatinine,0.2210,0.2633,Creatinine
M-HDL-PL%,0.0702,0.0583,Phospholipids to Total-Lipids in Medium HDL percentage
GlycA,0.0692,0.0400,Glycoprotein Acetyls
Acetone,0.0552,0.0326,Acetone
3-Hydroxybutyrate,0.0318,0.0200,3-Hydroxybutyrate
Ala,0.0343,0.0198,Alanine
Glu,0.0253,0.0177,Glucose
Val,0.0222,0.0165,Valine
M-HDL-C%,0.0188,0.0145,Cholesterol to Total-Lipids in Medium HDL percentage
M-HDL-FC%,0.0210,0.0133,Free Cholesterol to Total-Lipids in Medium HDL percentage
L-VLDL-PL%,0.0120,0.0083,Phospholipids to Total-Lipids in Large VLDL percentage
Leu,0.0107,0.0073,Leucine
L-HDL-CE%,0.0090,0.0070,Cholesteryl Esters to Total-Lipids in Large HDL percentage
Glu-lactate,0.0083,0.0068,Glucose-lactate
LDL-size,0.0082,0.0060,Average Diameter for LDL Particles
Albumin,0.0088,0.0056,Albumin
Pyruvate,0.0108,0.0054,Pyruvate
Total-BCAA,0.0087,0.0053,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
XS-VLDL-P,0.0077,0.0046,Concentration of Very Small VLDL Particles
XS-VLDL-L,0.0080,0.0045,Total-Lipids in Very Small VLDL
Gln,0.0052,0.0045,Glutamine
SFA%,0.0075,0.0044,Saturated Fatty Acids to Total-Fatty Acids percentage
His,0.0062,0.0042,Histidine
Ile,0.0063,0.0041,Isoleucine
Omega-3,0.0068,0.0041,Omega-3 Fatty Acids
M-LDL-TG%,0.0038,0.0035,Triglycerides to Total-Lipids in Medium LDL percentage
S-HDL-FC%,0.0053,0.0035,Free Cholesterol to Total-Lipids in Small HDL percentage
S-HDL-PL%,0.0038,0.0033,Phospholipids to Total-Lipids in Small HDL percentage
XL-HDL-TG%,0.0052,0.0032,Triglycerides to Total-Lipids in Very Large HDL percentage
XL-VLDL-PL%,0.0045,0.0031,Phospholipids to Total-Lipids in Very Large VLDL percentage
L-LDL-CE%,0.0053,0.0030,Cholesteryl Esters to Total-Lipids in Large LDL percentage
Sc-ala,0.0042,0.0025,Spectrometer-corrected alanine
XL-HDL-CE%,0.0028,0.0024,Cholesteryl Esters to Total-Lipids in Very Large HDL percentage
XL-HDL-PL,0.0025,0.0021,Phospholipids in Very Large HDL
Acetoacetate,0.0033,0.0020,Acetoacetate
L-LDL-PL%,0.0025,0.0019,Phospholipids to Total-Lipids in Large LDL percentage
XXL-VLDL-FC%,0.0030,0.0017,Free Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
Phe,0.0023,0.0016,Phenylalanine
Tyr,0.0025,0.0015,Tyrosine
M-LDL-PL%,0.0022,0.0014,Phospholipids to Total-Lipids in Medium LDL percentage
IDL-FC%,0.0025,0.0013,Free Cholesterol to Total-Lipids in IDL percentage
Citrate,0.0020,0.0013,Citrate
Acetate,0.0017,0.0012,Acetate
L-HDL-PL%,0.0020,0.0012,Phospholipids to Total-Lipids in Large HDL percentage
XS-VLDL-FC%,0.0015,0.0008,Free Cholesterol to Total-Lipids in Very Small VLDL percentage
Omega-3%,0.0012,0.0006,Omega-3 Fatty Acids to Total-Fatty Acids percentage
XXL-VLDL-PL%,0.0010,0.0005,Phospholipids to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
XS-VLDL-PL%,0.0007,0.0005,Phospholipids to Total-Lipids in Very Small VLDL percentage
IDL-PL%,0.0008,0.0004,Phospholipids to Total-Lipids in IDL percentage
Unsaturation,0.0007,0.0003,Degree of Unsaturation
M-LDL-CE%,0.0005,0.0003,Cholesteryl Esters to Total-Lipids in Medium LDL percentage
S-HDL-C%,0.0007,0.0003,Cholesterol to Total-Lipids in Small HDL percentage
IDL-CE%,0.0002,0.0002,Cholesteryl Esters to Total-Lipids in IDL percentage
Lactate,0.0002,0.0002,Lactate
