Abbreviations,TotalCover_cv,TotalGain_cv,Metabolite
Creatinine,0.3733,0.5310,Creatinine
L-LDL-TG%,0.0632,0.1006,Triglycerides to Total-Lipids in Large LDL percentage
Albumin,0.1340,0.0603,Albumin
L-LDL-C%,0.0455,0.0519,Cholesterol to Total-Lipids in Large LDL percentage
XS-VLDL-CE%,0.0305,0.0405,Cholesteryl Esters to Total-Lipids in Very Small VLDL percentage
IDL-CE%,0.0323,0.0345,Cholesteryl Esters to Total-Lipids in IDL percentage
LA,0.0628,0.0332,Linoleic Acid
Leu,0.0578,0.0268,Leucine
IDL-TG%,0.0117,0.0237,Triglycerides to Total-Lipids in IDL percentage
IDL-CE,0.0297,0.0206,Cholesteryl Esters in IDL
LA%,0.0347,0.0184,Linoleic Acid to Total-Fatty Acids percentage
Non-HDL-C,0.0133,0.0119,Total-Cholesterol Minus HDL-C
Total-FC,0.0140,0.0103,Total-Free Cholesterol
GlycA,0.0250,0.0069,Glycoprotein Acetyls
XXL-VLDL-CE,0.0152,0.0061,Cholesteryl Esters in Chylomicrons and Extremely Large VLDL
Glu-lactate,0.0143,0.0049,Glucose-lactate
S-LDL-CE,0.0068,0.0044,Cholesteryl Esters in Small LDL
Glu,0.0112,0.0038,Glucose
XXL-VLDL-C,0.0110,0.0032,Cholesterol in Chylomicrons and Extremely Large VLDL
Total-BCAA,0.0055,0.0023,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
L-LDL-FC,0.0018,0.0016,Free Cholesterol in Large LDL
Remnant-C,0.0018,0.0014,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
Cholines,0.0020,0.0011,Total-Cholines
Total-PL,0.0007,0.0003,Total-Phospholipids in Lipoprotein Particles
S-LDL-CE%,0.0007,0.0002,Cholesteryl Esters to Total-Lipids in Small LDL percentage
IDL-PL,0.0003,0.0002,Phospholipids in IDL
PUFA,0.0005,0.0001,Polyunsaturated Fatty Acids
3-Hydroxybutyrate,0.0002,2.9709e-05,3-Hydroxybutyrate
XL-HDL-P,0.0002,1.8144e-05,Concentration of Very Large HDL Particles
