Abbreviations,TotalCover_cv,TotalGain_cv,Metabolite
Citrate,0.0797,0.0986,Citrate
XS-VLDL-PL%,0.0930,0.0742,Phospholipids to Total-Lipids in Very Small VLDL percentage
DHA,0.0878,0.0710,Docosahexaenoic Acid
Phe,0.0773,0.0518,Phenylalanine
Omega-6/Omega-3,0.0500,0.0418,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
Albumin,0.0462,0.0362,Albumin
XXL-VLDL-PL%,0.0412,0.0339,Phospholipids to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
Glu-lactate,0.0312,0.0327,Glucose-lactate
Creatinine,0.0498,0.0291,Creatinine
3-Hydroxybutyrate,0.0247,0.0287,3-Hydroxybutyrate
M-LDL-C%,0.0263,0.0266,Cholesterol to Total-Lipids in Medium LDL percentage
Acetone,0.0083,0.0257,Acetone
Ala,0.0430,0.0221,Alanine
DHA%,0.0165,0.0203,Docosahexaenoic Acid to Total-Fatty Acids percentage
IDL-PL%,0.0215,0.0201,Phospholipids to Total-Lipids in IDL percentage
Val,0.0130,0.0195,Valine
Gln,0.0100,0.0186,Glutamine
M-LDL-PL%,0.0112,0.0178,Phospholipids to Total-Lipids in Medium LDL percentage
Glu,0.0093,0.0172,Glucose
LA%,0.0125,0.0167,Linoleic Acid to Total-Fatty Acids percentage
Acetate,0.0133,0.0164,Acetate
IDL-FC%,0.0082,0.0160,Free Cholesterol to Total-Lipids in IDL percentage
IDL-C%,0.0138,0.0155,Cholesterol to Total-Lipids in IDL percentage
XXL-VLDL-C%,0.0095,0.0153,Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
XS-VLDL-FC%,0.0112,0.0144,Free Cholesterol to Total-Lipids in Very Small VLDL percentage
Pyruvate,0.0132,0.0139,Pyruvate
L-HDL-PL%,0.0075,0.0130,Phospholipids to Total-Lipids in Large HDL percentage
Unsaturation,0.0105,0.0118,Degree of Unsaturation
Total-BCAA,0.0120,0.0118,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
Ile,0.0118,0.0110,Isoleucine
Omega-3%,0.0143,0.0103,Omega-3 Fatty Acids to Total-Fatty Acids percentage
S-HDL-PL%,0.0102,0.0097,Phospholipids to Total-Lipids in Small HDL percentage
Tyr,0.0080,0.0092,Tyrosine
Acetoacetate,0.0063,0.0091,Acetoacetate
S-HDL-FC%,0.0062,0.0090,Free Cholesterol to Total-Lipids in Small HDL percentage
Lactate,0.0057,0.0085,Lactate
XXL-VLDL-FC%,0.0042,0.0071,Free Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
Leu,0.0058,0.0060,Leucine
LDL-size,0.0053,0.0059,Average Diameter for LDL Particles
SFA%,0.0047,0.0058,Saturated Fatty Acids to Total-Fatty Acids percentage
XL-VLDL-CE%,0.0087,0.0053,Cholesteryl Esters to Total-Lipids in Very Large VLDL percentage
GlycA,0.0043,0.0052,Glycoprotein Acetyls
Gly,0.0045,0.0050,Glycine
XXL-VLDL-TG,0.0027,0.0044,Triglycerides in Chylomicrons and Extremely Large VLDL
M-LDL-CE%,0.0023,0.0044,Cholesteryl Esters to Total-Lipids in Medium LDL percentage
L-LDL-CE%,0.0027,0.0042,Cholesteryl Esters to Total-Lipids in Large LDL percentage
L-VLDL-FC%,0.0037,0.0042,Free Cholesterol to Total-Lipids in Large VLDL percentage
L-LDL-PL%,0.0030,0.0041,Phospholipids to Total-Lipids in Large LDL percentage
ApoB/ApoA1,0.0023,0.0040,Apolipoprotein B to Apolipoprotein A1 ratio
XL-HDL-FC%,0.0023,0.0032,Free Cholesterol to Total-Lipids in Very Large HDL percentage
His,0.0022,0.0032,Histidine
M-HDL-PL%,0.0018,0.0030,Phospholipids to Total-Lipids in Medium HDL percentage
S-LDL-PL%,0.0025,0.0029,Phospholipids to Total-Lipids in Small LDL percentage
Omega-3,0.0030,0.0028,Omega-3 Fatty Acids
XS-VLDL-TG%,0.0035,0.0026,Triglycerides to Total-Lipids in Very Small VLDL percentage
XXL-VLDL-CE%,0.0022,0.0022,Cholesteryl Esters to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
L-HDL-TG,0.0012,0.0020,Triglycerides in Large HDL
XXL-VLDL-TG%,0.0015,0.0019,Triglycerides to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
M-VLDL-C%,0.0018,0.0018,Cholesterol to Total-Lipids in Medium VLDL percentage
PUFA/MUFA,0.0005,0.0018,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
MUFA%,0.0012,0.0018,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
IDL-TG,0.0022,0.0017,Triglycerides in IDL
MUFA,0.0012,0.0015,Monounsaturated Fatty Acids
S-LDL-C%,0.0013,0.0015,Cholesterol to Total-Lipids in Small LDL percentage
XL-VLDL-C%,0.0028,0.0015,Cholesterol to Total-Lipids in Very Large VLDL percentage
S-HDL-PL,0.0005,0.0013,Phospholipids in Small HDL
