Abbreviations,TotalCover_cv,TotalGain_cv,Metabolite
Omega-3,0.0860,0.0825,Omega-3 Fatty Acids
Tyr,0.0547,0.0633,Tyrosine
Citrate,0.0635,0.0561,Citrate
L-VLDL-FC%,0.0602,0.0520,Free Cholesterol to Total-Lipids in Large VLDL percentage
Pyruvate,0.0588,0.0498,Pyruvate
Gly,0.0512,0.0481,Glycine
S-LDL-PL%,0.0323,0.0378,Phospholipids to Total-Lipids in Small LDL percentage
XL-VLDL-PL%,0.0310,0.0366,Phospholipids to Total-Lipids in Very Large VLDL percentage
SFA%,0.0365,0.0365,Saturated Fatty Acids to Total-Fatty Acids percentage
Leu,0.0370,0.0340,Leucine
Val,0.0280,0.0331,Valine
Albumin,0.0255,0.0291,Albumin
3-Hydroxybutyrate,0.0303,0.0232,3-Hydroxybutyrate
IDL-PL%,0.0225,0.0227,Phospholipids to Total-Lipids in IDL percentage
L-VLDL-TG,0.0238,0.0199,Triglycerides in Large VLDL
Acetate,0.0162,0.0198,Acetate
Acetone,0.0205,0.0188,Acetone
XS-VLDL-FC%,0.0157,0.0178,Free Cholesterol to Total-Lipids in Very Small VLDL percentage
Gln,0.0170,0.0177,Glutamine
LA%,0.0173,0.0177,Linoleic Acid to Total-Fatty Acids percentage
Sc-ala,0.0148,0.0170,Spectrometer-corrected alanine
His,0.0167,0.0161,Histidine
L-LDL-PL%,0.0120,0.0131,Phospholipids to Total-Lipids in Large LDL percentage
Glu,0.0123,0.0131,Glucose
Total-BCAA,0.0113,0.0128,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
LDL-size,0.0107,0.0108,Average Diameter for LDL Particles
Phe,0.0125,0.0107,Phenylalanine
Creatinine,0.0093,0.0101,Creatinine
DHA,0.0102,0.0099,Docosahexaenoic Acid
M-HDL-CE%,0.0085,0.0095,Cholesteryl Esters to Total-Lipids in Medium HDL percentage
ApoB/ApoA1,0.0087,0.0091,Apolipoprotein B to Apolipoprotein A1 ratio
Acetoacetate,0.0133,0.0087,Acetoacetate
Glu-lactate,0.0097,0.0085,Glucose-lactate
XS-VLDL-P,0.0077,0.0079,Concentration of Very Small VLDL Particles
XXL-VLDL-CE%,0.0058,0.0075,Cholesteryl Esters to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
M-LDL-P,0.0065,0.0071,Concentration of Medium LDL Particles
PUFA%,0.0085,0.0071,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
IDL-FC%,0.0048,0.0071,Free Cholesterol to Total-Lipids in IDL percentage
XXL-VLDL-TG%,0.0043,0.0070,Triglycerides to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
S-LDL-CE%,0.0073,0.0067,Cholesteryl Esters to Total-Lipids in Small LDL percentage
XL-HDL-CE%,0.0070,0.0066,Cholesteryl Esters to Total-Lipids in Very Large HDL percentage
Ile,0.0035,0.0065,Isoleucine
XXL-VLDL-PL%,0.0067,0.0061,Phospholipids to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
XS-VLDL-PL%,0.0063,0.0061,Phospholipids to Total-Lipids in Very Small VLDL percentage
GlycA,0.0067,0.0056,Glycoprotein Acetyls
XL-VLDL-FC%,0.0057,0.0054,Free Cholesterol to Total-Lipids in Very Large VLDL percentage
L-HDL-CE%,0.0032,0.0052,Cholesteryl Esters to Total-Lipids in Large HDL percentage
Unsaturation,0.0053,0.0049,Degree of Unsaturation
M-LDL-CE%,0.0047,0.0048,Cholesteryl Esters to Total-Lipids in Medium LDL percentage
DHA%,0.0020,0.0046,Docosahexaenoic Acid to Total-Fatty Acids percentage
M-HDL-FC%,0.0032,0.0043,Free Cholesterol to Total-Lipids in Medium HDL percentage
M-LDL-C%,0.0038,0.0039,Cholesterol to Total-Lipids in Medium LDL percentage
Lactate,0.0042,0.0032,Lactate
M-LDL-PL%,0.0027,0.0028,Phospholipids to Total-Lipids in Medium LDL percentage
S-LDL-C%,0.0023,0.0028,Cholesterol to Total-Lipids in Small LDL percentage
XL-HDL-FC,0.0023,0.0025,Free Cholesterol in Very Large HDL
IDL-C%,0.0015,0.0025,Cholesterol to Total-Lipids in IDL percentage
Omega-3%,0.0020,0.0020,Omega-3 Fatty Acids to Total-Fatty Acids percentage
XXL-VLDL-FC%,0.0022,0.0018,Free Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
L-LDL-CE%,0.0010,0.0014,Cholesteryl Esters to Total-Lipids in Large LDL percentage
MUFA,0.0005,0.0005,Monounsaturated Fatty Acids
Ala,0.0003,0.0002,Alanine
