Abbreviations,TotalCover_cv,TotalGain_cv,Metabolite
Lactate,0.1588,0.1575,Lactate
Acetate,0.0848,0.0859,Acetate
Pyruvate,0.0527,0.0646,Pyruvate
Sc-ala,0.0505,0.0496,Spectrometer-corrected alanine
Albumin,0.0633,0.0485,Albumin
IDL-PL%,0.0408,0.0376,Phospholipids to Total-Lipids in IDL percentage
IDL-CE%,0.0460,0.0359,Cholesteryl Esters to Total-Lipids in IDL percentage
Gln,0.0312,0.0348,Glutamine
LA%,0.0348,0.0343,Linoleic Acid to Total-Fatty Acids percentage
3-Hydroxybutyrate,0.0335,0.0343,3-Hydroxybutyrate
Glu-lactate,0.0362,0.0326,Glucose-lactate
Tyr,0.0157,0.0291,Tyrosine
GlycA,0.0297,0.0289,Glycoprotein Acetyls
Glu,0.0220,0.0263,Glucose
SFA%,0.0362,0.0259,Saturated Fatty Acids to Total-Fatty Acids percentage
Phe,0.0188,0.0243,Phenylalanine
Gly,0.0168,0.0213,Glycine
Ala,0.0240,0.0192,Alanine
His,0.0192,0.0180,Histidine
Val,0.0155,0.0171,Valine
Leu,0.0090,0.0156,Leucine
S-HDL-PL%,0.0240,0.0149,Phospholipids to Total-Lipids in Small HDL percentage
LDL-size,0.0122,0.0143,Average Diameter for LDL Particles
XS-VLDL-FC%,0.0112,0.0130,Free Cholesterol to Total-Lipids in Very Small VLDL percentage
SM,0.0062,0.0108,Sphingomyelins
Acetone,0.0120,0.0104,Acetone
Creatinine,0.0078,0.0083,Creatinine
L-LDL-PL%,0.0067,0.0069,Phospholipids to Total-Lipids in Large LDL percentage
XXL-VLDL-TG%,0.0057,0.0066,Triglycerides to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
Acetoacetate,0.0058,0.0061,Acetoacetate
Citrate,0.0063,0.0059,Citrate
Unsaturation,0.0045,0.0055,Degree of Unsaturation
XL-HDL-FC,0.0050,0.0054,Free Cholesterol in Very Large HDL
L-LDL-C%,0.0052,0.0051,Cholesterol to Total-Lipids in Large LDL percentage
XXL-VLDL-PL%,0.0057,0.0049,Phospholipids to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
Total-BCAA,0.0025,0.0046,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
S-HDL-CE%,0.0068,0.0044,Cholesteryl Esters to Total-Lipids in Small HDL percentage
IDL-C%,0.0043,0.0041,Cholesterol to Total-Lipids in IDL percentage
S-VLDL-TG,0.0057,0.0038,Triglycerides in Small VLDL
XL-VLDL-PL%,0.0035,0.0033,Phospholipids to Total-Lipids in Very Large VLDL percentage
M-LDL-C%,0.0028,0.0032,Cholesterol to Total-Lipids in Medium LDL percentage
L-LDL-CE%,0.0022,0.0028,Cholesteryl Esters to Total-Lipids in Large LDL percentage
XXL-VLDL-C%,0.0023,0.0024,Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
Ile,0.0020,0.0022,Isoleucine
Omega-3%,0.0012,0.0021,Omega-3 Fatty Acids to Total-Fatty Acids percentage
M-LDL-PL%,0.0038,0.0020,Phospholipids to Total-Lipids in Medium LDL percentage
XXL-VLDL-CE%,0.0013,0.0016,Cholesteryl Esters to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
DHA,0.0007,0.0013,Docosahexaenoic Acid
Omega-6/Omega-3,0.0015,0.0012,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
DHA%,0.0008,0.0008,Docosahexaenoic Acid to Total-Fatty Acids percentage
IDL-FC%,0.0005,0.0005,Free Cholesterol to Total-Lipids in IDL percentage
XXL-VLDL-FC%,0.0003,0.0002,Free Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
