Abbreviations,TotalCover_cv,TotalGain_cv,Metabolite
LA%,0.1295,0.1649,Linoleic Acid to Total-Fatty Acids percentage
3-Hydroxybutyrate,0.0908,0.0703,3-Hydroxybutyrate
XL-HDL-FC,0.0498,0.0496,Free Cholesterol in Very Large HDL
Acetate,0.0410,0.0472,Acetate
Albumin,0.0502,0.0463,Albumin
Pyruvate,0.0507,0.0439,Pyruvate
XL-HDL-C,0.0390,0.0392,Cholesterol in Very Large HDL
Gly,0.0495,0.0363,Glycine
SFA%,0.0300,0.0333,Saturated Fatty Acids to Total-Fatty Acids percentage
L-HDL-FC%,0.0330,0.0320,Free Cholesterol to Total-Lipids in Large HDL percentage
Tyr,0.0303,0.0265,Tyrosine
His,0.0300,0.0255,Histidine
GlycA,0.0237,0.0242,Glycoprotein Acetyls
L-LDL-CE%,0.0243,0.0238,Cholesteryl Esters to Total-Lipids in Large LDL percentage
Creatinine,0.0233,0.0233,Creatinine
S-LDL-PL%,0.0193,0.0193,Phospholipids to Total-Lipids in Small LDL percentage
Phe,0.0095,0.0186,Phenylalanine
Unsaturation,0.0145,0.0181,Degree of Unsaturation
Ile,0.0185,0.0178,Isoleucine
Lactate,0.0145,0.0161,Lactate
L-LDL-TG%,0.0190,0.0157,Triglycerides to Total-Lipids in Large LDL percentage
Citrate,0.0212,0.0151,Citrate
Acetone,0.0142,0.0136,Acetone
Ala,0.0135,0.0131,Alanine
Leu,0.0120,0.0129,Leucine
XL-VLDL-CE%,0.0070,0.0096,Cholesteryl Esters to Total-Lipids in Very Large VLDL percentage
IDL-FC%,0.0100,0.0088,Free Cholesterol to Total-Lipids in IDL percentage
L-HDL-PL%,0.0088,0.0086,Phospholipids to Total-Lipids in Large HDL percentage
Acetoacetate,0.0083,0.0084,Acetoacetate
Sc-ala,0.0105,0.0081,Spectrometer-corrected alanine
Gln,0.0068,0.0076,Glutamine
IDL-PL%,0.0055,0.0072,Phospholipids to Total-Lipids in IDL percentage
M-LDL-CE%,0.0095,0.0070,Cholesteryl Esters to Total-Lipids in Medium LDL percentage
Omega-6%,0.0087,0.0064,Omega-6 Fatty Acids to Total-Fatty Acids percentage
L-VLDL-FC%,0.0063,0.0062,Free Cholesterol to Total-Lipids in Large VLDL percentage
Val,0.0048,0.0060,Valine
M-HDL-TG,0.0077,0.0058,Triglycerides in Medium HDL
M-LDL-C%,0.0043,0.0058,Cholesterol to Total-Lipids in Medium LDL percentage
XXL-VLDL-PL%,0.0067,0.0056,Phospholipids to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
Glu-lactate,0.0018,0.0055,Glucose-lactate
Glu,0.0025,0.0055,Glucose
LDL-size,0.0055,0.0050,Average Diameter for LDL Particles
L-HDL-CE%,0.0045,0.0047,Cholesteryl Esters to Total-Lipids in Large HDL percentage
L-LDL-PL%,0.0032,0.0042,Phospholipids to Total-Lipids in Large LDL percentage
M-LDL-PL%,0.0040,0.0041,Phospholipids to Total-Lipids in Medium LDL percentage
XL-VLDL-PL%,0.0020,0.0041,Phospholipids to Total-Lipids in Very Large VLDL percentage
IDL-CE%,0.0035,0.0035,Cholesteryl Esters to Total-Lipids in IDL percentage
Total-BCAA,0.0022,0.0030,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
XXL-VLDL-CE%,0.0028,0.0022,Cholesteryl Esters to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
Omega-6/Omega-3,0.0013,0.0019,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
XL-HDL-C%,0.0020,0.0017,Cholesterol to Total-Lipids in Very Large HDL percentage
XS-VLDL-PL%,0.0010,0.0013,Phospholipids to Total-Lipids in Very Small VLDL percentage
XL-HDL-PL%,0.0013,0.0013,Phospholipids to Total-Lipids in Very Large HDL percentage
S-HDL-FC%,0.0012,0.0009,Free Cholesterol to Total-Lipids in Small HDL percentage
DHA,0.0013,0.0007,Docosahexaenoic Acid
XXL-VLDL-FC%,0.0005,0.0006,Free Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
XXL-VLDL-TG%,0.0008,0.0006,Triglycerides to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
Omega-3%,0.0008,0.0006,Omega-3 Fatty Acids to Total-Fatty Acids percentage
L-LDL-C%,0.0005,0.0004,Cholesterol to Total-Lipids in Large LDL percentage
XXL-VLDL-C%,0.0005,0.0003,Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
Omega-3,0.0003,0.0003,Omega-3 Fatty Acids
