Abbreviations,TotalCover_cv,TotalGain_cv,Metabolite
Unsaturation,0.1287,0.1072,Degree of Unsaturation
S-LDL-PL%,0.0703,0.0813,Phospholipids to Total-Lipids in Small LDL percentage
Creatinine,0.0453,0.0558,Creatinine
Gly,0.0548,0.0514,Glycine
Tyr,0.0273,0.0505,Tyrosine
Gln,0.0798,0.0437,Glutamine
Ala,0.0388,0.0419,Alanine
His,0.0270,0.0280,Histidine
Ile,0.0257,0.0279,Isoleucine
Acetoacetate,0.0165,0.0272,Acetoacetate
Acetate,0.0268,0.0254,Acetate
Total-BCAA,0.0267,0.0231,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
Albumin,0.0280,0.0221,Albumin
S-HDL-C,0.0208,0.0216,Cholesterol in Small HDL
Phe,0.0127,0.0202,Phenylalanine
Omega-3,0.0175,0.0201,Omega-3 Fatty Acids
Pyruvate,0.0217,0.0194,Pyruvate
3-Hydroxybutyrate,0.0217,0.0183,3-Hydroxybutyrate
Glu,0.0367,0.0180,Glucose
DHA,0.0237,0.0169,Docosahexaenoic Acid
LA%,0.0170,0.0163,Linoleic Acid to Total-Fatty Acids percentage
M-LDL-C%,0.0063,0.0143,Cholesterol to Total-Lipids in Medium LDL percentage
Leu,0.0082,0.0141,Leucine
Citrate,0.0073,0.0140,Citrate
L-LDL-PL%,0.0128,0.0138,Phospholipids to Total-Lipids in Large LDL percentage
SFA%,0.0100,0.0136,Saturated Fatty Acids to Total-Fatty Acids percentage
XXL-VLDL-C%,0.0110,0.0126,Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
IDL-P,0.0090,0.0124,Concentration of IDL Particles
ApoA1,0.0155,0.0122,Apolipoprotein A1
Sc-ala,0.0112,0.0115,Spectrometer-corrected alanine
Lactate,0.0073,0.0112,Lactate
SM,0.0103,0.0098,Sphingomyelins
S-HDL-CE,0.0098,0.0096,Cholesteryl Esters in Small HDL
GlycA,0.0092,0.0094,Glycoprotein Acetyls
LDL-size,0.0067,0.0080,Average Diameter for LDL Particles
S-HDL-PL,0.0090,0.0079,Phospholipids in Small HDL
Total-P,0.0052,0.0072,Total-Concentration of Lipoprotein Particles
L-LDL-CE%,0.0030,0.0072,Cholesteryl Esters to Total-Lipids in Large LDL percentage
M-HDL-FC%,0.0072,0.0065,Free Cholesterol to Total-Lipids in Medium HDL percentage
Val,0.0055,0.0060,Valine
L-LDL-TG%,0.0055,0.0052,Triglycerides to Total-Lipids in Large LDL percentage
S-VLDL-FC%,0.0040,0.0049,Free Cholesterol to Total-Lipids in Small VLDL percentage
Glu-lactate,0.0060,0.0043,Glucose-lactate
XXL-VLDL-CE%,0.0048,0.0042,Cholesteryl Esters to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
XL-VLDL-C%,0.0058,0.0039,Cholesterol to Total-Lipids in Very Large VLDL percentage
XS-VLDL-FC%,0.0050,0.0036,Free Cholesterol to Total-Lipids in Very Small VLDL percentage
XXL-VLDL-PL%,0.0025,0.0035,Phospholipids to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
XL-HDL-FC%,0.0033,0.0031,Free Cholesterol to Total-Lipids in Very Large HDL percentage
S-HDL-TG,0.0027,0.0029,Triglycerides in Small HDL
XXL-VLDL-TG%,0.0022,0.0026,Triglycerides to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
VLDL-size,0.0025,0.0025,Average Diameter for VLDL Particles
L-HDL-C%,0.0012,0.0025,Cholesterol to Total-Lipids in Large HDL percentage
XL-HDL-FC,0.0020,0.0021,Free Cholesterol in Very Large HDL
XXL-VLDL-FC%,0.0027,0.0019,Free Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
IDL-C%,0.0013,0.0018,Cholesterol to Total-Lipids in IDL percentage
XL-HDL-PL%,0.0023,0.0017,Phospholipids to Total-Lipids in Very Large HDL percentage
IDL-FC%,0.0012,0.0015,Free Cholesterol to Total-Lipids in IDL percentage
IDL-CE%,0.0010,0.0014,Cholesteryl Esters to Total-Lipids in IDL percentage
S-LDL-CE%,0.0015,0.0014,Cholesteryl Esters to Total-Lipids in Small LDL percentage
XS-VLDL-C,0.0023,0.0013,Cholesterol in Very Small VLDL
L-LDL-C%,0.0013,0.0013,Cholesterol to Total-Lipids in Large LDL percentage
Omega-6/Omega-3,0.0007,0.0011,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
Acetone,0.0038,0.0010,Acetone
S-LDL-C%,0.0005,0.0009,Cholesterol to Total-Lipids in Small LDL percentage
XS-VLDL-FC,0.0005,0.0008,Free Cholesterol in Very Small VLDL
XL-HDL-TG%,0.0003,0.0006,Triglycerides to Total-Lipids in Very Large HDL percentage
IDL-PL%,0.0007,0.0005,Phospholipids to Total-Lipids in IDL percentage
XXL-VLDL-L,0.0003,0.0003,Total-Lipids in Chylomicrons and Extremely Large VLDL
