Abbreviations,TotalCover_cv,TotalGain_cv,Metabolite
MUFA%,0.0970,0.2147,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
GlycA,0.0890,0.0803,Glycoprotein Acetyls
DHA,0.0610,0.0490,Docosahexaenoic Acid
DHA%,0.0495,0.0474,Docosahexaenoic Acid to Total-Fatty Acids percentage
Albumin,0.0612,0.0408,Albumin
IDL-PL%,0.0497,0.0396,Phospholipids to Total-Lipids in IDL percentage
Acetoacetate,0.0432,0.0375,Acetoacetate
Tyr,0.0483,0.0351,Tyrosine
Creatinine,0.0285,0.0327,Creatinine
Phe,0.0228,0.0301,Phenylalanine
3-Hydroxybutyrate,0.0278,0.0276,3-Hydroxybutyrate
L-HDL-CE,0.0237,0.0276,Cholesteryl Esters in Large HDL
LA%,0.0302,0.0246,Linoleic Acid to Total-Fatty Acids percentage
LDL-size,0.0275,0.0222,Average Diameter for LDL Particles
Glu,0.0307,0.0209,Glucose
XXL-VLDL-CE%,0.0227,0.0207,Cholesteryl Esters to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
Acetone,0.0240,0.0189,Acetone
M-HDL-PL%,0.0172,0.0149,Phospholipids to Total-Lipids in Medium HDL percentage
Leu,0.0098,0.0143,Leucine
L-HDL-C,0.0132,0.0126,Cholesterol in Large HDL
Gln,0.0098,0.0112,Glutamine
Lactate,0.0155,0.0107,Lactate
Gly,0.0108,0.0097,Glycine
Pyruvate,0.0133,0.0096,Pyruvate
PUFA/MUFA,0.0038,0.0095,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
Citrate,0.0120,0.0094,Citrate
Sc-ala,0.0095,0.0083,Spectrometer-corrected alanine
S-HDL-PL%,0.0097,0.0077,Phospholipids to Total-Lipids in Small HDL percentage
Val,0.0060,0.0073,Valine
L-LDL-PL%,0.0090,0.0071,Phospholipids to Total-Lipids in Large LDL percentage
Glu-lactate,0.0092,0.0066,Glucose-lactate
Omega-3,0.0088,0.0066,Omega-3 Fatty Acids
XXL-VLDL-PL%,0.0083,0.0058,Phospholipids to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
XS-VLDL-FC%,0.0060,0.0056,Free Cholesterol to Total-Lipids in Very Small VLDL percentage
IDL-CE%,0.0077,0.0055,Cholesteryl Esters to Total-Lipids in IDL percentage
S-LDL-C%,0.0075,0.0053,Cholesterol to Total-Lipids in Small LDL percentage
L-HDL-TG,0.0065,0.0052,Triglycerides in Large HDL
Ala,0.0062,0.0051,Alanine
VLDL-size,0.0065,0.0048,Average Diameter for VLDL Particles
Unsaturation,0.0053,0.0047,Degree of Unsaturation
SM,0.0047,0.0042,Sphingomyelins
Acetate,0.0053,0.0041,Acetate
L-LDL-CE%,0.0068,0.0037,Cholesteryl Esters to Total-Lipids in Large LDL percentage
XL-HDL-PL%,0.0043,0.0035,Phospholipids to Total-Lipids in Very Large HDL percentage
Ile,0.0025,0.0035,Isoleucine
M-LDL-C%,0.0027,0.0034,Cholesterol to Total-Lipids in Medium LDL percentage
Total-BCAA,0.0042,0.0030,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
XL-HDL-CE%,0.0033,0.0030,Cholesteryl Esters to Total-Lipids in Very Large HDL percentage
IDL-FC%,0.0033,0.0028,Free Cholesterol to Total-Lipids in IDL percentage
XXL-VLDL-TG%,0.0025,0.0025,Triglycerides to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
SFA%,0.0033,0.0022,Saturated Fatty Acids to Total-Fatty Acids percentage
L-HDL-FC%,0.0023,0.0020,Free Cholesterol to Total-Lipids in Large HDL percentage
M-LDL-PL%,0.0023,0.0018,Phospholipids to Total-Lipids in Medium LDL percentage
M-HDL-TG%,0.0017,0.0013,Triglycerides to Total-Lipids in Medium HDL percentage
S-HDL-FC%,0.0005,0.0007,Free Cholesterol to Total-Lipids in Small HDL percentage
S-LDL-CE%,0.0010,0.0006,Cholesteryl Esters to Total-Lipids in Small LDL percentage
His,0.0008,0.0006,Histidine
