Abbreviations,TotalCover_cv,TotalGain_cv,Metabolite
Albumin,0.0845,0.0648,Albumin
Acetate,0.0705,0.0523,Acetate
GlycA,0.0458,0.0520,Glycoprotein Acetyls
Citrate,0.0567,0.0483,Citrate
Glu,0.0372,0.0461,Glucose
Phe,0.0540,0.0446,Phenylalanine
Ala,0.0308,0.0442,Alanine
LDL-size,0.0563,0.0416,Average Diameter for LDL Particles
XS-VLDL-PL%,0.0513,0.0367,Phospholipids to Total-Lipids in Very Small VLDL percentage
Lactate,0.0313,0.0354,Lactate
Gln,0.0217,0.0260,Glutamine
His,0.0223,0.0258,Histidine
Gly,0.0183,0.0258,Glycine
Tyr,0.0305,0.0249,Tyrosine
Acetoacetate,0.0235,0.0247,Acetoacetate
Creatinine,0.0252,0.0243,Creatinine
3-Hydroxybutyrate,0.0128,0.0237,3-Hydroxybutyrate
IDL-PL%,0.0322,0.0233,Phospholipids to Total-Lipids in IDL percentage
S-LDL-PL%,0.0237,0.0221,Phospholipids to Total-Lipids in Small LDL percentage
Pyruvate,0.0225,0.0205,Pyruvate
Omega-3%,0.0128,0.0192,Omega-3 Fatty Acids to Total-Fatty Acids percentage
XL-HDL-FC,0.0155,0.0153,Free Cholesterol in Very Large HDL
Leu,0.0073,0.0151,Leucine
Glu-lactate,0.0132,0.0146,Glucose-lactate
Sc-ala,0.0085,0.0144,Spectrometer-corrected alanine
XXL-VLDL-PL%,0.0117,0.0138,Phospholipids to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
M-LDL-PL%,0.0145,0.0135,Phospholipids to Total-Lipids in Medium LDL percentage
Acetone,0.0043,0.0115,Acetone
IDL-FC%,0.0140,0.0112,Free Cholesterol to Total-Lipids in IDL percentage
L-LDL-PL%,0.0087,0.0110,Phospholipids to Total-Lipids in Large LDL percentage
S-HDL-PL%,0.0117,0.0095,Phospholipids to Total-Lipids in Small HDL percentage
XL-VLDL-PL%,0.0070,0.0088,Phospholipids to Total-Lipids in Very Large VLDL percentage
Ile,0.0037,0.0069,Isoleucine
XXL-VLDL-TG%,0.0050,0.0067,Triglycerides to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
S-HDL-FC%,0.0065,0.0063,Free Cholesterol to Total-Lipids in Small HDL percentage
S-LDL-CE%,0.0070,0.0062,Cholesteryl Esters to Total-Lipids in Small LDL percentage
L-HDL-PL,0.0057,0.0061,Phospholipids in Large HDL
LA,0.0043,0.0061,Linoleic Acid
XS-VLDL-FC%,0.0067,0.0060,Free Cholesterol to Total-Lipids in Very Small VLDL percentage
Omega-6/Omega-3,0.0075,0.0055,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
Omega-3,0.0040,0.0052,Omega-3 Fatty Acids
S-VLDL-TG,0.0023,0.0049,Triglycerides in Small VLDL
L-VLDL-TG%,0.0063,0.0049,Triglycerides to Total-Lipids in Large VLDL percentage
LA%,0.0045,0.0048,Linoleic Acid to Total-Fatty Acids percentage
XL-HDL-C%,0.0045,0.0043,Cholesterol to Total-Lipids in Very Large HDL percentage
PUFA%,0.0033,0.0043,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
XXL-VLDL-CE%,0.0037,0.0043,Cholesteryl Esters to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
L-LDL-C%,0.0043,0.0043,Cholesterol to Total-Lipids in Large LDL percentage
VLDL-size,0.0035,0.0041,Average Diameter for VLDL Particles
XL-VLDL-CE%,0.0043,0.0040,Cholesteryl Esters to Total-Lipids in Very Large VLDL percentage
XXL-VLDL-C%,0.0013,0.0039,Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
DHA,0.0033,0.0039,Docosahexaenoic Acid
SFA%,0.0042,0.0038,Saturated Fatty Acids to Total-Fatty Acids percentage
S-HDL-FC,0.0020,0.0037,Free Cholesterol in Small HDL
L-HDL-TG,0.0022,0.0037,Triglycerides in Large HDL
L-VLDL-FC%,0.0028,0.0036,Free Cholesterol to Total-Lipids in Large VLDL percentage
XL-HDL-FC%,0.0022,0.0035,Free Cholesterol to Total-Lipids in Very Large HDL percentage
XL-HDL-CE%,0.0020,0.0031,Cholesteryl Esters to Total-Lipids in Very Large HDL percentage
Unsaturation,0.0030,0.0025,Degree of Unsaturation
M-HDL-PL%,0.0025,0.0019,Phospholipids to Total-Lipids in Medium HDL percentage
ApoB/ApoA1,0.0017,0.0014,Apolipoprotein B to Apolipoprotein A1 ratio
IDL-CE%,0.0010,0.0014,Cholesteryl Esters to Total-Lipids in IDL percentage
XXL-VLDL-FC%,0.0010,0.0012,Free Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
IDL-P,0.0010,0.0012,Concentration of IDL Particles
S-LDL-FC%,0.0022,0.0011,Free Cholesterol to Total-Lipids in Small LDL percentage
M-LDL-CE%,0.0002,0.0002,Cholesteryl Esters to Total-Lipids in Medium LDL percentage
