Abbreviations,TotalCover_cv,TotalGain_cv,Metabolite
Creatinine,0.2072,0.3867,Creatinine
Leu,0.0457,0.0370,Leucine
GlycA,0.0613,0.0354,Glycoprotein Acetyls
Albumin,0.0505,0.0329,Albumin
Acetate,0.0380,0.0320,Acetate
Ala,0.0357,0.0302,Alanine
SFA%,0.0185,0.0298,Saturated Fatty Acids to Total-Fatty Acids percentage
IDL-CE%,0.0443,0.0230,Cholesteryl Esters to Total-Lipids in IDL percentage
LA%,0.0318,0.0224,Linoleic Acid to Total-Fatty Acids percentage
Acetone,0.0140,0.0192,Acetone
Val,0.0173,0.0188,Valine
Total-BCAA,0.0258,0.0176,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
IDL-P,0.0170,0.0169,Concentration of IDL Particles
L-VLDL-FC%,0.0207,0.0168,Free Cholesterol to Total-Lipids in Large VLDL percentage
Glu,0.0162,0.0166,Glucose
IDL-PL%,0.0217,0.0163,Phospholipids to Total-Lipids in IDL percentage
IDL-C%,0.0268,0.0162,Cholesterol to Total-Lipids in IDL percentage
Tyr,0.0137,0.0157,Tyrosine
Gln,0.0223,0.0127,Glutamine
Citrate,0.0180,0.0120,Citrate
M-LDL-PL%,0.0127,0.0120,Phospholipids to Total-Lipids in Medium LDL percentage
Lactate,0.0163,0.0113,Lactate
XS-VLDL-TG%,0.0130,0.0113,Triglycerides to Total-Lipids in Very Small VLDL percentage
Glu-lactate,0.0168,0.0102,Glucose-lactate
XS-VLDL-C,0.0065,0.0100,Cholesterol in Very Small VLDL
S-LDL-PL,0.0190,0.0098,Phospholipids in Small LDL
Gly,0.0095,0.0083,Glycine
Ile,0.0045,0.0068,Isoleucine
Remnant-C,0.0017,0.0067,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
S-LDL-CE,0.0070,0.0067,Cholesteryl Esters in Small LDL
Sc-ala,0.0108,0.0066,Spectrometer-corrected alanine
L-LDL-CE,0.0123,0.0063,Cholesteryl Esters in Large LDL
S-LDL-L,0.0075,0.0063,Total-Lipids in Small LDL
S-LDL-FC,0.0115,0.0061,Free Cholesterol in Small LDL
XS-VLDL-PL%,0.0110,0.0059,Phospholipids to Total-Lipids in Very Small VLDL percentage
LDL-L,0.0100,0.0050,Total-Lipids in LDL
Acetoacetate,0.0048,0.0047,Acetoacetate
S-LDL-PL%,0.0045,0.0044,Phospholipids to Total-Lipids in Small LDL percentage
IDL-FC%,0.0067,0.0043,Free Cholesterol to Total-Lipids in IDL percentage
His,0.0038,0.0034,Histidine
Phe,0.0025,0.0030,Phenylalanine
3-Hydroxybutyrate,0.0032,0.0028,3-Hydroxybutyrate
L-LDL-PL%,0.0017,0.0026,Phospholipids to Total-Lipids in Large LDL percentage
L-LDL-C%,0.0050,0.0025,Cholesterol to Total-Lipids in Large LDL percentage
LA,0.0030,0.0025,Linoleic Acid
L-HDL-TG%,0.0022,0.0024,Triglycerides to Total-Lipids in Large HDL percentage
Unsaturation,0.0035,0.0023,Degree of Unsaturation
IDL-TG%,0.0038,0.0022,Triglycerides to Total-Lipids in IDL percentage
XXL-VLDL-FC%,0.0025,0.0020,Free Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
Omega-6,0.0030,0.0017,Omega-6 Fatty Acids
S-HDL-CE%,0.0022,0.0016,Cholesteryl Esters to Total-Lipids in Small HDL percentage
ApoB/ApoA1,0.0015,0.0016,Apolipoprotein B to Apolipoprotein A1 ratio
S-LDL-C%,0.0023,0.0016,Cholesterol to Total-Lipids in Small LDL percentage
L-HDL-C%,0.0025,0.0015,Cholesterol to Total-Lipids in Large HDL percentage
S-HDL-CE,0.0023,0.0014,Cholesteryl Esters in Small HDL
Pyruvate,0.0020,0.0013,Pyruvate
S-HDL-PL%,0.0012,0.0013,Phospholipids to Total-Lipids in Small HDL percentage
XXL-VLDL-TG%,0.0020,0.0013,Triglycerides to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
M-LDL-C%,0.0020,0.0013,Cholesterol to Total-Lipids in Medium LDL percentage
IDL-C,0.0033,0.0012,Cholesterol in IDL
L-LDL-CE%,0.0015,0.0011,Cholesteryl Esters to Total-Lipids in Large LDL percentage
XS-VLDL-CE%,0.0005,0.0009,Cholesteryl Esters to Total-Lipids in Very Small VLDL percentage
M-LDL-CE%,0.0017,0.0009,Cholesteryl Esters to Total-Lipids in Medium LDL percentage
M-HDL-PL%,0.0020,0.0009,Phospholipids to Total-Lipids in Medium HDL percentage
M-VLDL-C,0.0007,0.0007,Cholesterol in Medium VLDL
XXL-VLDL-PL%,0.0012,0.0006,Phospholipids to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
L-HDL-TG,0.0008,0.0005,Triglycerides in Large HDL
XL-HDL-CE%,0.0008,0.0005,Cholesteryl Esters to Total-Lipids in Very Large HDL percentage
DHA,0.0013,0.0005,Docosahexaenoic Acid
XL-HDL-FC,0.0008,0.0004,Free Cholesterol in Very Large HDL
Omega-6/Omega-3,0.0005,0.0002,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
