Abbreviations,TotalCover_cv,TotalGain_cv,Metabolite
Creatinine,0.1725,0.3662,Creatinine
Gly,0.1610,0.1040,Glycine
Gln,0.0652,0.0526,Glutamine
L-HDL-TG%,0.0423,0.0381,Triglycerides to Total-Lipids in Large HDL percentage
Pyruvate,0.0522,0.0364,Pyruvate
L-LDL-PL%,0.0317,0.0297,Phospholipids to Total-Lipids in Large LDL percentage
3-Hydroxybutyrate,0.0463,0.0274,3-Hydroxybutyrate
LDL-size,0.0245,0.0249,Average Diameter for LDL Particles
XXL-VLDL-FC%,0.0157,0.0238,Free Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
HDL-CE,0.0338,0.0223,Cholesteryl Esters in HDL
SFA%,0.0260,0.0203,Saturated Fatty Acids to Total-Fatty Acids percentage
GlycA,0.0267,0.0194,Glycoprotein Acetyls
Glu,0.0218,0.0159,Glucose
Acetone,0.0202,0.0152,Acetone
Citrate,0.0177,0.0148,Citrate
L-HDL-FC%,0.0170,0.0123,Free Cholesterol to Total-Lipids in Large HDL percentage
Sc-ala,0.0177,0.0112,Spectrometer-corrected alanine
SM,0.0120,0.0111,Sphingomyelins
L-LDL-CE%,0.0130,0.0103,Cholesteryl Esters to Total-Lipids in Large LDL percentage
Tyr,0.0080,0.0080,Tyrosine
Albumin,0.0087,0.0076,Albumin
L-HDL-TG,0.0077,0.0076,Triglycerides in Large HDL
IDL-CE%,0.0110,0.0071,Cholesteryl Esters to Total-Lipids in IDL percentage
S-HDL-PL%,0.0105,0.0070,Phospholipids to Total-Lipids in Small HDL percentage
XXL-VLDL-PL%,0.0088,0.0068,Phospholipids to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
LA%,0.0082,0.0066,Linoleic Acid to Total-Fatty Acids percentage
XL-HDL-C,0.0088,0.0059,Cholesterol in Very Large HDL
XL-HDL-FC%,0.0095,0.0057,Free Cholesterol to Total-Lipids in Very Large HDL percentage
Ile,0.0088,0.0056,Isoleucine
MUFA%,0.0052,0.0055,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
Glu-lactate,0.0073,0.0055,Glucose-lactate
M-HDL-TG%,0.0053,0.0054,Triglycerides to Total-Lipids in Medium HDL percentage
Omega-6/Omega-3,0.0073,0.0053,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
His,0.0060,0.0049,Histidine
Lactate,0.0075,0.0048,Lactate
Ala,0.0040,0.0034,Alanine
Omega-6%,0.0048,0.0033,Omega-6 Fatty Acids to Total-Fatty Acids percentage
DHA%,0.0053,0.0033,Docosahexaenoic Acid to Total-Fatty Acids percentage
S-HDL-C%,0.0022,0.0029,Cholesterol to Total-Lipids in Small HDL percentage
L-VLDL-FC%,0.0045,0.0028,Free Cholesterol to Total-Lipids in Large VLDL percentage
Acetate,0.0020,0.0024,Acetate
XXL-VLDL-C%,0.0017,0.0023,Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
XL-HDL-PL,0.0035,0.0022,Phospholipids in Very Large HDL
IDL-P,0.0018,0.0021,Concentration of IDL Particles
S-LDL-C%,0.0025,0.0018,Cholesterol to Total-Lipids in Small LDL percentage
L-VLDL-PL%,0.0015,0.0016,Phospholipids to Total-Lipids in Large VLDL percentage
M-LDL-PL%,0.0020,0.0016,Phospholipids to Total-Lipids in Medium LDL percentage
XL-HDL-FC,0.0018,0.0016,Free Cholesterol in Very Large HDL
Phe,0.0023,0.0015,Phenylalanine
Acetoacetate,0.0013,0.0015,Acetoacetate
Val,0.0017,0.0014,Valine
XL-HDL-L,0.0022,0.0013,Total-Lipids in Very Large HDL
XXL-VLDL-TG%,0.0005,0.0011,Triglycerides to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
M-LDL-CE%,0.0013,0.0010,Cholesteryl Esters to Total-Lipids in Medium LDL percentage
M-HDL-PL%,0.0015,0.0008,Phospholipids to Total-Lipids in Medium HDL percentage
L-LDL-FC%,0.0012,0.0008,Free Cholesterol to Total-Lipids in Large LDL percentage
Total-BCAA,0.0007,0.0007,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
S-HDL-FC%,0.0003,0.0006,Free Cholesterol to Total-Lipids in Small HDL percentage
IDL-C%,0.0007,0.0006,Cholesterol to Total-Lipids in IDL percentage
M-LDL-C%,0.0005,0.0005,Cholesterol to Total-Lipids in Medium LDL percentage
Leu,0.0013,0.0004,Leucine
IDL-PL%,0.0002,0.0004,Phospholipids to Total-Lipids in IDL percentage
HDL-P,0.0003,0.0004,Concentration of HDL Particles
S-VLDL-TG%,0.0003,0.0002,Triglycerides to Total-Lipids in Small VLDL percentage
IDL-FC%,0.0002,6.1889e-05,Free Cholesterol to Total-Lipids in IDL percentage
