Abbreviations,TotalCover_cv,TotalGain_cv,Metabolite
Creatinine,0.1972,0.1888,Creatinine
Citrate,0.1077,0.0693,Citrate
Acetoacetate,0.0405,0.0508,Acetoacetate
Lactate,0.0365,0.0453,Lactate
Acetone,0.0342,0.0436,Acetone
L-LDL-CE%,0.0217,0.0388,Cholesteryl Esters to Total-Lipids in Large LDL percentage
His,0.0438,0.0302,Histidine
Albumin,0.0065,0.0297,Albumin
Tyr,0.0187,0.0286,Tyrosine
Gln,0.0248,0.0278,Glutamine
Gly,0.0393,0.0265,Glycine
S-LDL-C%,0.0275,0.0242,Cholesterol to Total-Lipids in Small LDL percentage
IDL-C,0.0253,0.0203,Cholesterol in IDL
Ile,0.0183,0.0203,Isoleucine
HDL-PL,0.0310,0.0187,Phospholipids in HDL
IDL-PL%,0.0130,0.0167,Phospholipids to Total-Lipids in IDL percentage
M-HDL-FC%,0.0272,0.0167,Free Cholesterol to Total-Lipids in Medium HDL percentage
Ala,0.0067,0.0161,Alanine
Acetate,0.0155,0.0146,Acetate
3-Hydroxybutyrate,0.0112,0.0144,3-Hydroxybutyrate
GlycA,0.0120,0.0126,Glycoprotein Acetyls
HDL-C,0.0188,0.0121,HDL Cholesterol
SFA%,0.0052,0.0111,Saturated Fatty Acids to Total-Fatty Acids percentage
Glu-lactate,0.0080,0.0110,Glucose-lactate
IDL-L,0.0135,0.0107,Total-Lipids in IDL
M-LDL-PL%,0.0073,0.0105,Phospholipids to Total-Lipids in Medium LDL percentage
XXL-VLDL-FC%,0.0048,0.0097,Free Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
Phe,0.0063,0.0088,Phenylalanine
Sc-ala,0.0123,0.0086,Spectrometer-corrected alanine
IDL-FC%,0.0060,0.0085,Free Cholesterol to Total-Lipids in IDL percentage
M-LDL-CE%,0.0027,0.0079,Cholesteryl Esters to Total-Lipids in Medium LDL percentage
PUFA,0.0155,0.0077,Polyunsaturated Fatty Acids
XL-HDL-FC%,0.0103,0.0071,Free Cholesterol to Total-Lipids in Very Large HDL percentage
S-HDL-FC%,0.0082,0.0071,Free Cholesterol to Total-Lipids in Small HDL percentage
M-HDL-PL%,0.0080,0.0070,Phospholipids to Total-Lipids in Medium HDL percentage
L-LDL-PL%,0.0020,0.0068,Phospholipids to Total-Lipids in Large LDL percentage
Glu,0.0040,0.0067,Glucose
IDL-CE%,0.0030,0.0064,Cholesteryl Esters to Total-Lipids in IDL percentage
XS-VLDL-PL%,0.0107,0.0063,Phospholipids to Total-Lipids in Very Small VLDL percentage
XS-VLDL-CE,0.0073,0.0063,Cholesteryl Esters in Very Small VLDL
IDL-C%,0.0015,0.0063,Cholesterol to Total-Lipids in IDL percentage
Omega-3,0.0120,0.0058,Omega-3 Fatty Acids
M-HDL-PL,0.0102,0.0058,Phospholipids in Medium HDL
Unsaturation,0.0057,0.0058,Degree of Unsaturation
Leu,0.0070,0.0053,Leucine
L-HDL-PL%,0.0037,0.0048,Phospholipids to Total-Lipids in Large HDL percentage
M-LDL-C%,0.0015,0.0047,Cholesterol to Total-Lipids in Medium LDL percentage
XL-HDL-C%,0.0042,0.0047,Cholesterol to Total-Lipids in Very Large HDL percentage
LDL-size,0.0055,0.0040,Average Diameter for LDL Particles
M-VLDL-CE,0.0057,0.0039,Cholesteryl Esters in Medium VLDL
S-LDL-PL,0.0040,0.0037,Phospholipids in Small LDL
S-HDL-PL%,0.0032,0.0033,Phospholipids to Total-Lipids in Small HDL percentage
Pyruvate,0.0010,0.0031,Pyruvate
M-HDL-CE%,0.0017,0.0027,Cholesteryl Esters to Total-Lipids in Medium HDL percentage
VLDL-CE,0.0035,0.0025,Cholesteryl Esters in VLDL
XXL-VLDL-PL%,0.0012,0.0024,Phospholipids to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
PUFA/MUFA,0.0008,0.0023,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
M-VLDL-TG%,0.0032,0.0021,Triglycerides to Total-Lipids in Medium VLDL percentage
MUFA%,0.0018,0.0017,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
PUFA%,0.0010,0.0017,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
L-HDL-CE%,0.0007,0.0016,Cholesteryl Esters to Total-Lipids in Large HDL percentage
XS-VLDL-FC%,0.0007,0.0015,Free Cholesterol to Total-Lipids in Very Small VLDL percentage
XL-HDL-FC,0.0027,0.0014,Free Cholesterol in Very Large HDL
L-LDL-FC%,0.0020,0.0013,Free Cholesterol to Total-Lipids in Large LDL percentage
LA%,0.0005,0.0013,Linoleic Acid to Total-Fatty Acids percentage
Omega-6/Omega-3,0.0002,0.0005,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
XXL-VLDL-TG%,0.0007,0.0004,Triglycerides to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
Omega-6%,0.0005,0.0004,Omega-6 Fatty Acids to Total-Fatty Acids percentage
XL-HDL-CE%,0.0007,0.0003,Cholesteryl Esters to Total-Lipids in Very Large HDL percentage
XL-HDL-TG,0.0005,0.0003,Triglycerides in Very Large HDL
