Abbreviations,TotalCover_cv,TotalGain_cv,Metabolite
XL-HDL-FC,0.0413,0.0611,Free Cholesterol in Very Large HDL
XL-HDL-CE,0.0723,0.0592,Cholesteryl Esters in Very Large HDL
Acetate,0.0793,0.0544,Acetate
GlycA,0.0352,0.0487,Glycoprotein Acetyls
LDL-size,0.0278,0.0460,Average Diameter for LDL Particles
Tyr,0.0607,0.0434,Tyrosine
Acetone,0.0528,0.0429,Acetone
DHA,0.0550,0.0370,Docosahexaenoic Acid
Pyruvate,0.0428,0.0319,Pyruvate
HDL-CE,0.0287,0.0301,Cholesteryl Esters in HDL
Lactate,0.0238,0.0293,Lactate
Sc-ala,0.0333,0.0265,Spectrometer-corrected alanine
Acetoacetate,0.0237,0.0254,Acetoacetate
SFA%,0.0203,0.0245,Saturated Fatty Acids to Total-Fatty Acids percentage
S-HDL-FC%,0.0205,0.0237,Free Cholesterol to Total-Lipids in Small HDL percentage
Ala,0.0198,0.0236,Alanine
Creatinine,0.0173,0.0217,Creatinine
Glu-lactate,0.0407,0.0209,Glucose-lactate
M-LDL-PL%,0.0270,0.0207,Phospholipids to Total-Lipids in Medium LDL percentage
Phe,0.0250,0.0203,Phenylalanine
3-Hydroxybutyrate,0.0093,0.0193,3-Hydroxybutyrate
His,0.0180,0.0192,Histidine
L-LDL-CE%,0.0140,0.0180,Cholesteryl Esters to Total-Lipids in Large LDL percentage
Gly,0.0148,0.0177,Glycine
Gln,0.0127,0.0172,Glutamine
Val,0.0153,0.0167,Valine
Glu,0.0107,0.0131,Glucose
L-LDL-PL%,0.0083,0.0129,Phospholipids to Total-Lipids in Large LDL percentage
S-VLDL-TG,0.0072,0.0115,Triglycerides in Small VLDL
Albumin,0.0082,0.0114,Albumin
XXL-VLDL-PL%,0.0055,0.0098,Phospholipids to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
PUFA/MUFA,0.0073,0.0088,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
S-LDL-PL,0.0048,0.0082,Phospholipids in Small LDL
XS-VLDL-PL%,0.0127,0.0076,Phospholipids to Total-Lipids in Very Small VLDL percentage
M-HDL-CE%,0.0037,0.0071,Cholesteryl Esters to Total-Lipids in Medium HDL percentage
L-HDL-TG,0.0095,0.0071,Triglycerides in Large HDL
M-LDL-TG%,0.0038,0.0067,Triglycerides to Total-Lipids in Medium LDL percentage
S-LDL-FC%,0.0060,0.0063,Free Cholesterol to Total-Lipids in Small LDL percentage
Citrate,0.0047,0.0048,Citrate
XXL-VLDL-FC%,0.0042,0.0048,Free Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
XL-VLDL-PL%,0.0018,0.0047,Phospholipids to Total-Lipids in Very Large VLDL percentage
Omega-6,0.0018,0.0046,Omega-6 Fatty Acids
M-HDL-C%,0.0058,0.0046,Cholesterol to Total-Lipids in Medium HDL percentage
MUFA%,0.0040,0.0045,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
XL-HDL-FC%,0.0062,0.0044,Free Cholesterol to Total-Lipids in Very Large HDL percentage
Total-BCAA,0.0020,0.0044,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
IDL-P,0.0030,0.0043,Concentration of IDL Particles
DHA%,0.0023,0.0041,Docosahexaenoic Acid to Total-Fatty Acids percentage
Omega-3%,0.0033,0.0036,Omega-3 Fatty Acids to Total-Fatty Acids percentage
M-VLDL-TG,0.0030,0.0032,Triglycerides in Medium VLDL
HDL-L,0.0035,0.0031,Total-Lipids in HDL
XL-HDL-CE%,0.0032,0.0030,Cholesteryl Esters to Total-Lipids in Very Large HDL percentage
L-HDL-CE,0.0048,0.0030,Cholesteryl Esters in Large HDL
IDL-PL%,0.0010,0.0030,Phospholipids to Total-Lipids in IDL percentage
M-LDL-CE%,0.0013,0.0029,Cholesteryl Esters to Total-Lipids in Medium LDL percentage
L-HDL-CE%,0.0030,0.0026,Cholesteryl Esters to Total-Lipids in Large HDL percentage
M-LDL-C%,0.0028,0.0024,Cholesterol to Total-Lipids in Medium LDL percentage
L-VLDL-PL%,0.0005,0.0022,Phospholipids to Total-Lipids in Large VLDL percentage
XL-VLDL-CE%,0.0023,0.0020,Cholesteryl Esters to Total-Lipids in Very Large VLDL percentage
VLDL-size,0.0023,0.0020,Average Diameter for VLDL Particles
Leu,0.0025,0.0019,Leucine
XXL-VLDL-CE%,0.0012,0.0019,Cholesteryl Esters to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
S-HDL-CE%,0.0025,0.0018,Cholesteryl Esters to Total-Lipids in Small HDL percentage
Ile,0.0025,0.0015,Isoleucine
L-LDL-TG%,0.0010,0.0013,Triglycerides to Total-Lipids in Large LDL percentage
Omega-3,0.0013,0.0012,Omega-3 Fatty Acids
XXL-VLDL-TG%,0.0005,0.0009,Triglycerides to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
S-HDL-PL%,0.0003,0.0005,Phospholipids to Total-Lipids in Small HDL percentage
S-VLDL-TG%,0.0010,0.0004,Triglycerides to Total-Lipids in Small VLDL percentage
Omega-6/Omega-3,0.0007,0.0003,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
IDL-CE%,0.0002,7.7113e-05,Cholesteryl Esters to Total-Lipids in IDL percentage
