Abbreviations,TotalCover_cv,TotalGain_cv,Metabolite
Creatinine,0.0972,0.0951,Creatinine
L-HDL-PL%,0.0838,0.0813,Phospholipids to Total-Lipids in Large HDL percentage
L-LDL-C%,0.0480,0.0717,Cholesterol to Total-Lipids in Large LDL percentage
GlycA,0.0600,0.0619,Glycoprotein Acetyls
Albumin,0.0759,0.0584,Albumin
L-VLDL-FC%,0.0512,0.0456,Free Cholesterol to Total-Lipids in Large VLDL percentage
LA%,0.0447,0.0383,Linoleic Acid to Total-Fatty Acids percentage
Glu,0.0365,0.0356,Glucose
His,0.0290,0.0282,Histidine
Glu-lactate,0.0304,0.0268,Glucose-lactate
IDL-PL%,0.0304,0.0252,Phospholipids to Total-Lipids in IDL percentage
IDL-CE%,0.0193,0.0237,Cholesteryl Esters to Total-Lipids in IDL percentage
Citrate,0.0264,0.0236,Citrate
XS-VLDL-FC%,0.0168,0.0229,Free Cholesterol to Total-Lipids in Very Small VLDL percentage
Acetate,0.0294,0.0220,Acetate
Gly,0.0223,0.0213,Glycine
Phe,0.0125,0.0201,Phenylalanine
Total-BCAA,0.0108,0.0199,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
XS-VLDL-PL%,0.0227,0.0185,Phospholipids to Total-Lipids in Very Small VLDL percentage
Gln,0.0147,0.0184,Glutamine
Acetoacetate,0.0215,0.0167,Acetoacetate
Pyruvate,0.0207,0.0162,Pyruvate
SFA%,0.0160,0.0161,Saturated Fatty Acids to Total-Fatty Acids percentage
Tyr,0.0163,0.0160,Tyrosine
XS-VLDL-CE%,0.0128,0.0154,Cholesteryl Esters to Total-Lipids in Very Small VLDL percentage
L-LDL-CE%,0.0138,0.0130,Cholesteryl Esters to Total-Lipids in Large LDL percentage
LDL-size,0.0105,0.0116,Average Diameter for LDL Particles
3-Hydroxybutyrate,0.0125,0.0111,3-Hydroxybutyrate
Leu,0.0077,0.0105,Leucine
Lactate,0.0103,0.0088,Lactate
M-LDL-C%,0.0093,0.0084,Cholesterol to Total-Lipids in Medium LDL percentage
Sc-ala,0.0080,0.0079,Spectrometer-corrected alanine
L-LDL-PL%,0.0057,0.0078,Phospholipids to Total-Lipids in Large LDL percentage
XL-HDL-TG,0.0065,0.0075,Triglycerides in Very Large HDL
XL-VLDL-PL%,0.0030,0.0071,Phospholipids to Total-Lipids in Very Large VLDL percentage
Omega-6%,0.0067,0.0069,Omega-6 Fatty Acids to Total-Fatty Acids percentage
L-LDL-TG%,0.0048,0.0066,Triglycerides to Total-Lipids in Large LDL percentage
Val,0.0048,0.0053,Valine
L-VLDL-TG%,0.0040,0.0051,Triglycerides to Total-Lipids in Large VLDL percentage
L-VLDL-CE%,0.0038,0.0045,Cholesteryl Esters to Total-Lipids in Large VLDL percentage
M-LDL-CE%,0.0052,0.0043,Cholesteryl Esters to Total-Lipids in Medium LDL percentage
XXL-VLDL-PL%,0.0048,0.0043,Phospholipids to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
Ala,0.0020,0.0037,Alanine
S-LDL-CE%,0.0045,0.0037,Cholesteryl Esters to Total-Lipids in Small LDL percentage
Acetone,0.0035,0.0036,Acetone
DHA%,0.0040,0.0034,Docosahexaenoic Acid to Total-Fatty Acids percentage
ApoB/ApoA1,0.0023,0.0032,Apolipoprotein B to Apolipoprotein A1 ratio
M-LDL-TG%,0.0027,0.0026,Triglycerides to Total-Lipids in Medium LDL percentage
M-LDL-PL%,0.0010,0.0023,Phospholipids to Total-Lipids in Medium LDL percentage
XXL-VLDL-CE%,0.0015,0.0021,Cholesteryl Esters to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
S-LDL-C%,0.0023,0.0014,Cholesterol to Total-Lipids in Small LDL percentage
Ile,0.0017,0.0014,Isoleucine
Omega-3,0.0010,0.0009,Omega-3 Fatty Acids
M-HDL-FC%,0.0015,0.0008,Free Cholesterol to Total-Lipids in Medium HDL percentage
XL-HDL-C%,0.0005,0.0005,Cholesterol to Total-Lipids in Very Large HDL percentage
Omega-6/Omega-3,0.0003,0.0003,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
Unsaturation,0.0002,9.8646e-05,Degree of Unsaturation
