Abbreviations,TotalCover_cv,TotalGain_cv,Metabolite
IDL-CE%,0.0904,0.0901,Cholesteryl Esters to Total-Lipids in IDL percentage
Gln,0.0460,0.0508,Glutamine
L-LDL-CE%,0.0606,0.0486,Cholesteryl Esters to Total-Lipids in Large LDL percentage
Lactate,0.0474,0.0482,Lactate
LA%,0.0644,0.0464,Linoleic Acid to Total-Fatty Acids percentage
Tyr,0.0355,0.0434,Tyrosine
Albumin,0.0367,0.0361,Albumin
Acetoacetate,0.0244,0.0317,Acetoacetate
Val,0.0377,0.0315,Valine
Phe,0.0240,0.0309,Phenylalanine
Sc-ala,0.0210,0.0296,Spectrometer-corrected alanine
Pyruvate,0.0200,0.0277,Pyruvate
MUFA%,0.0260,0.0260,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
Citrate,0.0263,0.0235,Citrate
M-LDL-C%,0.0173,0.0231,Cholesterol to Total-Lipids in Medium LDL percentage
His,0.0245,0.0210,Histidine
GlycA,0.0292,0.0208,Glycoprotein Acetyls
L-LDL-TG%,0.0179,0.0202,Triglycerides to Total-Lipids in Large LDL percentage
SFA%,0.0160,0.0194,Saturated Fatty Acids to Total-Fatty Acids percentage
Glu,0.0102,0.0190,Glucose
IDL-PL%,0.0307,0.0185,Phospholipids to Total-Lipids in IDL percentage
M-LDL-PL%,0.0225,0.0178,Phospholipids to Total-Lipids in Medium LDL percentage
XXL-VLDL-CE%,0.0215,0.0171,Cholesteryl Esters to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
Ala,0.0055,0.0170,Alanine
XS-VLDL-PL%,0.0127,0.0169,Phospholipids to Total-Lipids in Very Small VLDL percentage
Acetate,0.0202,0.0168,Acetate
Acetone,0.0197,0.0158,Acetone
XL-HDL-FC%,0.0304,0.0148,Free Cholesterol to Total-Lipids in Very Large HDL percentage
DHA,0.0093,0.0142,Docosahexaenoic Acid
Total-BCAA,0.0093,0.0141,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
Gly,0.0195,0.0132,Glycine
XXL-VLDL-PL%,0.0138,0.0131,Phospholipids to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
Ile,0.0082,0.0123,Isoleucine
XXL-VLDL-C,0.0068,0.0106,Cholesterol in Chylomicrons and Extremely Large VLDL
Creatinine,0.0077,0.0105,Creatinine
M-LDL-TG%,0.0105,0.0100,Triglycerides to Total-Lipids in Medium LDL percentage
3-Hydroxybutyrate,0.0075,0.0095,3-Hydroxybutyrate
L-LDL-PL%,0.0092,0.0074,Phospholipids to Total-Lipids in Large LDL percentage
S-HDL-FC%,0.0018,0.0055,Free Cholesterol to Total-Lipids in Small HDL percentage
DHA%,0.0035,0.0053,Docosahexaenoic Acid to Total-Fatty Acids percentage
M-VLDL-CE%,0.0073,0.0051,Cholesteryl Esters to Total-Lipids in Medium VLDL percentage
Glu-lactate,0.0042,0.0051,Glucose-lactate
Unsaturation,0.0048,0.0050,Degree of Unsaturation
XXL-VLDL-C%,0.0053,0.0047,Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
IDL-FC%,0.0035,0.0047,Free Cholesterol to Total-Lipids in IDL percentage
L-LDL-C%,0.0043,0.0045,Cholesterol to Total-Lipids in Large LDL percentage
L-VLDL-TG%,0.0035,0.0043,Triglycerides to Total-Lipids in Large VLDL percentage
L-VLDL-FC%,0.0040,0.0040,Free Cholesterol to Total-Lipids in Large VLDL percentage
L-HDL-PL%,0.0050,0.0030,Phospholipids to Total-Lipids in Large HDL percentage
XS-VLDL-FC%,0.0013,0.0023,Free Cholesterol to Total-Lipids in Very Small VLDL percentage
Total-FA,0.0022,0.0019,Total-Fatty Acids
XXL-VLDL-FC%,0.0028,0.0017,Free Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
M-LDL-CE%,0.0018,0.0015,Cholesteryl Esters to Total-Lipids in Medium LDL percentage
LDL-size,0.0013,0.0014,Average Diameter for LDL Particles
XL-HDL-CE%,0.0013,0.0013,Cholesteryl Esters to Total-Lipids in Very Large HDL percentage
MUFA,0.0012,0.0010,Monounsaturated Fatty Acids
