Abbreviations,TotalCover_cv,TotalGain_cv,Metabolite
LA%,0.0965,0.1706,Linoleic Acid to Total-Fatty Acids percentage
S-LDL-CE%,0.0668,0.0836,Cholesteryl Esters to Total-Lipids in Small LDL percentage
S-LDL-PL%,0.0545,0.0726,Phospholipids to Total-Lipids in Small LDL percentage
Omega-6%,0.0600,0.0722,Omega-6 Fatty Acids to Total-Fatty Acids percentage
Glu,0.0775,0.0683,Glucose
Albumin,0.0858,0.0638,Albumin
IDL-CE%,0.0430,0.0499,Cholesteryl Esters to Total-Lipids in IDL percentage
Tyr,0.0522,0.0391,Tyrosine
Glu-lactate,0.0358,0.0313,Glucose-lactate
Citrate,0.0425,0.0305,Citrate
Ile,0.0290,0.0257,Isoleucine
3-Hydroxybutyrate,0.0288,0.0209,3-Hydroxybutyrate
Acetoacetate,0.0212,0.0206,Acetoacetate
XS-VLDL-CE%,0.0180,0.0188,Cholesteryl Esters to Total-Lipids in Very Small VLDL percentage
Leu,0.0217,0.0183,Leucine
S-HDL-PL%,0.0215,0.0177,Phospholipids to Total-Lipids in Small HDL percentage
L-VLDL-PL%,0.0203,0.0161,Phospholipids to Total-Lipids in Large VLDL percentage
IDL-PL%,0.0143,0.0158,Phospholipids to Total-Lipids in IDL percentage
Creatinine,0.0197,0.0153,Creatinine
ApoB/ApoA1,0.0202,0.0151,Apolipoprotein B to Apolipoprotein A1 ratio
L-HDL-PL%,0.0150,0.0118,Phospholipids to Total-Lipids in Large HDL percentage
LDL-size,0.0137,0.0109,Average Diameter for LDL Particles
Gln,0.0102,0.0097,Glutamine
IDL-FC%,0.0105,0.0091,Free Cholesterol to Total-Lipids in IDL percentage
XXL-VLDL-C%,0.0102,0.0089,Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
GlycA,0.0080,0.0081,Glycoprotein Acetyls
Gly,0.0102,0.0072,Glycine
XXL-VLDL-TG%,0.0077,0.0069,Triglycerides to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
His,0.0085,0.0055,Histidine
Acetate,0.0073,0.0053,Acetate
XS-VLDL-FC%,0.0068,0.0051,Free Cholesterol to Total-Lipids in Very Small VLDL percentage
S-HDL-CE%,0.0063,0.0047,Cholesteryl Esters to Total-Lipids in Small HDL percentage
Lactate,0.0053,0.0047,Lactate
Sc-ala,0.0053,0.0043,Spectrometer-corrected alanine
XL-HDL-PL%,0.0055,0.0041,Phospholipids to Total-Lipids in Very Large HDL percentage
Ala,0.0058,0.0035,Alanine
DHA%,0.0045,0.0028,Docosahexaenoic Acid to Total-Fatty Acids percentage
L-LDL-FC%,0.0030,0.0024,Free Cholesterol to Total-Lipids in Large LDL percentage
XS-VLDL-PL%,0.0030,0.0023,Phospholipids to Total-Lipids in Very Small VLDL percentage
Omega-6/Omega-3,0.0032,0.0022,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
XXL-VLDL-FC%,0.0030,0.0022,Free Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
DHA,0.0018,0.0020,Docosahexaenoic Acid
Pyruvate,0.0032,0.0018,Pyruvate
Acetone,0.0013,0.0011,Acetone
SFA,0.0017,0.0011,Saturated Fatty Acids
Omega-3,0.0015,0.0010,Omega-3 Fatty Acids
Val,0.0015,0.0010,Valine
M-LDL-CE%,0.0017,0.0009,Cholesteryl Esters to Total-Lipids in Medium LDL percentage
SFA%,0.0017,0.0009,Saturated Fatty Acids to Total-Fatty Acids percentage
Omega-6,0.0013,0.0008,Omega-6 Fatty Acids
L-LDL-PL%,0.0010,0.0006,Phospholipids to Total-Lipids in Large LDL percentage
PUFA/MUFA,0.0005,0.0004,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
M-LDL-PL%,0.0003,0.0002,Phospholipids to Total-Lipids in Medium LDL percentage
XL-VLDL-PL%,0.0002,8.2114e-05,Phospholipids to Total-Lipids in Very Large VLDL percentage
