Abbreviations,TotalCover_cv,TotalGain_cv,Metabolite
Omega-3%,0.0842,0.0841,Omega-3 Fatty Acids to Total-Fatty Acids percentage
Omega-3,0.0575,0.0690,Omega-3 Fatty Acids
Glu-lactate,0.0458,0.0593,Glucose-lactate
IDL-C%,0.0633,0.0575,Cholesterol to Total-Lipids in IDL percentage
XS-VLDL-PL%,0.0505,0.0466,Phospholipids to Total-Lipids in Very Small VLDL percentage
Tyr,0.0420,0.0456,Tyrosine
L-LDL-PL%,0.0597,0.0435,Phospholipids to Total-Lipids in Large LDL percentage
Acetate,0.0305,0.0320,Acetate
Creatinine,0.0252,0.0307,Creatinine
His,0.0300,0.0298,Histidine
M-LDL-CE%,0.0412,0.0284,Cholesteryl Esters to Total-Lipids in Medium LDL percentage
Gly,0.0295,0.0265,Glycine
XXL-VLDL-CE%,0.0198,0.0244,Cholesteryl Esters to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
Sc-ala,0.0192,0.0220,Spectrometer-corrected alanine
DHA,0.0132,0.0199,Docosahexaenoic Acid
M-LDL-TG%,0.0285,0.0194,Triglycerides to Total-Lipids in Medium LDL percentage
XXL-VLDL-PL%,0.0112,0.0190,Phospholipids to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
Val,0.0253,0.0178,Valine
GlycA,0.0230,0.0164,Glycoprotein Acetyls
Phe,0.0105,0.0151,Phenylalanine
Glu,0.0148,0.0139,Glucose
Omega-6/Omega-3,0.0137,0.0130,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
PUFA%,0.0135,0.0114,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
XXL-VLDL-TG%,0.0097,0.0108,Triglycerides to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
M-LDL-PL%,0.0108,0.0104,Phospholipids to Total-Lipids in Medium LDL percentage
S-HDL-CE,0.0117,0.0103,Cholesteryl Esters in Small HDL
XL-HDL-PL,0.0115,0.0103,Phospholipids in Very Large HDL
Acetone,0.0053,0.0103,Acetone
Lactate,0.0145,0.0100,Lactate
Gln,0.0062,0.0096,Glutamine
Albumin,0.0077,0.0095,Albumin
IDL-PL%,0.0125,0.0093,Phospholipids to Total-Lipids in IDL percentage
Ile,0.0058,0.0091,Isoleucine
Ala,0.0062,0.0091,Alanine
TG/PG,0.0087,0.0090,Triglycerides to Phosphoglycerides ratio
S-HDL-TG%,0.0108,0.0083,Triglycerides to Total-Lipids in Small HDL percentage
L-LDL-CE%,0.0107,0.0076,Cholesteryl Esters to Total-Lipids in Large LDL percentage
Citrate,0.0060,0.0076,Citrate
LDL-size,0.0040,0.0075,Average Diameter for LDL Particles
XL-HDL-FC%,0.0073,0.0071,Free Cholesterol to Total-Lipids in Very Large HDL percentage
DHA%,0.0050,0.0067,Docosahexaenoic Acid to Total-Fatty Acids percentage
Pyruvate,0.0068,0.0060,Pyruvate
XXL-VLDL-FC%,0.0058,0.0056,Free Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
MUFA%,0.0072,0.0056,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
Phosphoglyc,0.0052,0.0054,Phosphoglycerides
3-Hydroxybutyrate,0.0035,0.0052,3-Hydroxybutyrate
Total-L,0.0025,0.0051,Total-Lipids in Lipoprotein Particles
Total-P,0.0022,0.0044,Total-Concentration of Lipoprotein Particles
Leu,0.0032,0.0044,Leucine
XL-HDL-C,0.0040,0.0035,Cholesterol in Very Large HDL
IDL-P,0.0023,0.0034,Concentration of IDL Particles
L-VLDL-C,0.0033,0.0033,Cholesterol in Large VLDL
M-HDL-PL%,0.0037,0.0033,Phospholipids to Total-Lipids in Medium HDL percentage
PUFA/MUFA,0.0052,0.0028,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
Acetoacetate,0.0043,0.0028,Acetoacetate
Unsaturation,0.0038,0.0027,Degree of Unsaturation
XL-HDL-PL%,0.0025,0.0026,Phospholipids to Total-Lipids in Very Large HDL percentage
S-VLDL-C%,0.0028,0.0024,Cholesterol to Total-Lipids in Small VLDL percentage
XXL-VLDL-C%,0.0027,0.0024,Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
L-HDL-FC%,0.0025,0.0022,Free Cholesterol to Total-Lipids in Large HDL percentage
M-LDL-C%,0.0013,0.0021,Cholesterol to Total-Lipids in Medium LDL percentage
XL-HDL-TG,0.0017,0.0020,Triglycerides in Very Large HDL
XL-VLDL-C%,0.0015,0.0020,Cholesterol to Total-Lipids in Very Large VLDL percentage
XXL-VLDL-TG,0.0035,0.0020,Triglycerides in Chylomicrons and Extremely Large VLDL
L-LDL-C%,0.0007,0.0016,Cholesterol to Total-Lipids in Large LDL percentage
L-VLDL-FC%,0.0015,0.0015,Free Cholesterol to Total-Lipids in Large VLDL percentage
XL-HDL-FC,0.0020,0.0014,Free Cholesterol in Very Large HDL
L-HDL-C%,0.0025,0.0013,Cholesterol to Total-Lipids in Large HDL percentage
L-VLDL-TG%,0.0013,0.0013,Triglycerides to Total-Lipids in Large VLDL percentage
S-HDL-FC%,0.0013,0.0012,Free Cholesterol to Total-Lipids in Small HDL percentage
Total-BCAA,0.0012,0.0010,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
PUFA,0.0008,0.0008,Polyunsaturated Fatty Acids
S-LDL-TG%,0.0003,0.0004,Triglycerides to Total-Lipids in Small LDL percentage
