Abbreviations,TotalCover_cv,TotalGain_cv,Metabolite
LA%,0.0685,0.0809,Linoleic Acid to Total-Fatty Acids percentage
L-HDL-C%,0.0517,0.0603,Cholesterol to Total-Lipids in Large HDL percentage
Albumin,0.0837,0.0574,Albumin
Glu,0.0786,0.0533,Glucose
GlycA,0.0429,0.0440,Glycoprotein Acetyls
Creatinine,0.0392,0.0436,Creatinine
Gln,0.0378,0.0366,Glutamine
Glu-lactate,0.0376,0.0355,Glucose-lactate
Unsaturation,0.0393,0.0347,Degree of Unsaturation
LDL-size,0.0215,0.0300,Average Diameter for LDL Particles
3-Hydroxybutyrate,0.0313,0.0260,3-Hydroxybutyrate
LA,0.0268,0.0260,Linoleic Acid
Acetate,0.0167,0.0260,Acetate
Citrate,0.0202,0.0227,Citrate
Omega-6/Omega-3,0.0231,0.0224,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
His,0.0216,0.0214,Histidine
Tyr,0.0152,0.0211,Tyrosine
L-HDL-CE%,0.0175,0.0155,Cholesteryl Esters to Total-Lipids in Large HDL percentage
IDL-FC%,0.0140,0.0151,Free Cholesterol to Total-Lipids in IDL percentage
XXL-VLDL-PL%,0.0167,0.0150,Phospholipids to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
Acetone,0.0133,0.0148,Acetone
Pyruvate,0.0102,0.0140,Pyruvate
S-HDL-PL%,0.0149,0.0139,Phospholipids to Total-Lipids in Small HDL percentage
S-LDL-C%,0.0148,0.0135,Cholesterol to Total-Lipids in Small LDL percentage
L-LDL-TG%,0.0177,0.0135,Triglycerides to Total-Lipids in Large LDL percentage
Val,0.0087,0.0133,Valine
Ile,0.0115,0.0130,Isoleucine
IDL-PL%,0.0104,0.0123,Phospholipids to Total-Lipids in IDL percentage
Omega-3,0.0092,0.0120,Omega-3 Fatty Acids
XL-HDL-CE%,0.0115,0.0116,Cholesteryl Esters to Total-Lipids in Very Large HDL percentage
L-LDL-C%,0.0135,0.0109,Cholesterol to Total-Lipids in Large LDL percentage
Sc-ala,0.0133,0.0102,Spectrometer-corrected alanine
Lactate,0.0090,0.0096,Lactate
M-LDL-CE%,0.0073,0.0089,Cholesteryl Esters to Total-Lipids in Medium LDL percentage
XS-VLDL-CE%,0.0077,0.0085,Cholesteryl Esters to Total-Lipids in Very Small VLDL percentage
Acetoacetate,0.0072,0.0083,Acetoacetate
Ala,0.0045,0.0081,Alanine
L-VLDL-FC%,0.0078,0.0078,Free Cholesterol to Total-Lipids in Large VLDL percentage
Omega-6%,0.0061,0.0077,Omega-6 Fatty Acids to Total-Fatty Acids percentage
L-LDL-PL%,0.0088,0.0077,Phospholipids to Total-Lipids in Large LDL percentage
L-LDL-CE%,0.0083,0.0075,Cholesteryl Esters to Total-Lipids in Large LDL percentage
XS-VLDL-FC%,0.0065,0.0071,Free Cholesterol to Total-Lipids in Very Small VLDL percentage
M-LDL-TG%,0.0053,0.0065,Triglycerides to Total-Lipids in Medium LDL percentage
XXL-VLDL-FC%,0.0062,0.0061,Free Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
XXL-VLDL-CE%,0.0032,0.0060,Cholesteryl Esters to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
Phe,0.0032,0.0060,Phenylalanine
XXL-VLDL-C%,0.0057,0.0055,Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
PUFA%,0.0043,0.0053,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
IDL-P,0.0049,0.0050,Concentration of IDL Particles
DHA,0.0073,0.0049,Docosahexaenoic Acid
S-LDL-CE%,0.0045,0.0042,Cholesteryl Esters to Total-Lipids in Small LDL percentage
Gly,0.0023,0.0042,Glycine
L-HDL-FC%,0.0035,0.0037,Free Cholesterol to Total-Lipids in Large HDL percentage
XS-VLDL-PL%,0.0032,0.0035,Phospholipids to Total-Lipids in Very Small VLDL percentage
XL-HDL-FC,0.0037,0.0031,Free Cholesterol in Very Large HDL
S-HDL-FC%,0.0037,0.0030,Free Cholesterol to Total-Lipids in Small HDL percentage
M-LDL-C%,0.0035,0.0024,Cholesterol to Total-Lipids in Medium LDL percentage
M-HDL-FC%,0.0020,0.0021,Free Cholesterol to Total-Lipids in Medium HDL percentage
Leu,0.0020,0.0021,Leucine
Omega-3%,0.0020,0.0017,Omega-3 Fatty Acids to Total-Fatty Acids percentage
M-VLDL-PL%,0.0020,0.0016,Phospholipids to Total-Lipids in Medium VLDL percentage
Total-BCAA,0.0010,0.0010,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
M-LDL-PL%,0.0003,0.0006,Phospholipids to Total-Lipids in Medium LDL percentage
