Abbreviations,TotalCover_cv,TotalGain_cv,Metabolite
LA%,0.2027,0.3749,Linoleic Acid to Total-Fatty Acids percentage
L-HDL-PL%,0.0838,0.1935,Phospholipids to Total-Lipids in Large HDL percentage
GlycA,0.1748,0.1228,Glycoprotein Acetyls
XS-VLDL-CE%,0.0772,0.1023,Cholesteryl Esters to Total-Lipids in Very Small VLDL percentage
Glu-lactate,0.0857,0.0337,Glucose-lactate
IDL-CE,0.0347,0.0196,Cholesteryl Esters in IDL
Gly,0.0640,0.0195,Glycine
LA,0.0358,0.0175,Linoleic Acid
L-HDL-C%,0.0315,0.0173,Cholesterol to Total-Lipids in Large HDL percentage
L-LDL-TG%,0.0118,0.0156,Triglycerides to Total-Lipids in Large LDL percentage
L-HDL-CE%,0.0148,0.0148,Cholesteryl Esters to Total-Lipids in Large HDL percentage
Albumin,0.0395,0.0110,Albumin
XS-VLDL-CE,0.0210,0.0092,Cholesteryl Esters in Very Small VLDL
IDL-CE%,0.0153,0.0091,Cholesteryl Esters to Total-Lipids in IDL percentage
Glu,0.0188,0.0068,Glucose
S-LDL-CE%,0.0178,0.0061,Cholesteryl Esters to Total-Lipids in Small LDL percentage
Tyr,0.0195,0.0059,Tyrosine
Remnant-C,0.0082,0.0036,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
XXL-VLDL-CE,0.0087,0.0035,Cholesteryl Esters in Chylomicrons and Extremely Large VLDL
XL-HDL-PL%,0.0047,0.0019,Phospholipids to Total-Lipids in Very Large HDL percentage
IDL-P,0.0043,0.0017,Concentration of IDL Particles
LDL-TG,0.0037,0.0015,Triglycerides in LDL
XL-HDL-P,0.0038,0.0015,Concentration of Very Large HDL Particles
L-LDL-TG,0.0022,0.0010,Triglycerides in Large LDL
XL-HDL-FC%,0.0027,0.0009,Free Cholesterol to Total-Lipids in Very Large HDL percentage
Omega-6%,0.0018,0.0008,Omega-6 Fatty Acids to Total-Fatty Acids percentage
XL-HDL-FC,0.0023,0.0008,Free Cholesterol in Very Large HDL
VLDL-CE,0.0017,0.0007,Cholesteryl Esters in VLDL
Creatinine,0.0020,0.0007,Creatinine
HDL-size,0.0012,0.0005,Average Diameter for HDL Particles
M-LDL-TG,0.0017,0.0005,Triglycerides in Medium LDL
3-Hydroxybutyrate,0.0013,0.0002,3-Hydroxybutyrate
L-LDL-C%,0.0010,0.0002,Cholesterol to Total-Lipids in Large LDL percentage
