Abbreviations,TotalCover_cv,TotalGain_cv,Metabolite
GlycA,0.1327,0.1176,Glycoprotein Acetyls
L-LDL-C%,0.0662,0.1097,Cholesterol to Total-Lipids in Large LDL percentage
LA%,0.0618,0.0870,Linoleic Acid to Total-Fatty Acids percentage
L-LDL-PL%,0.0580,0.0541,Phospholipids to Total-Lipids in Large LDL percentage
Glu,0.0448,0.0396,Glucose
Lactate,0.0465,0.0385,Lactate
L-LDL-TG%,0.0295,0.0363,Triglycerides to Total-Lipids in Large LDL percentage
Phe,0.0293,0.0260,Phenylalanine
L-LDL-CE%,0.0283,0.0246,Cholesteryl Esters to Total-Lipids in Large LDL percentage
LA,0.0240,0.0236,Linoleic Acid
XS-VLDL-PL%,0.0240,0.0210,Phospholipids to Total-Lipids in Very Small VLDL percentage
IDL-PL%,0.0207,0.0199,Phospholipids to Total-Lipids in IDL percentage
Gly,0.0187,0.0196,Glycine
3-Hydroxybutyrate,0.0238,0.0194,3-Hydroxybutyrate
Acetate,0.0185,0.0186,Acetate
S-LDL-PL%,0.0220,0.0177,Phospholipids to Total-Lipids in Small LDL percentage
Acetoacetate,0.0212,0.0176,Acetoacetate
M-LDL-CE%,0.0197,0.0169,Cholesteryl Esters to Total-Lipids in Medium LDL percentage
Acetone,0.0200,0.0167,Acetone
Omega-6/Omega-3,0.0153,0.0152,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
Pyruvate,0.0198,0.0145,Pyruvate
XL-HDL-CE%,0.0127,0.0143,Cholesteryl Esters to Total-Lipids in Very Large HDL percentage
Tyr,0.0137,0.0138,Tyrosine
Val,0.0153,0.0136,Valine
Omega-3%,0.0133,0.0133,Omega-3 Fatty Acids to Total-Fatty Acids percentage
Leu,0.0117,0.0131,Leucine
IDL-FC%,0.0112,0.0122,Free Cholesterol to Total-Lipids in IDL percentage
L-HDL-PL%,0.0103,0.0109,Phospholipids to Total-Lipids in Large HDL percentage
SFA%,0.0102,0.0103,Saturated Fatty Acids to Total-Fatty Acids percentage
Unsaturation,0.0092,0.0102,Degree of Unsaturation
His,0.0112,0.0102,Histidine
XL-VLDL-FC%,0.0105,0.0093,Free Cholesterol to Total-Lipids in Very Large VLDL percentage
LDL-size,0.0107,0.0089,Average Diameter for LDL Particles
Sc-ala,0.0100,0.0083,Spectrometer-corrected alanine
S-HDL-L,0.0082,0.0083,Total-Lipids in Small HDL
XXL-VLDL-FC%,0.0083,0.0079,Free Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
Creatinine,0.0062,0.0078,Creatinine
L-HDL-C%,0.0085,0.0072,Cholesterol to Total-Lipids in Large HDL percentage
Total-BCAA,0.0073,0.0068,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
XL-HDL-PL%,0.0072,0.0065,Phospholipids to Total-Lipids in Very Large HDL percentage
Albumin,0.0063,0.0056,Albumin
Gln,0.0057,0.0050,Glutamine
XXL-VLDL-PL%,0.0060,0.0049,Phospholipids to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
Glu-lactate,0.0047,0.0048,Glucose-lactate
Ile,0.0052,0.0047,Isoleucine
PUFA,0.0045,0.0037,Polyunsaturated Fatty Acids
M-LDL-PL%,0.0042,0.0037,Phospholipids to Total-Lipids in Medium LDL percentage
S-LDL-C%,0.0035,0.0034,Cholesterol to Total-Lipids in Small LDL percentage
L-HDL-TG,0.0043,0.0034,Triglycerides in Large HDL
M-LDL-C%,0.0025,0.0028,Cholesterol to Total-Lipids in Medium LDL percentage
IDL-CE%,0.0027,0.0024,Cholesteryl Esters to Total-Lipids in IDL percentage
M-HDL-PL%,0.0030,0.0024,Phospholipids to Total-Lipids in Medium HDL percentage
Citrate,0.0028,0.0024,Citrate
Omega-6,0.0020,0.0019,Omega-6 Fatty Acids
XL-VLDL-PL%,0.0017,0.0013,Phospholipids to Total-Lipids in Very Large VLDL percentage
Ala,0.0007,0.0006,Alanine
