Abbreviations,TotalCover_cv,TotalGain_cv,Metabolite
Glu-lactate,0.1052,0.1261,Glucose-lactate
L-LDL-C%,0.0768,0.1227,Cholesterol to Total-Lipids in Large LDL percentage
L-LDL-TG%,0.0535,0.0960,Triglycerides to Total-Lipids in Large LDL percentage
XS-VLDL-PL%,0.0682,0.0745,Phospholipids to Total-Lipids in Very Small VLDL percentage
Albumin,0.0983,0.0690,Albumin
LA%,0.0563,0.0550,Linoleic Acid to Total-Fatty Acids percentage
3-Hydroxybutyrate,0.0525,0.0463,3-Hydroxybutyrate
GlycA,0.0460,0.0420,Glycoprotein Acetyls
PUFA,0.0308,0.0354,Polyunsaturated Fatty Acids
Creatinine,0.0442,0.0337,Creatinine
Pyruvate,0.0390,0.0323,Pyruvate
Citrate,0.0225,0.0237,Citrate
Acetone,0.0333,0.0217,Acetone
IDL-PL%,0.0303,0.0215,Phospholipids to Total-Lipids in IDL percentage
IDL-CE%,0.0137,0.0161,Cholesteryl Esters to Total-Lipids in IDL percentage
Glu,0.0220,0.0158,Glucose
IDL-C%,0.0200,0.0126,Cholesterol to Total-Lipids in IDL percentage
Lactate,0.0157,0.0123,Lactate
L-HDL-TG,0.0098,0.0111,Triglycerides in Large HDL
Tyr,0.0152,0.0110,Tyrosine
S-LDL-C%,0.0130,0.0106,Cholesterol to Total-Lipids in Small LDL percentage
Leu,0.0105,0.0099,Leucine
Acetoacetate,0.0145,0.0098,Acetoacetate
S-LDL-CE%,0.0107,0.0090,Cholesteryl Esters to Total-Lipids in Small LDL percentage
Sc-ala,0.0098,0.0088,Spectrometer-corrected alanine
Acetate,0.0138,0.0087,Acetate
Gln,0.0128,0.0081,Glutamine
XXL-VLDL-CE%,0.0072,0.0071,Cholesteryl Esters to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
Phe,0.0078,0.0065,Phenylalanine
L-LDL-CE%,0.0072,0.0064,Cholesteryl Esters to Total-Lipids in Large LDL percentage
Total-BCAA,0.0052,0.0042,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
LA,0.0035,0.0034,Linoleic Acid
Omega-3%,0.0035,0.0033,Omega-3 Fatty Acids to Total-Fatty Acids percentage
Ile,0.0043,0.0032,Isoleucine
XXL-VLDL-TG%,0.0023,0.0028,Triglycerides to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
MUFA%,0.0017,0.0028,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
Ala,0.0023,0.0025,Alanine
Val,0.0025,0.0023,Valine
Omega-3,0.0020,0.0021,Omega-3 Fatty Acids
M-LDL-C%,0.0018,0.0016,Cholesterol to Total-Lipids in Medium LDL percentage
Gly,0.0020,0.0015,Glycine
Unsaturation,0.0022,0.0015,Degree of Unsaturation
XS-VLDL-FC%,0.0013,0.0015,Free Cholesterol to Total-Lipids in Very Small VLDL percentage
DHA%,0.0008,0.0007,Docosahexaenoic Acid to Total-Fatty Acids percentage
Omega-6/Omega-3,0.0007,0.0007,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
His,0.0012,0.0007,Histidine
LDL-size,0.0008,0.0006,Average Diameter for LDL Particles
L-HDL-CE%,0.0005,0.0004,Cholesteryl Esters to Total-Lipids in Large HDL percentage
L-VLDL-FC%,0.0002,0.0002,Free Cholesterol to Total-Lipids in Large VLDL percentage
SFA%,0.0003,0.0001,Saturated Fatty Acids to Total-Fatty Acids percentage
XXL-VLDL-PL%,0.0002,7.6855e-05,Phospholipids to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
