Abbreviations,TotalCover_cv,TotalGain_cv,Metabolite
GlycA,0.2548,0.4247,Glycoprotein Acetyls
Albumin,0.2348,0.2607,Albumin
Creatinine,0.0623,0.0406,Creatinine
L-LDL-C%,0.0463,0.0400,Cholesterol to Total-Lipids in Large LDL percentage
LA%,0.0528,0.0313,Linoleic Acid to Total-Fatty Acids percentage
L-HDL-PL,0.0470,0.0299,Phospholipids in Large HDL
S-HDL-PL%,0.0452,0.0270,Phospholipids to Total-Lipids in Small HDL percentage
L-LDL-TG%,0.0325,0.0211,Triglycerides to Total-Lipids in Large LDL percentage
Phe,0.0303,0.0197,Phenylalanine
Total-BCAA,0.0283,0.0160,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
Leu,0.0205,0.0139,Leucine
Val,0.0147,0.0102,Valine
Omega-3%,0.0145,0.0078,Omega-3 Fatty Acids to Total-Fatty Acids percentage
PUFA%,0.0143,0.0069,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
Glu,0.0118,0.0060,Glucose
L-HDL-PL%,0.0132,0.0059,Phospholipids to Total-Lipids in Large HDL percentage
IDL-PL%,0.0138,0.0057,Phospholipids to Total-Lipids in IDL percentage
Lactate,0.0140,0.0054,Lactate
Ala,0.0092,0.0048,Alanine
Gly,0.0062,0.0038,Glycine
Sc-ala,0.0067,0.0032,Spectrometer-corrected alanine
Tyr,0.0037,0.0026,Tyrosine
S-LDL-P,0.0030,0.0025,Concentration of Small LDL Particles
Acetoacetate,0.0047,0.0024,Acetoacetate
3-Hydroxybutyrate,0.0043,0.0018,3-Hydroxybutyrate
Omega-3,0.0020,0.0012,Omega-3 Fatty Acids
L-LDL-CE%,0.0013,0.0007,Cholesteryl Esters to Total-Lipids in Large LDL percentage
Unsaturation,0.0007,0.0007,Degree of Unsaturation
Omega-6/Omega-3,0.0010,0.0006,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
Gln,0.0012,0.0006,Glutamine
His,0.0012,0.0005,Histidine
L-VLDL-PL%,0.0010,0.0004,Phospholipids to Total-Lipids in Large VLDL percentage
Ile,0.0005,0.0004,Isoleucine
MUFA%,0.0003,0.0003,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
LDL-size,0.0007,0.0003,Average Diameter for LDL Particles
Citrate,0.0007,0.0003,Citrate
XS-VLDL-PL%,0.0003,9.8101e-05,Phospholipids to Total-Lipids in Very Small VLDL percentage
Acetone,0.0002,6.2559e-05,Acetone
