Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
Gly,1.08 [1.02-1.14],1.000,,Glycine
M-LDL-CE%,1.05 [1.00-1.11],1.000,,Cholesteryl Esters to Total-Lipids in Medium LDL percentage
Ala,1.04 [0.99-1.09],1.000,,Alanine
M-LDL-TG%,1.00 [0.95-1.06],1.000,,Triglycerides to Total-Lipids in Medium LDL percentage
His,1.00 [0.95-1.06],1.000,,Histidine
DHA,1.00 [0.95-1.06],1.000,,Docosahexaenoic Acid
M-LDL-FC%,0.96 [0.91-1.02],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
Omega-6%,0.96 [0.91-1.01],1.000,,Omega-6 Fatty Acids to Total-Fatty Acids percentage
PUFA%,0.96 [0.91-1.01],1.000,,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
Unsaturation,0.95 [0.90-1.01],1.000,,Degree of Unsaturation
