Abbreviations,Beta(95%CI),P-value(Bonferroni),P-star,Metabolite
Total-FC,"1.012 [1.010,1.014]",0.000e+00,***,Total-Free Cholesterol
IDL-PL,"1.011 [1.009,1.014]",0.000e+00,***,Phospholipids in IDL
IDL-L,"1.004 [1.002,1.007]",0.000e+00,***,Total-Lipids in IDL
Total-C,"0.997 [0.995,1.000]",0.000e+00,***,Total-Cholesterol
Remnant-C,"0.989 [0.987,0.992]",0.000e+00,***,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
Total-CE,"0.987 [0.985,0.990]",0.000e+00,***,Total-Esterified Cholesterol
Non-HDL-C,"0.984 [0.981,0.986]",0.000e+00,***,Total-Cholesterol Minus HDL-C
IDL-C,"0.978 [0.975,0.980]",0.000e+00,***,Cholesterol in IDL
IDL-CE,"0.975 [0.972,0.977]",0.000e+00,***,Cholesteryl Esters in IDL
ApoB,"0.966 [0.964,0.969]",0.000e+00,***,Apolipoprotein B
L-LDL-L,"0.966 [0.964,0.969]",0.000e+00,***,Total-Lipids in Large LDL
IDL-FC,"0.962 [0.960,0.965]",0.000e+00,***,Free Cholesterol in IDL
L-LDL-PL,"0.961 [0.959,0.964]",0.000e+00,***,Phospholipids in Large LDL
L-LDL-C,"0.959 [0.956,0.961]",0.000e+00,***,Cholesterol in Large LDL
L-LDL-CE,"0.955 [0.953,0.958]",0.000e+00,***,Cholesteryl Esters in Large LDL
LDL-L,"0.955 [0.952,0.957]",0.000e+00,***,Total-Lipids in LDL
LDL-P,"0.953 [0.950,0.955]",0.000e+00,***,Concentration of LDL Particles
LDL-PL,"0.951 [0.949,0.954]",0.000e+00,***,Phospholipids in LDL
LDL-C,"0.951 [0.949,0.953]",0.000e+00,***,LDL Cholesterol
LDL-CE,"0.951 [0.948,0.953]",0.000e+00,***,Cholesteryl Esters in LDL
L-LDL-FC,"0.950 [0.947,0.952]",0.000e+00,***,Free Cholesterol in Large LDL
Clinical LDL-C,"0.948 [0.946,0.950]",0.000e+00,***,Clinical LDL Cholesterol
XS-VLDL-CE,"0.948 [0.945,0.951]",0.000e+00,***,Cholesteryl Esters in Very Small VLDL
XS-VLDL-C,"0.946 [0.944,0.949]",0.000e+00,***,Cholesterol in Very Small VLDL
IDL-P,"0.944 [0.941,0.946]",0.000e+00,***,Concentration of IDL Particles
M-VLDL-C,"0.943 [0.940,0.945]",0.000e+00,***,Cholesterol in Medium VLDL
Total-L,"0.942 [0.940,0.945]",0.000e+00,***,Total-Lipids in Lipoprotein Particles
L-LDL-P,"0.941 [0.939,0.944]",0.000e+00,***,Concentration of Large LDL Particles
S-LDL-CE,"0.936 [0.933,0.938]",0.000e+00,***,Cholesteryl Esters in Small LDL
S-LDL-L,"0.934 [0.932,0.937]",0.000e+00,***,Total-Lipids in Small LDL
S-LDL-C,"0.933 [0.931,0.936]",0.000e+00,***,Cholesterol in Small LDL
LDL-FC,"0.929 [0.926,0.931]",0.000e+00,***,Free Cholesterol in LDL
S-LDL-P,"0.926 [0.923,0.928]",0.000e+00,***,Concentration of Small LDL Particles
M-VLDL-CE,"0.923 [0.920,0.926]",0.000e+00,***,Cholesteryl Esters in Medium VLDL
M-VLDL-FC,"0.920 [0.917,0.922]",0.000e+00,***,Free Cholesterol in Medium VLDL
