Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
Total-CE,"1.047 [1.010,1.085]",1.000,,Total-Esterified Cholesterol
HDL-CE,"1.040 [1.004,1.078]",1.000,,Cholesteryl Esters in HDL
VLDL-C,"1.036 [1.002,1.071]",1.000,,VLDL Cholesterol
LDL-CE,"1.032 [0.998,1.067]",1.000,,Cholesteryl Esters in LDL
M-VLDL-C%,"1.007 [0.969,1.046]",1.000,,Cholesterol to Total-Lipids in Medium VLDL percentage
S-HDL-P,"0.998 [0.967,1.031]",1.000,,Concentration of Small HDL Particles
S-HDL-C,"0.997 [0.965,1.029]",1.000,,Cholesterol in Small HDL
S-HDL-CE,"0.991 [0.960,1.023]",1.000,,Cholesteryl Esters in Small HDL
M-LDL-FC%,"0.989 [0.953,1.027]",1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
XXL-VLDL-PL%,"0.984 [0.958,1.012]",1.000,,Phospholipids to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
