Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
LA%,"1.146 [1.106,1.188]",2.239e-08,***,Linoleic Acid to Total-Fatty Acids percentage
Omega-6%,"1.115 [1.074,1.157]",0.003,**,Omega-6 Fatty Acids to Total-Fatty Acids percentage
PUFA%,"1.106 [1.065,1.149]",0.034,*,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
M-LDL-PL%,"1.098 [1.065,1.131]",4.161e-04,***,Phospholipids to Total-Lipids in Medium LDL percentage
Gly,"1.093 [1.064,1.123]",2.702e-05,***,Glycine
M-VLDL-C,"0.919 [0.891,0.949]",0.049,*,Cholesterol in Medium VLDL
XS-VLDL-L,"0.918 [0.890,0.948]",0.038,*,Total-Lipids in Very Small VLDL
M-VLDL-CE,"0.918 [0.889,0.948]",0.041,*,Cholesteryl Esters in Medium VLDL
M-LDL-CE%,"0.918 [0.890,0.946]",0.005,**,Cholesteryl Esters to Total-Lipids in Medium LDL percentage
LDL-PL,"0.917 [0.889,0.947]",0.021,*,Phospholipids in LDL
M-LDL-C,"0.917 [0.888,0.947]",0.019,*,Cholesterol in Medium LDL
L-LDL-CE,"0.916 [0.887,0.946]",0.016,*,Cholesteryl Esters in Large LDL
LDL-L,"0.916 [0.887,0.945]",0.012,*,Total-Lipids in LDL
LDL-CE,"0.916 [0.887,0.945]",0.012,*,Cholesteryl Esters in LDL
XS-VLDL-P,"0.916 [0.887,0.945]",0.015,*,Concentration of Very Small VLDL Particles
M-LDL-CE,"0.916 [0.887,0.945]",0.015,*,Cholesteryl Esters in Medium LDL
LDL-C,"0.915 [0.886,0.944]",0.008,**,LDL Cholesterol
IDL-P,"0.914 [0.885,0.943]",0.005,**,Concentration of IDL Particles
LDL-FC,"0.913 [0.884,0.943]",0.005,**,Free Cholesterol in LDL
L-LDL-C,"0.913 [0.884,0.942]",0.005,**,Cholesterol in Large LDL
L-LDL-L,"0.912 [0.883,0.942]",0.004,**,Total-Lipids in Large LDL
Total-BCAA,"0.912 [0.882,0.942]",0.009,**,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
Clinical LDL-C,"0.912 [0.883,0.941]",0.002,**,Clinical LDL Cholesterol
Non-HDL-C,"0.911 [0.882,0.940]",0.002,**,Total-Cholesterol Minus HDL-C
Total-P,"0.911 [0.882,0.940]",0.003,**,Total-Concentration of Lipoprotein Particles
Phosphoglyc,"0.911 [0.881,0.941]",0.005,**,Phosphoglycerides
Albumin,"0.910 [0.883,0.939]",4.430e-04,***,Albumin
XS-VLDL-FC,"0.910 [0.882,0.940]",0.002,**,Free Cholesterol in Very Small VLDL
M-LDL-P,"0.910 [0.881,0.940]",0.003,**,Concentration of Medium LDL Particles
Remnant-C,"0.910 [0.881,0.939]",0.002,**,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
L-LDL-PL,"0.909 [0.880,0.938]",8.249e-04,***,Phospholipids in Large LDL
Cholines,"0.909 [0.879,0.939]",0.003,**,Total-Cholines
M-HDL-FC%,"0.908 [0.876,0.941]",0.041,*,Free Cholesterol to Total-Lipids in Medium HDL percentage
L-LDL-FC,"0.907 [0.878,0.936]",6.175e-04,***,Free Cholesterol in Large LDL
M-LDL-C%,"0.904 [0.876,0.932]",2.554e-05,***,Cholesterol to Total-Lipids in Medium LDL percentage
SFA,"0.903 [0.873,0.933]",5.140e-04,***,Saturated Fatty Acids
XS-VLDL-C,"0.902 [0.874,0.932]",9.572e-05,***,Cholesterol in Very Small VLDL
IDL-CE,"0.902 [0.873,0.932]",1.171e-04,***,Cholesteryl Esters in IDL
Total-L,"0.902 [0.873,0.931]",9.828e-05,***,Total-Lipids in Lipoprotein Particles
XS-VLDL-CE,"0.900 [0.872,0.930]",4.057e-05,***,Cholesteryl Esters in Very Small VLDL
IDL-PL,"0.900 [0.871,0.930]",6.210e-05,***,Phospholipids in IDL
IDL-L,"0.899 [0.870,0.929]",4.462e-05,***,Total-Lipids in IDL
IDL-C,"0.899 [0.870,0.929]",4.129e-05,***,Cholesterol in IDL
Total-FC,"0.898 [0.869,0.927]",1.873e-05,***,Total-Free Cholesterol
Val,"0.897 [0.868,0.927]",2.740e-05,***,Valine
IDL-FC,"0.895 [0.866,0.924]",6.529e-06,***,Free Cholesterol in IDL
Total-PL,"0.893 [0.865,0.923]",5.074e-06,***,Total-Phospholipids in Lipoprotein Particles
Total-C,"0.893 [0.864,0.923]",3.484e-06,***,Total-Cholesterol
Total-CE,"0.892 [0.863,0.922]",2.523e-06,***,Total-Esterified Cholesterol
SM,"0.881 [0.852,0.911]",1.591e-08,***,Sphingomyelins
SFA%,"0.871 [0.843,0.901]",8.352e-11,***,Saturated Fatty Acids to Total-Fatty Acids percentage
