Abbreviations,Beta(95%CI),P-value(Bonferroni),P-star,Metabolite
XL-HDL-TG%,"0.117 [0.110,0.123]",2.189e-280,***,Triglycerides to Total-Lipids in Very Large HDL percentage
L-HDL-PL%,"0.115 [0.109,0.122]",1.202e-237,***,Phospholipids to Total-Lipids in Large HDL percentage
XL-VLDL-TG,"0.105 [0.098,0.111]",5.099e-238,***,Triglycerides in Very Large VLDL
S-HDL-TG,"0.104 [0.098,0.110]",4.173e-264,***,Triglycerides in Small HDL
TG/PG,"0.101 [0.094,0.107]",1.373e-201,***,Triglycerides to Phosphoglycerides ratio
VLDL-size,"0.099 [0.093,0.105]",3.067e-212,***,Average Diameter for VLDL Particles
Total-TG,"0.099 [0.093,0.105]",5.421e-224,***,Total-Triglycerides
VLDL-TG,"0.098 [0.092,0.104]",8.751e-220,***,Triglycerides in VLDL
XL-VLDL-P,"0.097 [0.091,0.104]",3.946e-213,***,Concentration of Very Large VLDL Particles
S-LDL-TG,"0.097 [0.091,0.103]",5.229e-205,***,Triglycerides in Small LDL
XS-VLDL-TG%,"0.096 [0.090,0.102]",1.526e-204,***,Triglycerides to Total-Lipids in Very Small VLDL percentage
XL-VLDL-L,"0.096 [0.090,0.102]",5.385e-209,***,Total-Lipids in Very Large VLDL
L-VLDL-TG,"0.096 [0.090,0.102]",4.987e-210,***,Triglycerides in Large VLDL
XXL-VLDL-P,"0.095 [0.089,0.101]",2.782e-191,***,Concentration of Chylomicrons and Extremely Large VLDL Particles
MUFA%,"0.095 [0.089,0.101]",1.714e-179,***,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
L-HDL-TG%,"0.094 [0.087,0.100]",4.281e-176,***,Triglycerides to Total-Lipids in Large HDL percentage
M-LDL-TG,"0.094 [0.088,0.100]",1.184e-197,***,Triglycerides in Medium LDL
S-VLDL-TG,"0.094 [0.088,0.099]",7.606e-213,***,Triglycerides in Small VLDL
XXL-VLDL-PL,"0.093 [0.087,0.099]",2.396e-185,***,Phospholipids in Chylomicrons and Extremely Large VLDL
L-VLDL-P,"0.092 [0.086,0.098]",4.143e-195,***,Concentration of Large VLDL Particles
MUFA,"0.092 [0.086,0.098]",5.229e-185,***,Monounsaturated Fatty Acids
XXL-VLDL-TG,"0.092 [0.085,0.098]",3.465e-175,***,Triglycerides in Chylomicrons and Extremely Large VLDL
XXL-VLDL-L,"0.091 [0.085,0.098]",1.778e-179,***,Total-Lipids in Chylomicrons and Extremely Large VLDL
M-VLDL-TG,"0.091 [0.085,0.097]",8.108e-197,***,Triglycerides in Medium VLDL
L-VLDL-PL,"0.091 [0.085,0.097]",1.879e-193,***,Phospholipids in Large VLDL
L-VLDL-L,"0.090 [0.084,0.096]",4.639e-190,***,Total-Lipids in Large VLDL
XL-VLDL-PL,"0.090 [0.084,0.096]",2.777e-183,***,Phospholipids in Very Large VLDL
XXL-VLDL-FC,"0.089 [0.083,0.095]",1.359e-174,***,Free Cholesterol in Chylomicrons and Extremely Large VLDL
XXL-VLDL-C,"0.088 [0.082,0.094]",1.098e-171,***,Cholesterol in Chylomicrons and Extremely Large VLDL
LDL-TG,"0.087 [0.081,0.093]",3.971e-174,***,Triglycerides in LDL
L-VLDL-FC,"0.087 [0.081,0.093]",1.839e-178,***,Free Cholesterol in Large VLDL
M-VLDL-TG%,"0.086 [0.080,0.092]",1.320e-177,***,Triglycerides to Total-Lipids in Medium VLDL percentage
