Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
ApoB/ApoA1,"0.052 [-0.019,0.123]",1.000,,Apolipoprotein B to Apolipoprotein A1 ratio
Ala,"0.035 [-0.035,0.104]",1.000,,Alanine
M-LDL-CE%,"0.026 [-0.040,0.092]",1.000,,Cholesteryl Esters to Total-Lipids in Medium LDL percentage
M-LDL-PL%,"0.007 [-0.058,0.073]",1.000,,Phospholipids to Total-Lipids in Medium LDL percentage
M-LDL-C%,"0.006 [-0.066,0.078]",1.000,,Cholesterol to Total-Lipids in Medium LDL percentage
SFA%,"-0.016 [-0.091,0.060]",1.000,,Saturated Fatty Acids to Total-Fatty Acids percentage
Unsaturation,"-0.025 [-0.103,0.053]",1.000,,Degree of Unsaturation
M-LDL-FC%,"-0.033 [-0.113,0.048]",1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
PUFA%,"-0.044 [-0.130,0.041]",1.000,,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
Creatinine,"-0.049 [-0.137,0.039]",1.000,,Creatinine
