Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
M-HDL-P,"1.470 [1.447,1.493]",0.000e+00,***,Concentration of Medium HDL Particles
M-HDL-PL,"1.465 [1.444,1.487]",0.000e+00,***,Phospholipids in Medium HDL
M-HDL-L,"1.462 [1.441,1.484]",0.000e+00,***,Total-Lipids in Medium HDL
S-HDL-PL,"1.457 [1.436,1.477]",0.000e+00,***,Phospholipids in Small HDL
M-HDL-FC,"1.455 [1.432,1.478]",0.000e+00,***,Free Cholesterol in Medium HDL
HDL-P,"1.453 [1.431,1.474]",0.000e+00,***,Concentration of HDL Particles
M-HDL-C,"1.450 [1.429,1.473]",0.000e+00,***,Cholesterol in Medium HDL
ApoA1,"1.449 [1.427,1.471]",0.000e+00,***,Apolipoprotein A1
M-HDL-CE,"1.448 [1.426,1.470]",0.000e+00,***,Cholesteryl Esters in Medium HDL
S-HDL-L,"1.440 [1.420,1.460]",0.000e+00,***,Total-Lipids in Small HDL
HDL-PL,"1.433 [1.411,1.455]",0.000e+00,***,Phospholipids in HDL
Total-P,"1.424 [1.403,1.445]",0.000e+00,***,Total-Concentration of Lipoprotein Particles
HDL-L,"1.421 [1.399,1.443]",0.000e+00,***,Total-Lipids in HDL
S-HDL-C,"1.398 [1.379,1.418]",0.000e+00,***,Cholesterol in Small HDL
S-HDL-P,"1.394 [1.375,1.413]",0.000e+00,***,Concentration of Small HDL Particles
S-HDL-CE,"1.390 [1.371,1.410]",0.000e+00,***,Cholesteryl Esters in Small HDL
HDL-C,"1.383 [1.361,1.405]",0.000e+00,***,HDL Cholesterol
HDL-CE,"1.380 [1.358,1.402]",0.000e+00,***,Cholesteryl Esters in HDL
HDL-FC,"1.372 [1.350,1.395]",2.786e-305,***,Free Cholesterol in HDL
S-HDL-FC,"1.368 [1.350,1.387]",0.000e+00,***,Free Cholesterol in Small HDL
Phosphoglyc,"1.326 [1.308,1.345]",0.000e+00,***,Phosphoglycerides
PC,"1.317 [1.299,1.336]",0.000e+00,***,Phosphatidylcholines
