Abbreviations,Beta(95%CI),P-value(Bonferroni),P-star,Metabolite
PUFA/MUFA,"56.097 [24.777,87.417]",1.000,,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
M-LDL-FC%,"43.331 [13.135,73.526]",1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
DHA%,"25.378 [-4.816,55.571]",1.000,,Docosahexaenoic Acid to Total-Fatty Acids percentage
VLDL-CE,"22.670 [-8.894,54.234]",1.000,,Cholesteryl Esters in VLDL
Omega-6/Omega-3,"4.405 [-26.730,35.540]",1.000,,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
Omega-6,"-9.475 [-40.415,21.466]",1.000,,Omega-6 Fatty Acids
PUFA,"-11.147 [-42.181,19.888]",1.000,,Polyunsaturated Fatty Acids
SFA,"-39.730 [-69.527,-9.933]",1.000,,Saturated Fatty Acids
S-HDL-PL,"-77.850 [-109.612,-46.088]",0.359,,Phospholipids in Small HDL
L-HDL-PL%,"-94.113 [-124.879,-63.346]",4.759e-04,***,Phospholipids to Total-Lipids in Large HDL percentage
