Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
Gln,"0.025 [-0.038,0.089]",1.000,,Glutamine
M-LDL-C%,"0.014 [-0.050,0.079]",1.000,,Cholesterol to Total-Lipids in Medium LDL percentage
M-LDL-FC%,"0.014 [-0.049,0.077]",1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
Ala,"0.009 [-0.054,0.072]",1.000,,Alanine
M-LDL-CE%,"0.001 [-0.064,0.065]",1.000,,Cholesteryl Esters to Total-Lipids in Medium LDL percentage
VLDL-C,"-0.005 [-0.070,0.059]",1.000,,VLDL Cholesterol
M-LDL-PL%,"-0.008 [-0.072,0.056]",1.000,,Phospholipids to Total-Lipids in Medium LDL percentage
Total-C,"-0.031 [-0.095,0.032]",1.000,,Total-Cholesterol
LDL-CE,"-0.033 [-0.096,0.030]",1.000,,Cholesteryl Esters in LDL
HDL-CE,"-0.055 [-0.129,0.020]",1.000,,Cholesteryl Esters in HDL
