Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
GlycA,1.18 [1.14-1.22],4.410e-18,***,Glycoprotein Acetyls
MUFA%,1.16 [1.13-1.21],3.981e-13,***,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
TG/PG,1.16 [1.12-1.20],3.565e-12,***,Triglycerides to Phosphoglycerides ratio
XL-HDL-TG%,1.15 [1.11-1.19],3.849e-11,***,Triglycerides to Total-Lipids in Very Large HDL percentage
S-HDL-TG%,1.15 [1.11-1.18],1.892e-10,***,Triglycerides to Total-Lipids in Small HDL percentage
L-HDL-TG%,1.14 [1.10-1.18],2.708e-09,***,Triglycerides to Total-Lipids in Large HDL percentage
M-HDL-PL%,1.14 [1.10-1.18],1.243e-08,***,Phospholipids to Total-Lipids in Medium HDL percentage
L-VLDL-PL,1.13 [1.09-1.16],1.080e-08,***,Phospholipids in Large VLDL
M-HDL-TG%,1.13 [1.09-1.17],1.837e-07,***,Triglycerides to Total-Lipids in Medium HDL percentage
IDL-TG%,1.13 [1.09-1.17],9.477e-08,***,Triglycerides to Total-Lipids in IDL percentage
S-HDL-TG,1.13 [1.09-1.16],1.501e-08,***,Triglycerides in Small HDL
S-VLDL-TG,1.13 [1.09-1.16],1.006e-08,***,Triglycerides in Small VLDL
XL-VLDL-P,1.13 [1.09-1.16],3.099e-08,***,Concentration of Very Large VLDL Particles
S-LDL-TG,1.12 [1.09-1.16],1.140e-08,***,Triglycerides in Small LDL
L-VLDL-FC,1.12 [1.09-1.16],6.331e-08,***,Free Cholesterol in Large VLDL
L-VLDL-PL%,1.12 [1.09-1.16],3.818e-06,***,Phospholipids to Total-Lipids in Large VLDL percentage
M-LDL-TG,1.12 [1.09-1.16],1.690e-08,***,Triglycerides in Medium LDL
L-VLDL-P,1.12 [1.09-1.16],6.634e-08,***,Concentration of Large VLDL Particles
XL-VLDL-L,1.12 [1.09-1.16],2.148e-07,***,Total-Lipids in Very Large VLDL
XL-VLDL-TG,1.12 [1.09-1.16],2.439e-07,***,Triglycerides in Very Large VLDL
XL-VLDL-PL,1.12 [1.09-1.16],1.602e-07,***,Phospholipids in Very Large VLDL
XS-VLDL-TG,1.12 [1.09-1.15],5.964e-08,***,Triglycerides in Very Small VLDL
VLDL-TG,1.12 [1.08-1.16],1.227e-06,***,Triglycerides in VLDL
Total-TG,1.12 [1.08-1.16],9.656e-07,***,Total-Triglycerides
XL-VLDL-FC,1.12 [1.08-1.15],3.601e-07,***,Free Cholesterol in Very Large VLDL
XS-VLDL-PL%,1.12 [1.08-1.16],3.029e-06,***,Phospholipids to Total-Lipids in Very Small VLDL percentage
L-VLDL-L,1.12 [1.08-1.15],1.197e-06,***,Total-Lipids in Large VLDL
LDL-TG,1.12 [1.08-1.15],2.692e-07,***,Triglycerides in LDL
L-VLDL-C,1.12 [1.08-1.15],1.370e-06,***,Cholesterol in Large VLDL
XL-VLDL-C,1.11 [1.08-1.15],2.679e-06,***,Cholesterol in Very Large VLDL
VLDL-size,1.11 [1.08-1.15],1.109e-04,***,Average Diameter for VLDL Particles
M-VLDL-TG,1.11 [1.08-1.15],3.605e-06,***,Triglycerides in Medium VLDL
XS-VLDL-TG%,1.11 [1.08-1.15],5.863e-05,***,Triglycerides to Total-Lipids in Very Small VLDL percentage
S-VLDL-P,1.11 [1.08-1.15],1.387e-06,***,Concentration of Small VLDL Particles
XXL-VLDL-PL,1.11 [1.08-1.15],6.449e-06,***,Phospholipids in Chylomicrons and Extremely Large VLDL
XXL-VLDL-P,1.11 [1.08-1.15],6.410e-06,***,Concentration of Chylomicrons and Extremely Large VLDL Particles
XL-HDL-FC%,1.11 [1.07-1.15],0.004,**,Free Cholesterol to Total-Lipids in Very Large HDL percentage
L-VLDL-TG,1.11 [1.08-1.15],1.377e-05,***,Triglycerides in Large VLDL
L-LDL-TG,1.11 [1.08-1.15],3.395e-06,***,Triglycerides in Large LDL
MUFA,1.11 [1.08-1.15],2.829e-05,***,Monounsaturated Fatty Acids
VLDL-L,1.11 [1.07-1.15],3.450e-05,***,Total-Lipids in VLDL
XXL-VLDL-FC,1.11 [1.08-1.14],2.040e-05,***,Free Cholesterol in Chylomicrons and Extremely Large VLDL
XXL-VLDL-C,1.11 [1.07-1.14],2.707e-05,***,Cholesterol in Chylomicrons and Extremely Large VLDL
XXL-VLDL-L,1.11 [1.07-1.14],7.887e-05,***,Total-Lipids in Chylomicrons and Extremely Large VLDL
XXL-VLDL-CE,1.11 [1.07-1.14],5.089e-05,***,Cholesteryl Esters in Chylomicrons and Extremely Large VLDL
S-VLDL-L,1.11 [1.07-1.14],2.116e-05,***,Total-Lipids in Small VLDL
IDL-TG,1.11 [1.07-1.14],1.260e-05,***,Triglycerides in IDL
L-LDL-TG%,1.11 [1.07-1.14],1.432e-04,***,Triglycerides to Total-Lipids in Large LDL percentage
VLDL-PL,1.11 [1.07-1.14],5.186e-05,***,Phospholipids in VLDL
XL-VLDL-CE,1.11 [1.07-1.14],5.624e-05,***,Cholesteryl Esters in Very Large VLDL
XXL-VLDL-TG,1.10 [1.07-1.14],2.376e-04,***,Triglycerides in Chylomicrons and Extremely Large VLDL
L-VLDL-CE,1.10 [1.07-1.14],5.995e-05,***,Cholesteryl Esters in Large VLDL
S-LDL-TG%,1.10 [1.06-1.13],0.002,**,Triglycerides to Total-Lipids in Small LDL percentage
VLDL-P,1.10 [1.06-1.13],0.001,**,Concentration of VLDL Particles
VLDL-FC,1.09 [1.06-1.13],0.003,**,Free Cholesterol in VLDL
ApoB/ApoA1,1.09 [1.06-1.12],0.020,*,Apolipoprotein B to Apolipoprotein A1 ratio
M-VLDL-L,1.09 [1.06-1.12],0.017,*,Total-Lipids in Medium VLDL
M-LDL-TG%,1.09 [1.05-1.12],0.047,*,Triglycerides to Total-Lipids in Medium LDL percentage
S-VLDL-PL,1.08 [1.05-1.12],0.041,*,Phospholipids in Small VLDL
Citrate,0.92 [0.89-0.95],0.023,*,Citrate
M-VLDL-CE%,0.91 [0.89-0.94],0.014,*,Cholesteryl Esters to Total-Lipids in Medium VLDL percentage
S-LDL-FC%,0.91 [0.88-0.94],1.953e-04,***,Free Cholesterol to Total-Lipids in Small LDL percentage
XL-HDL-P,0.91 [0.88-0.94],0.045,*,Concentration of Very Large HDL Particles
HDL-L,0.91 [0.88-0.94],0.013,*,Total-Lipids in HDL
Omega-6%,0.91 [0.88-0.94],0.001,**,Omega-6 Fatty Acids to Total-Fatty Acids percentage
Unsaturation,0.91 [0.88-0.94],0.002,**,Degree of Unsaturation
M-HDL-C,0.91 [0.87-0.94],0.003,**,Cholesterol in Medium HDL
HDL-FC,0.90 [0.87-0.94],0.009,**,Free Cholesterol in HDL
M-HDL-CE,0.90 [0.87-0.93],0.001,**,Cholesteryl Esters in Medium HDL
IDL-CE%,0.90 [0.87-0.93],1.300e-05,***,Cholesteryl Esters to Total-Lipids in IDL percentage
XL-HDL-L,0.89 [0.86-0.93],5.438e-04,***,Total-Lipids in Very Large HDL
