Abbreviations,Beta(95%CI),P-value(Bonferroni),P-star,Metabolite
Creatinine,"16.761 [15.116,18.406]",1.338e-82,***,Creatinine
XL-HDL-FC%,"14.954 [13.293,16.614]",6.949e-64,***,Free Cholesterol to Total-Lipids in Very Large HDL percentage
XL-HDL-C%,"11.164 [9.559,12.769]",8.189e-37,***,Cholesterol to Total-Lipids in Very Large HDL percentage
TG/PG,"10.225 [8.556,11.895]",9.726e-28,***,Triglycerides to Phosphoglycerides ratio
VLDL-size,"9.118 [7.472,10.764]",5.000e-22,***,Average Diameter for VLDL Particles
XL-HDL-TG%,"8.626 [6.946,10.306]",2.024e-18,***,Triglycerides to Total-Lipids in Very Large HDL percentage
Val,"8.191 [6.534,9.848]",8.409e-17,***,Valine
L-HDL-TG%,"8.159 [6.499,9.819]",1.451e-16,***,Triglycerides to Total-Lipids in Large HDL percentage
Total-BCAA,"7.887 [6.254,9.519]",6.983e-16,***,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
ApoB/ApoA1,"7.881 [6.248,9.515]",7.946e-16,***,Apolipoprotein B to Apolipoprotein A1 ratio
Leu,"7.698 [6.097,9.299]",1.077e-15,***,Leucine
M-HDL-PL%,"7.375 [5.652,9.098]",1.189e-11,***,Phospholipids to Total-Lipids in Medium HDL percentage
S-HDL-TG%,"7.329 [5.674,8.984]",9.734e-13,***,Triglycerides to Total-Lipids in Small HDL percentage
M-VLDL-TG%,"6.855 [5.187,8.524]",1.923e-10,***,Triglycerides to Total-Lipids in Medium VLDL percentage
L-VLDL-FC,"6.647 [4.994,8.299]",7.576e-10,***,Free Cholesterol in Large VLDL
L-VLDL-PL,"6.543 [4.885,8.200]",2.447e-09,***,Phospholipids in Large VLDL
XL-VLDL-P,"6.529 [4.858,8.199]",4.371e-09,***,Concentration of Very Large VLDL Particles
XL-VLDL-TG,"6.520 [4.846,8.195]",5.456e-09,***,Triglycerides in Very Large VLDL
L-VLDL-TG,"6.462 [4.812,8.111]",3.825e-09,***,Triglycerides in Large VLDL
L-VLDL-P,"6.444 [4.788,8.099]",5.611e-09,***,Concentration of Large VLDL Particles
XL-VLDL-L,"6.414 [4.747,8.082]",1.112e-08,***,Total-Lipids in Very Large VLDL
XS-VLDL-TG%,"6.402 [4.726,8.078]",1.650e-08,***,Triglycerides to Total-Lipids in Very Small VLDL percentage
L-VLDL-L,"6.378 [4.731,8.025]",7.666e-09,***,Total-Lipids in Large VLDL
XL-VLDL-PL,"6.163 [4.495,7.832]",1.052e-07,***,Phospholipids in Very Large VLDL
XL-VLDL-FC,"5.833 [4.169,7.498]",1.512e-06,***,Free Cholesterol in Very Large VLDL
VLDL-TG,"5.757 [4.097,7.417]",2.506e-06,***,Triglycerides in VLDL
M-HDL-TG%,"5.711 [4.067,7.354]",2.278e-06,***,Triglycerides to Total-Lipids in Medium HDL percentage
XL-VLDL-C,"5.705 [4.052,7.358]",3.131e-06,***,Cholesterol in Very Large VLDL
XXL-VLDL-CE,"5.652 [3.982,7.321]",7.533e-06,***,Cholesteryl Esters in Chylomicrons and Extremely Large VLDL
L-VLDL-C,"5.565 [3.925,7.205]",6.808e-06,***,Cholesterol in Large VLDL
M-VLDL-TG,"5.526 [3.884,7.168]",9.795e-06,***,Triglycerides in Medium VLDL
MUFA%,"5.438 [3.714,7.162]",1.470e-04,***,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
XL-VLDL-CE,"5.401 [3.757,7.044]",2.778e-05,***,Cholesteryl Esters in Very Large VLDL
XXL-VLDL-L,"5.355 [3.677,7.033]",9.199e-05,***,Total-Lipids in Chylomicrons and Extremely Large VLDL
L-VLDL-PL%,"5.330 [3.738,6.922]",1.232e-05,***,Phospholipids to Total-Lipids in Large VLDL percentage
XXL-VLDL-C,"5.283 [3.610,6.957]",1.407e-04,***,Cholesterol in Chylomicrons and Extremely Large VLDL
XXL-VLDL-TG,"5.277 [3.597,6.958]",1.753e-04,***,Triglycerides in Chylomicrons and Extremely Large VLDL
XS-VLDL-PL%,"5.133 [3.481,6.785]",2.633e-04,***,Phospholipids to Total-Lipids in Very Small VLDL percentage
XXL-VLDL-PL,"5.115 [3.430,6.801]",6.273e-04,***,Phospholipids in Chylomicrons and Extremely Large VLDL
XXL-VLDL-P,"5.105 [3.419,6.791]",6.820e-04,***,Concentration of Chylomicrons and Extremely Large VLDL Particles
Ile,"5.098 [3.487,6.709]",1.282e-04,***,Isoleucine
Sc-ala,"4.781 [3.175,6.388]",0.001,**,Spectrometer-corrected alanine
