Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
M-LDL-PL%,"0.011 [-0.029,0.050]",1.000,,Phospholipids to Total-Lipids in Medium LDL percentage
Non-HDL-C,"0.010 [-0.031,0.051]",1.000,,Total-Cholesterol Minus HDL-C
Clinical LDL-C,"0.008 [-0.033,0.049]",1.000,,Clinical LDL Cholesterol
LDL-C,"0.006 [-0.034,0.047]",1.000,,LDL Cholesterol
ApoB,"0.005 [-0.036,0.045]",1.000,,Apolipoprotein B
M-LDL-FC%,"-0.014 [-0.058,0.029]",1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
LA%,"-0.029 [-0.074,0.015]",1.000,,Linoleic Acid to Total-Fatty Acids percentage
PUFA/MUFA,"-0.066 [-0.111,-0.021]",1.000,,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
Omega-3%,"-0.083 [-0.125,-0.040]",1.000,,Omega-3 Fatty Acids to Total-Fatty Acids percentage
DHA%,"-0.100 [-0.144,-0.057]",1.000,,Docosahexaenoic Acid to Total-Fatty Acids percentage
