Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
Total-C,"1.068 [0.985,1.158]",1.000,,Total-Cholesterol
M-LDL-FC%,"1.067 [0.977,1.165]",1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
Non-HDL-C,"1.058 [0.979,1.144]",1.000,,Total-Cholesterol Minus HDL-C
Remnant-C,"1.053 [0.974,1.137]",1.000,,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
VLDL-C,"1.017 [0.943,1.096]",1.000,,VLDL Cholesterol
L-VLDL-TG%,"0.988 [0.923,1.058]",1.000,,Triglycerides to Total-Lipids in Large VLDL percentage
M-HDL-TG%,"0.976 [0.903,1.055]",1.000,,Triglycerides to Total-Lipids in Medium HDL percentage
L-VLDL-PL%,"0.976 [0.914,1.041]",1.000,,Phospholipids to Total-Lipids in Large VLDL percentage
M-LDL-PL%,"0.972 [0.904,1.044]",1.000,,Phospholipids to Total-Lipids in Medium LDL percentage
M-HDL-PL%,"0.962 [0.881,1.051]",1.000,,Phospholipids to Total-Lipids in Medium HDL percentage
