Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
XL-HDL-TG%,"1.107 [1.090,1.124]",2.964e-33,***,Triglycerides to Total-Lipids in Very Large HDL percentage
MUFA%,"1.107 [1.089,1.124]",1.873e-31,***,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
XS-VLDL-TG%,"1.097 [1.080,1.113]",2.160e-28,***,Triglycerides to Total-Lipids in Very Small VLDL percentage
IDL-TG%,"1.097 [1.080,1.113]",1.891e-28,***,Triglycerides to Total-Lipids in IDL percentage
TG/PG,"1.095 [1.078,1.112]",1.558e-24,***,Triglycerides to Phosphoglycerides ratio
L-HDL-PL%,"1.094 [1.076,1.112]",1.521e-21,***,Phospholipids to Total-Lipids in Large HDL percentage
S-HDL-TG,"1.093 [1.078,1.109]",7.973e-30,***,Triglycerides in Small HDL
L-HDL-TG%,"1.093 [1.076,1.110]",1.716e-23,***,Triglycerides to Total-Lipids in Large HDL percentage
GlycA,"1.089 [1.073,1.105]",2.796e-24,***,Glycoprotein Acetyls
M-HDL-PL%,"1.087 [1.070,1.104]",5.989e-20,***,Phospholipids to Total-Lipids in Medium HDL percentage
XL-VLDL-TG,"1.086 [1.070,1.102]",4.109e-22,***,Triglycerides in Very Large VLDL
S-LDL-TG%,"1.085 [1.069,1.101]",5.777e-23,***,Triglycerides to Total-Lipids in Small LDL percentage
VLDL-size,"1.085 [1.068,1.101]",8.690e-21,***,Average Diameter for VLDL Particles
S-VLDL-TG,"1.083 [1.068,1.099]",1.660e-23,***,Triglycerides in Small VLDL
Total-TG,"1.083 [1.067,1.099]",9.177e-22,***,Total-Triglycerides
XXL-VLDL-PL,"1.083 [1.067,1.099]",1.297e-20,***,Phospholipids in Chylomicrons and Extremely Large VLDL
L-LDL-TG%,"1.082 [1.066,1.099]",4.853e-20,***,Triglycerides to Total-Lipids in Large LDL percentage
VLDL-TG,"1.082 [1.067,1.098]",3.112e-21,***,Triglycerides in VLDL
XXL-VLDL-P,"1.082 [1.066,1.098]",8.353e-20,***,Concentration of Chylomicrons and Extremely Large VLDL Particles
XL-VLDL-P,"1.081 [1.066,1.097]",1.409e-20,***,Concentration of Very Large VLDL Particles
M-VLDL-TG%,"1.081 [1.066,1.097]",3.298e-21,***,Triglycerides to Total-Lipids in Medium VLDL percentage
S-HDL-TG%,"1.081 [1.066,1.097]",4.232e-21,***,Triglycerides to Total-Lipids in Small HDL percentage
MUFA,"1.081 [1.065,1.097]",1.764e-19,***,Monounsaturated Fatty Acids
XL-VLDL-L,"1.081 [1.065,1.097]",3.896e-20,***,Total-Lipids in Very Large VLDL
