Abbreviations,Beta(95%CI),P-value(Bonferroni),P-star,Metabolite
TG/PG,"0.064 [0.060,0.067]",1.313e-276,***,Triglycerides to Phosphoglycerides ratio
S-HDL-TG%,"0.057 [0.053,0.060]",1.706e-264,***,Triglycerides to Total-Lipids in Small HDL percentage
XXL-VLDL-P,"0.056 [0.052,0.059]",1.675e-223,***,Concentration of Chylomicrons and Extremely Large VLDL Particles
XL-VLDL-TG,"0.055 [0.052,0.059]",7.691e-226,***,Triglycerides in Very Large VLDL
XXL-VLDL-TG,"0.055 [0.052,0.058]",4.163e-216,***,Triglycerides in Chylomicrons and Extremely Large VLDL
S-LDL-TG,"0.055 [0.051,0.058]",2.217e-222,***,Triglycerides in Small LDL
XXL-VLDL-PL,"0.054 [0.051,0.058]",3.785e-218,***,Phospholipids in Chylomicrons and Extremely Large VLDL
XXL-VLDL-L,"0.054 [0.051,0.058]",1.173e-216,***,Total-Lipids in Chylomicrons and Extremely Large VLDL
L-HDL-TG%,"0.054 [0.050,0.057]",5.076e-199,***,Triglycerides to Total-Lipids in Large HDL percentage
VLDL-TG,"0.053 [0.050,0.056]",5.707e-221,***,Triglycerides in VLDL
XL-VLDL-P,"0.053 [0.050,0.056]",1.465e-213,***,Concentration of Very Large VLDL Particles
S-VLDL-TG,"0.053 [0.050,0.056]",5.490e-230,***,Triglycerides in Small VLDL
XXL-VLDL-FC,"0.052 [0.049,0.056]",5.888e-207,***,Free Cholesterol in Chylomicrons and Extremely Large VLDL
Total-TG,"0.052 [0.049,0.056]",1.130e-215,***,Total-Triglycerides
XL-VLDL-L,"0.052 [0.049,0.056]",3.839e-211,***,Total-Lipids in Very Large VLDL
M-HDL-TG%,"0.052 [0.048,0.055]",1.096e-218,***,Triglycerides to Total-Lipids in Medium HDL percentage
S-LDL-TG%,"0.052 [0.048,0.055]",1.052e-211,***,Triglycerides to Total-Lipids in Small LDL percentage
XL-VLDL-PL,"0.051 [0.048,0.054]",7.955e-205,***,Phospholipids in Very Large VLDL
MUFA%,"0.051 [0.048,0.055]",1.143e-177,***,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
VLDL-size,"0.051 [0.048,0.054]",1.897e-194,***,Average Diameter for VLDL Particles
XXL-VLDL-C,"0.051 [0.047,0.054]",2.951e-195,***,Cholesterol in Chylomicrons and Extremely Large VLDL
L-VLDL-P,"0.050 [0.047,0.053]",3.660e-199,***,Concentration of Large VLDL Particles
L-VLDL-PL,"0.050 [0.047,0.053]",3.049e-201,***,Phospholipids in Large VLDL
L-VLDL-TG,"0.050 [0.046,0.053]",2.338e-190,***,Triglycerides in Large VLDL
XL-HDL-TG%,"0.049 [0.046,0.053]",6.834e-170,***,Triglycerides to Total-Lipids in Very Large HDL percentage
XL-VLDL-FC,"0.049 [0.046,0.052]",1.315e-193,***,Free Cholesterol in Very Large VLDL
XXL-VLDL-CE,"0.048 [0.045,0.052]",1.012e-180,***,Cholesteryl Esters in Chylomicrons and Extremely Large VLDL
L-VLDL-L,"0.048 [0.045,0.051]",2.731e-186,***,Total-Lipids in Large VLDL
XS-VLDL-TG%,"0.048 [0.045,0.051]",2.105e-172,***,Triglycerides to Total-Lipids in Very Small VLDL percentage
S-HDL-TG,"0.047 [0.044,0.050]",4.175e-184,***,Triglycerides in Small HDL
