Abbreviations,Beta(95%CI),P-value(Bonferroni),P-star,Metabolite
Albumin,"1.334 [1.320,1.348]",0.000e+00,***,Albumin
S-HDL-P,"0.482 [0.466,0.499]",0.000e+00,***,Concentration of Small HDL Particles
S-HDL-CE,"0.466 [0.449,0.482]",0.000e+00,***,Cholesteryl Esters in Small HDL
S-HDL-C,"0.465 [0.449,0.481]",0.000e+00,***,Cholesterol in Small HDL
S-HDL-L,"0.448 [0.432,0.464]",0.000e+00,***,Total-Lipids in Small HDL
Omega-3,"0.432 [0.416,0.449]",0.000e+00,***,Omega-3 Fatty Acids
DHA,"0.423 [0.406,0.440]",0.000e+00,***,Docosahexaenoic Acid
S-HDL-FC,"0.411 [0.395,0.428]",0.000e+00,***,Free Cholesterol in Small HDL
S-LDL-CE%,"0.410 [0.393,0.426]",0.000e+00,***,Cholesteryl Esters to Total-Lipids in Small LDL percentage
S-HDL-PL,"0.407 [0.390,0.423]",0.000e+00,***,Phospholipids in Small HDL
Total-P,"0.377 [0.359,0.395]",0.000e+00,***,Total-Concentration of Lipoprotein Particles
HDL-P,"0.362 [0.344,0.380]",0.000e+00,***,Concentration of HDL Particles
Omega-3%,"0.351 [0.334,0.367]",0.000e+00,***,Omega-3 Fatty Acids to Total-Fatty Acids percentage
M-LDL-CE,"0.325 [0.309,0.341]",0.000e+00,***,Cholesteryl Esters in Medium LDL
XL-HDL-TG%,"0.319 [0.302,0.336]",1.124e-293,***,Triglycerides to Total-Lipids in Very Large HDL percentage
M-LDL-L,"0.316 [0.299,0.332]",0.000e+00,***,Total-Lipids in Medium LDL
M-LDL-C,"0.314 [0.297,0.330]",3.276e-305,***,Cholesterol in Medium LDL
M-LDL-PL,"0.305 [0.289,0.322]",7.949e-284,***,Phospholipids in Medium LDL
Cholines,"0.301 [0.284,0.318]",1.472e-257,***,Total-Cholines
PUFA,"0.299 [0.283,0.315]",3.914e-275,***,Polyunsaturated Fatty Acids
S-LDL-CE,"0.297 [0.280,0.313]",3.842e-273,***,Cholesteryl Esters in Small LDL
S-LDL-C%,"0.295 [0.279,0.312]",1.079e-266,***,Cholesterol to Total-Lipids in Small LDL percentage
Phosphoglyc,"0.293 [0.276,0.310]",1.126e-247,***,Phosphoglycerides
S-VLDL-L,"0.284 [0.267,0.301]",1.368e-235,***,Total-Lipids in Small VLDL
LDL-CE,"0.283 [0.267,0.299]",3.702e-251,***,Cholesteryl Esters in LDL
Total-L,"0.282 [0.266,0.298]",3.064e-257,***,Total-Lipids in Lipoprotein Particles
M-LDL-CE%,"0.282 [0.266,0.299]",1.051e-234,***,Cholesteryl Esters to Total-Lipids in Medium LDL percentage
L-VLDL-C,"0.281 [0.264,0.298]",2.388e-224,***,Cholesterol in Large VLDL
M-VLDL-L,"0.279 [0.263,0.295]",5.959e-235,***,Total-Lipids in Medium VLDL
Total-PL,"0.279 [0.262,0.295]",1.896e-230,***,Total-Phospholipids in Lipoprotein Particles
M-VLDL-TG,"0.278 [0.262,0.295]",1.229e-231,***,Triglycerides in Medium VLDL
L-VLDL-FC,"0.277 [0.260,0.294]",5.181e-220,***,Free Cholesterol in Large VLDL
VLDL-size,"0.277 [0.259,0.294]",4.634e-203,***,Average Diameter for VLDL Particles
S-VLDL-P,"0.276 [0.260,0.293]",3.813e-224,***,Concentration of Small VLDL Particles
M-VLDL-P,"0.276 [0.260,0.293]",1.747e-227,***,Concentration of Medium VLDL Particles
S-LDL-C,"0.275 [0.259,0.291]",2.162e-232,***,Cholesterol in Small LDL
L-VLDL-CE,"0.275 [0.258,0.292]",2.070e-214,***,Cholesteryl Esters in Large VLDL
S-VLDL-PL,"0.273 [0.256,0.290]",4.001e-218,***,Phospholipids in Small VLDL
S-HDL-TG,"0.271 [0.254,0.288]",1.934e-204,***,Triglycerides in Small HDL
LDL-L,"0.270 [0.254,0.286]",6.380e-230,***,Total-Lipids in LDL
SM,"0.270 [0.253,0.288]",1.765e-197,***,Sphingomyelins
M-LDL-P,"0.268 [0.252,0.285]",8.591e-221,***,Concentration of Medium LDL Particles
LDL-C,"0.268 [0.251,0.284]",5.398e-225,***,LDL Cholesterol
Total-FA,"0.265 [0.250,0.281]",6.128e-232,***,Total-Fatty Acids
ApoA1,"0.264 [0.246,0.282]",1.802e-171,***,Apolipoprotein A1
M-LDL-FC,"0.263 [0.247,0.280]",3.343e-211,***,Free Cholesterol in Medium LDL
SFA,"0.262 [0.246,0.277]",5.589e-229,***,Saturated Fatty Acids
LDL-PL,"0.259 [0.243,0.276]",4.558e-205,***,Phospholipids in LDL
S-VLDL-CE,"0.259 [0.242,0.276]",1.366e-189,***,Cholesteryl Esters in Small VLDL
L-LDL-CE,"0.259 [0.243,0.275]",2.018e-206,***,Cholesteryl Esters in Large LDL
VLDL-FC,"0.258 [0.241,0.275]",1.790e-196,***,Free Cholesterol in VLDL
L-VLDL-L,"0.258 [0.241,0.275]",5.579e-192,***,Total-Lipids in Large VLDL
S-VLDL-C,"0.258 [0.241,0.275]",8.972e-191,***,Cholesterol in Small VLDL
M-VLDL-PL,"0.257 [0.241,0.274]",1.018e-197,***,Phospholipids in Medium VLDL
S-LDL-L,"0.256 [0.240,0.273]",6.357e-203,***,Total-Lipids in Small LDL
L-VLDL-P,"0.256 [0.239,0.273]",8.366e-195,***,Concentration of Large VLDL Particles
L-VLDL-PL,"0.255 [0.238,0.272]",9.768e-187,***,Phospholipids in Large VLDL
XL-VLDL-CE,"0.254 [0.237,0.271]",1.638e-183,***,Cholesteryl Esters in Very Large VLDL
Total-CE,"0.253 [0.236,0.269]",6.009e-195,***,Total-Esterified Cholesterol
S-VLDL-FC,"0.252 [0.236,0.269]",1.061e-186,***,Free Cholesterol in Small VLDL
S-VLDL-TG,"0.252 [0.235,0.268]",1.569e-187,***,Triglycerides in Small VLDL
L-LDL-L,"0.251 [0.235,0.268]",3.340e-196,***,Total-Lipids in Large LDL
VLDL-L,"0.251 [0.234,0.268]",2.649e-185,***,Total-Lipids in VLDL
XL-HDL-C%,"0.249 [0.234,0.265]",9.958e-214,***,Cholesterol to Total-Lipids in Very Large HDL percentage
VLDL-PL,"0.249 [0.232,0.265]",6.912e-183,***,Phospholipids in VLDL
L-LDL-PL,"0.248 [0.232,0.265]",2.010e-184,***,Phospholipids in Large LDL
XL-VLDL-C,"0.248 [0.231,0.265]",9.817e-177,***,Cholesterol in Very Large VLDL
Total-C,"0.248 [0.231,0.264]",5.751e-189,***,Total-Cholesterol
PC,"0.247 [0.230,0.265]",1.277e-168,***,Phosphatidylcholines
M-VLDL-FC,"0.247 [0.231,0.264]",2.844e-180,***,Free Cholesterol in Medium VLDL
L-LDL-C,"0.246 [0.230,0.263]",2.654e-187,***,Cholesterol in Large LDL
DHA%,"0.246 [0.230,0.262]",3.156e-191,***,Docosahexaenoic Acid to Total-Fatty Acids percentage
M-LDL-TG,"0.246 [0.230,0.262]",1.915e-196,***,Triglycerides in Medium LDL
M-HDL-P,"0.246 [0.228,0.265]",4.663e-142,***,Concentration of Medium HDL Particles
VLDL-P,"0.242 [0.225,0.259]",9.750e-172,***,Concentration of VLDL Particles
Total-FC,"0.239 [0.223,0.256]",3.537e-173,***,Total-Free Cholesterol
