Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
ApoB/ApoA1,"0.130 [0.006,0.254]",1.000,,Apolipoprotein B to Apolipoprotein A1 ratio
M-LDL-TG%,"0.061 [-0.063,0.185]",1.000,,Triglycerides to Total-Lipids in Medium LDL percentage
ApoB,"0.047 [-0.080,0.174]",1.000,,Apolipoprotein B
Val,"0.012 [-0.120,0.144]",1.000,,Valine
Clinical LDL-C,"0.006 [-0.121,0.133]",1.000,,Clinical LDL Cholesterol
Total-FC,"-0.006 [-0.135,0.123]",1.000,,Total-Free Cholesterol
Citrate,"-0.016 [-0.150,0.117]",1.000,,Citrate
LDL-FC,"-0.019 [-0.146,0.108]",1.000,,Free Cholesterol in LDL
M-LDL-FC%,"-0.129 [-0.246,-0.012]",1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
HDL-FC,"-0.227 [-0.389,-0.064]",1.000,,Free Cholesterol in HDL
